A625 ARAGON:ARCHAMBAULT:ARISMENDEZ:ARRASMITH:ARROWSMITH
A626 ARCHER:ARKWRIGHT
A630 AIRD:ARD:ARROWOOD:ARWOOD
A632 ARTZ
A636 ARDERN:ARTER:ARTHUR
A650 AARON:AHEARN:AHERN:ARNEY:ARON:ARWINE
A651 ARENBERG:ARMBRUSTER
A652 AHRENS:ARENS:ARMACOST:ARMES:ARMISTEAD:ARMS:ARMSTEAD:ARMSTED:ARMSTRONG:ARNESON:ARONICA:ARRINGTON:AURINGER
A653 ARANETA:ARANT:ARENDS:ARMITAGE:ARMITSTEAD:ARNDT:ARNET:ARNETT:ARNOT:ARNOTT:ARRANTS:ARRENDELL:ARUNDEL:ARUNDELL:AURAND
A654 ARNOLD
A655 ARMENTOR:ARMENTROUT
A656 ARMOUR:ARNER
B000 BAWHEY:BAY:BEE:BEWHEY:BOE:BOWE:BOWEY:BOWHAY:BOWIE:BUIE:BYE
B100 BABB:BABY:BEBB:BEEBE:BIBB:BIBBY:BOBB:BOBO:BOPP:BOVEE:BUVIA:BYBEE
B120 BABEJ:BABOCK:BEAUVAIS:BEVYS:BUFKA
B122 BABCOCK
B130 BABBITT:BOBBITT
B132 BABATZ:BAVIDGE
B140 BEVILL:BIBLE:BIFFLE
B145 BABILONIA:BEVELHEIMER:BEVELHIMER:BEVELHYMER
B146 BIBLER
B150 BABIN:BEVAN:BIVEN:BOIVIN:BUFFUM
B152 BEVANS:BEVINGTON:BEVINS:BIBBINS:BIVENS:BUFFINGTON
B160 BABER:BABOR:BEAVER:BEVERE:BIBBER:BIEBER:BOUVIER
B162 BAVERSTOCK:BEAVERS:BEAVERSON
B163 BEAUFORT:BEVERIDGE:BOVARD:BUFORD
B164 BEVERLY
B200 BACA:BACH:BACK:BAGG:BAGGS:BAGSHAW:BAJWA:BAKKE:BASEY:BASH:BASHAW:BASS:BAUGH:BAUZA:BAYES:BAYS:BAYSA:BEACH:BECK:BEECH:BEGG:BEGGS:BESCH:BESCO:BESS:BESSE:BESSEY:BEZY:BIAS:BICE:BIGA:BIGGE:BIGGS:BISE:BISH:BIZGIA:BOASE:BOAZ:BOCK:BOESCH:BOESE:BOGGS:BOGUE:BOICE:BOISSEAU:BOOCO:BOOK:BOOZ:BOS:BOSCH:BOSCHEE:BOSS:BOUCK:BOUGH:BOUSE:BOUSH:BOWES:BOWICK:BOX:BOYCE:BOYES:BOYS:BOYSE:BOZE:BUCCI:BUCH:BUCK:BUCKEY:BUCY:BUGG:BUIJS:BUS:BUSCH:BUSH:BUSHEY:BUSKE:BUSS:BUSSA:BUSSE:BUSSEY:BUYS
B210 BAGBY:BIGBEE:BISBEE:BISCHOFF:BISHOP:BIXBY:BUGBEE:BUKOVE:BUSBY:BUZBEE:BUZBY
B212 BUCKOVICH
B214 BUSHFIELD
B215 BOCKOVEN
B216 BASFORD:BASHFORD:BASSFORD:BICKFORD:BOISVERT
B220 BACCUS:BACKHOUSE:BACKUS:BOAKES:BOCKES:BOCOOK:BOGGESS:BUSICH
B223 BASISTA
B225 BACHSCHMIDT
B230 BAGGETT:BAGOT:BASKETT:BASSET:BASSETT:BECKETT:BECKWITH:BEST:BIGOD:BISSETT:BOCHAT:BOOKOUT:BOSCHET:BOSKET:BOSSUOT:BOST:BOUSQUET:BUCHHEIT:BUCHTA:BUCKETT:BUIST
B231 BASTABLE
B232 BOSTIC:BOSTICK:BOSTOCK:BOSTWICK
B233 BECKSTEAD
B234 BECHTEL:BECHTOLD:BESTLER:BUCHTEL
B235 BAISDEN:BASTIAN:BASTIANELLI:BASTIN:BAYSTON:BEASTON:BECTON:BOGDONOFF:BOSTON:BOUGHTON:BUXTON
B236 BACKSTER:BACSTER:BAXTER:BOXDORFER:BUSTER
