CREADV:1:901:UN::;CREDIT ADVICE MESSAGE;UNH;M;1;BGM;M;1;BUS;C;1;SG1;C;6;SG2;M;4;DTM;M;3;SG3;C;2;SG4;C;5;SG7;M;4;FTX;C;1;DOC;C;10;SG8;C;2;AUT;C;1;UNT;M;1
CREADV:1:901:UN::SG1;SG01;NAD;M;1;CTA;C;1;COM;C;1
CREADV:1:901:UN::SG2;SG02;FII;M;1;CTA;C;1;COM;C;1
CREADV:1:901:UN::SG3;SG03;INP;M;1;FTX;C;1;DTM;C;3
CREADV:1:901:UN::SG4;SG04;FCA;M;1;MOA;C;1;SG5;M;20
CREADV:1:901:UN::SG5;SG05;CHD;M;1;CUX;C;1;SG6;C;5
CREADV:1:901:UN::SG6;SG06;TAX;M;1;CUX;C;1
CREADV:1:901:UN::SG7;SG07;MOA;M;1;CUX;M;1;RFF;C;1
CREADV:1:901:UN::SG8;SG08;NAD;M;1;FTX;M;6
CREEXT:1:901:UN::;EXTENDED CREDIT ADVICE MESSAGE;UNH;M;1;BGM;M;1;BUS;C;1;SG1;C;6;SG2;M;4;DTM;M;3;SG3;C;2;SG4;C;5;SG7;M;4;UNS;M;1;FTX;C;1;SG8;C;9999;UNS;M;1;MOA;M;1;FTX;C;5;SG10;C;2;AUT;C;1;UNT;M;1
CREEXT:1:901:UN::SG1;SG01;NAD;M;1;CTA;C;1;COM;C;1
CREEXT:1:901:UN::SG10;SG10;NAD;M;1;FTX;M;6
CREEXT:1:901:UN::SG2;SG02;FII;M;1;CTA;C;1;COM;C;1
CREEXT:1:901:UN::SG3;SG03;INP;M;1;FTX;C;1;DTM;C;3
CREEXT:1:901:UN::SG4;SG04;FCA;M;1;MOA;C;1;SG5;M;20
CREEXT:1:901:UN::SG5;SG05;CHD;M;1;CUX;C;1;SG6;C;5
CREEXT:1:901:UN::SG6;SG06;TAX;M;1;CUX;C;1
CREEXT:1:901:UN::SG7;SG07;MOA;M;1;CUX;C;1;RFF;C;1
CREEXT:1:901:UN::SG8;SG08;DOC;M;1;MOA;C;2;RFF;C;10;CUX;C;5;AJT;C;100;SG9;C;9999
CREEXT:1:901:UN::SG9;SG09;DLI;M;1;MOA;C;2;CUX;C;1;AJT;C;10;PIA;C;5
CUSDEC:1:901:UN::;CUSTOMS DECLARATION MESSAGE;UNH;M;1;BGM;M;1;CST;C;1;SG1;C;99;LOC;C;20;DTM;C;10;TDT;C;5;GIS;C;25;DCR;C;10;SG4;C;10;FII;C;1;SG5;C;1;MEA;C;5;SG6;C;25;UNS;M;1;SG7;C;999;SG23;C;9999;UNS;M;1;TAX;C;15;CNT;C;1;AUT;C;1;UNT;M;1
CUSDEC:1:901:UN::SG1;SG01;RFF;M;1;SG2;C;10
CUSDEC:1:901:UN::SG10;SG10;NAD;M;1;DCR;C;10
CUSDEC:1:901:UN::SG11;SG11;PAC;M;1;SG12;C;999
CUSDEC:1:901:UN::SG12;SG12;PCI;M;1;GIN;C;1
CUSDEC:1:901:UN::SG13;SG13;PAT;M;1;FTX;C;1
