AMLReq,AMLRequest
ChqCxlOrStopReq,ChequeCancelOrStopRequest
ChqCxlOrStopRpt,ChequeCancelOrStopReport
ChqCxlOrStopRsn,ChequeCancelOrStopReason
ChqCxlOrStopSts,ChequeCancelOrStopStatus
ChqNb,ChequeNumber
ChqPresntmntNtfctn,ChequePresentmentNotification
ChrgApld,ChargeApplied
ChrgBr,ChargeBearer
ChrgDtls,ChargeDetails
ChrgInclInd,ChargeIncludedInd
Chrgs,Charges
ChrgsAcct,ChargesAccount
ChrgsAcctAgt,ChargesAccountAgent
ChrgsAcctAgtAcct,ChargesAccountAgentAccount
ChrgsAcctOwnr,ChargesAccountOwner
ChrgsBrkdwn,ChargesBreakdown
ChrgsId,ChargesId
ChrgsInf,ChargesInformation
ChrgsPmtNtfctn,ChargesPaymentNotification
ChrgsPmtReq,ChargesPaymentRequest
ChrgsRqstr,ChargesRequestor
CityOfBirth,CityOfBirth
ClctnMtd,CalculationMethod
ClmNonRct,ClaimNonReceipt
ClmNonRctDtls,ClaimNonReceiptDetails
ClrChanl,ClearChannel
ClrSys,ClearSystem
ClrSysId,ClearSystemId
ClrSysMmbId,ClearSystemMemberId
ClrSysRef,ClearSystemReference
ClsrInf,ClosureInformation
ClsrPrd,ClosurePeriod
ClsrPrdInd,ClosurePeriodInd
ClssTp,ClassType
Cmnts,Comments
CmonCd,CommonCode
CmonId,CommonId
CmonSts,CommonStatus
Cmpltd,Completed
Cmpnt,Component
CnsltdNetCshFcst,ConsultedNetCashForecast
CntPerPrd,CountPerPeriod
CntrValAmt,CounterValueAmount
ComAdr,CommunicationAddress
ComAdrInd,CommunicationAddressInd
Compstn,Compensation
CompstnAcct,CompensationAccount
CompstnMtd,CompensationMethod
ComssnApld,CommissionApplied
ComssnDtls,CommissionDetails
ComssnTp,CommissionType
ComssnWvrInd,CommisionWaverInd
Conf,Confirmation
CorpActn,CorporateAction
CorpActnEvtId,CorporateActionEventId
CoverCrrctn,CoverCorrection
CoverDtls,CoverDetails
Cpblties,Capabilities
CpyDplct,CopyDuplicate
CpyDplctInd,CopyDuplicateInd
CrdhldrVrfctnCpblties,CardholderVerficationCapabilities
CreDtTm,CreationDateTime
CretLmt,CreateLimit
CretMmb,CreateMember
