Allegro	0.00173	apelido
Allen	0.00173	apelido
Allves	0.00029	apelido
Almaça	0.00058	apelido
Almada	0.00462	apelido
Almaguer	0.00029	apelido
Almas	0.00231	apelido
Almedia	0.00029	apelido
Almedida	0.00029	apelido
Almeida	1.08294	apelido
Almeida-Lima	0.00029	apelido
Almeirante	0.00029	apelido
Almendra	0.00953	apelido
Almestre	0.00029	apelido
Almeuida	0.00029	apelido
Almida	0.00029	apelido
Almmeida	0.00029	apelido
Almodovar	0.00058	apelido
Almodôvar	0.00029	apelido
Alonso	0.00780	apelido
Alpalhao	0.00029	apelido
Alpalhão	0.00058	apelido
Alpedrinha	0.00058	apelido
Alpendra	0.00029	apelido
Alpendre	0.00144	apelido
Alpendrinho	0.00029	apelido
Alpiarça	0.00087	apelido
Alpuim	0.00029	apelido
Alta	0.00029	apelido
Altas	0.00058	apelido
Altavilla	0.00058	apelido
Alte	0.00231	apelido
Alturas	0.00144	apelido
Aluai	0.00087	apelido
Alues	0.00029	apelido
Alva	0.00202	apelido
Alvadia	0.00058	apelido
Alvão	0.00029	apelido
Alvarães	0.00058	apelido
Alvarenga	0.00520	apelido
Alvares	0.00173	apelido
Álvares	0.01416	apelido
Àlvares	0.00029	apelido
Alvarez	0.00780	apelido
Álvarez	0.00029	apelido
Alvarinhas	0.00029	apelido
Alvariz	0.00087	apelido
Alvarrão	0.00029	apelido
Alveas	0.00029	apelido
Alvelos	0.00202	apelido
Alvenéu	0.00029	apelido
Alveolos	0.00029	apelido
Alvéolos	0.00087	apelido
Alverca	0.00087	apelido
Alvernaz	0.00116	apelido
Alves	1.35483	apelido
Alvim	0.00693	apelido
Alvito	0.00173	apelido
Alvo	0.00058	apelido
Alvoeiro	0.00029	apelido
Alvs	0.00029	apelido
Aly	0.00144	apelido
Amade	0.00058	apelido
Amanajás	0.00029	apelido
Amandi	0.00029	apelido
Amante	0.00231	apelido
Amantes	0.00029	apelido
Amarante	0.00260	apelido
Amarelo	0.00116	apelido
Âmbar	0.00029	apelido
Ambrioso	0.00029	apelido
Ambriz	0.00029	apelido
Amby	0.00029	apelido
Ameal	0.00029	apelido
Ameida	0.00116	apelido
Ameixa	0.00029	apelido
Ameixinha	0.00116	apelido
Amen	0.00173	apelido
Amendoeira	0.00144	apelido
Amiano	0.00029	apelido
Amieira	0.00029	apelido
Amieiro	0.00087	apelido
Amiguinho	0.00087	apelido
Amil	0.00058	apelido
Amim	0.00029	apelido
Amirali	0.00029	apelido
Amoedo	0.00318	apelido
Amoêdo	0.00087	apelido
Amoínha	0.00058	apelido
Amor	0.00231	apelido
Amoreira	0.00231	apelido
Amoreirinha	0.00029	apelido
Amores	0.00087	apelido
Amorety	0.00058	apelido
Amorim	0.20486	apelido
Amorin	0.00029	apelido
Amoroso	0.00087	apelido
Amrtinho	0.00029	apelido
Amrtins	0.00029	apelido
Amsellem	0.00058	apelido
Anachorêta	0.00029	apelido
Anagua	0.00029	apelido
Anágua	0.00029	apelido
Anahory	0.00029	apelido
Anão	0.00029	apelido
Ança	0.00029	apelido
Ançã	0.00116	apelido
Anchunala	0.00029	apelido
Anciães	0.00116	apelido
Andadre	0.00029	apelido
Andeiro	0.00029	apelido
Andersson	0.00029	apelido
Andias	0.00347	apelido
Andorinho	0.00087	apelido
Andrada	0.00087	apelido
Andrade	0.26207	apelido
Andradelobo	0.00029	apelido
Andrés	0.00029	apelido
Andrês	0.00231	apelido
Andresen	0.00087	apelido
Andreso	0.00029	apelido
Andreu	0.00058	apelido
Andrez	0.00376	apelido
Andrezo	0.00058	apelido
Andril	0.00116	apelido
Andrino	0.00087	apelido
Andromache	0.00029	apelido
Andrónico	0.00029	apelido
Androrache	0.00029	apelido
Anes	0.00578	apelido
Anexandre	0.00029	apelido
Angeja	0.00029	apelido
Angélico	0.00433	apelido
Angerer	0.00029	apelido
Angleu	0.00029	apelido
Anhas	0.00144	apelido
Anica	0.00058	apelido
Anico	0.00058	apelido
Anileiro	0.00029	apelido
