glDrawRangeElementsBaseVertex glDrawRangeElementsBaseVertexEXT
glDrawRangeElements glDrawRangeElementsEXT
glDrawTransformFeedback glDrawTransformFeedbackEXT
glDrawTransformFeedbackInstanced glDrawTransformFeedbackInstancedEXT
glDrawTransformFeedback glDrawTransformFeedbackNV
glEnablei glEnableIndexedEXT
glEnableVertexAttribArray glEnableVertexAttribArrayARB
glEnablei glEnableiEXT
glEnablei glEnableiNV
glEndConditionalRender glEndConditionalRenderNV
glEndConditionalRender glEndConditionalRenderNVX
glEndQuery glEndQueryARB
glEndTransformFeedback glEndTransformFeedbackEXT
glEndTransformFeedback glEndTransformFeedbackNV
glFenceSync glFenceSyncAPPLE
glFlushMappedBufferRange glFlushMappedBufferRangeAPPLE
glFlushMappedBufferRange glFlushMappedBufferRangeEXT
glFogCoordPointer glFogCoordPointerEXT
glFogCoordd glFogCoorddEXT
glFogCoorddv glFogCoorddvEXT
glFogCoordf glFogCoordfEXT
glFogCoordfv glFogCoordfvEXT
glFramebufferRenderbuffer glFramebufferRenderbufferEXT
glFramebufferTexture1D glFramebufferTexture1DEXT
glFramebufferTexture2D glFramebufferTexture2DEXT
glFramebufferTexture3D glFramebufferTexture3DEXT
glFramebufferTexture glFramebufferTextureARB
glFramebufferTexture glFramebufferTextureEXT
glFramebufferTextureFaceARB glFramebufferTextureFaceEXT
glFramebufferTextureLayer glFramebufferTextureLayerARB
glFramebufferTextureLayer glFramebufferTextureLayerEXT
glGenBuffers glGenBuffersARB
glGenFramebuffers glGenFramebuffersEXT
glGenProgramsARB glGenProgramsNV
glGenQueries glGenQueriesARB
glGenRenderbuffers glGenRenderbuffersEXT
glGenTransformFeedbacks glGenTransformFeedbacksNV
glGenVertexArrays glGenVertexArraysAPPLE
glGenerateMipmap glGenerateMipmapEXT
glGetActiveAttrib glGetActiveAttribARB
glGetActiveUniform glGetActiveUniformARB
glGetAttribLocation glGetAttribLocationARB
glGetBooleani_v glGetBooleanIndexedvEXT
glGetBufferParameteriv glGetBufferParameterivARB
glGetBufferPointerv glGetBufferPointervARB
glGetBufferSubData glGetBufferSubDataARB
glGetColorTable glGetColorTableEXT
glGetColorTableParameterfv glGetColorTableParameterfvEXT
glGetColorTableParameteriv glGetColorTableParameterivEXT
glGetCompressedTexImage glGetCompressedTexImageARB
glGetDebugMessageLog glGetDebugMessageLogARB
glGetDebugMessageLog glGetDebugMessageLogKHR
glGetDoublei_v glGetDoubleIndexedvEXT
glGetDoublei_v glGetDoublei_vEXT
glGetFloati_v glGetFloatIndexedvEXT
glGetFloati_v glGetFloati_vEXT
glGetFloati_v glGetFloati_vNV
glGetFragDataIndex glGetFragDataIndexEXT
glGetFragDataLocation glGetFragDataLocationEXT
glGetFramebufferAttachmentParameteriv glGetFramebufferAttachmentParameterivEXT
glGetGraphicsResetStatus glGetGraphicsResetStatusEXT
glGetGraphicsResetStatus glGetGraphicsResetStatusKHR
glGetInteger64v glGetInteger64vAPPLE
