Instrument;Type;"Und Type";Underlying;Expiry;Strike;Pos;ThVal;Delta;Gamma;Vega;"Val Group";"Calc Type";"DLL Version";"KVN";
8e3f76770308;Option;EquityIndex;8a9e9d25e797;"01.07.2014 17:30:00";;-830;-82967;;;;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
1332b8c0bb26;Option;EquityIndex;8a9e9d25e797;"01.07.2014 17:30:00";;830;;;;;da526694dd77;2a0de99139f8;"[5, 4, 0, 6]";480e6a654c19;
8d507a118a53;Option;EquityIndex;1e244781909f;"20.02.2015 17:30:00";;-2122;-173343;;;6467;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
bfe36e98159e;Option;EquityIndex;43c95c7993c7;"28.01.2016 17:30:00";;-3519;-38215;;;-535;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
b3d9071954aa;Option;EquityIndex;caa99f33716a;"15.05.2015 17:30:00";;-2086;;;;;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
83fef1893076;Option;EquityIndex;11d2a9786bc1;"17.06.2016 17:30:00";;-2814;-588337;;;10785;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
5bfffc88d643;Option;EquityIndex;57f1b56229a5;"15.07.2016 20:00:00";;-1059;-153665;;;3612;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
31c7b32bb1ab;Option;EquityIndex;3d2eb12616f0;"12.08.2016 17:30:00";;-1316;-127172;;;6709;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
7b835ea14f38;Option;EquityIndex;c86f33309b58;"01.10.2015 17:30:00";;-6995;-893388;;;14890;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
a67eadf55eec;Option;EquityIndex;2890369db42f;"23.07.2015 17:30:00";;-8364;-35946;;;;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
2d98e24d617f;Option;EquityIndex;d1a5d3bf6b35;"15.11.2018 17:30:00";;-700;-51781;;;2842;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
05074b8bfb53;Option;EquityIndex;bf3a48ad5358;"13.12.2018 17:30:00";;-550;-40358;;;1636;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
487a418e544a;Option;EquityIndex;0d45e27fd870;"10.01.2019 17:30:00";;-550;-36882;;;1714;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
8e5ec77b33de;Option;EquityIndex;b8815e96855c;"07.02.2019 17:30:00";;-711;-53388;;;1893;da526694dd77;d2fca4a8c628;"[5, 4, 0, 6]";480e6a654c19;
