99	55	etext93	L. Frank Baum	The Wonderful Wizard of Oz
100	70	etext93	Mark Twain	What Is Man?
101	68	etext93	Edgar Rice Burroughs	Warlord of Mars
102	48	etext93		The 1992 CIA World Factbook
103	87	etext93		The 1993 CIA World Factbook
104	86	etext93	Mark Twain	A Connecticut Yankee in King Arthur's Court
105	95	etext93	Anthony Hope	The Prisoner of Zenda
106	89	etext93		The NAFTA Treaty, Chapters
107	89	etext93		The NAFTA Treaty, Tariffs
108	89	etext93		The NAFTA Treaty, Annexes
109	50	etext93		Pi to 1 Million Places
110	64	etext93	Edgar Rice Burroughs	Gods of Mars (HTML)
111	64	etext93	Edgar Rice Burroughs	Thuvia, Maid of Mars (HTML)
112	62	etext93	Edgar Rice Burroughs	A Princess of Mars (HTML)
113	68	etext93	Edgar Rice Burroughs	Warlord of Mars (HTML)
114	164	etext94	Jules Verne	20,000 Leagues Under the Sea
115	98	etext94	Charles Dickens	A Tale of Two Cities
116	129	etext94		The Square Root of Two to 5 Million Digits
117	103	etext94	Jules Verne	Around the World in 80 Days
118	167	etext94	S. D. Humphrey	American Handbook of the Daguerreotype
119	124	etext94		The Deuterocanonical Books of the Bible
120	128	etext94	Andrew Lang	The Arabian Nights Entertainments
121	160	etext94	Kate Chopin	The Awakening and Other Texts
122	142	etext94	Mark Twain	The $30,000 Request
123	148	etext94	Benjamin Franklin	The Autobiography of Benjamin Franklin
124	118	etext94	Electronic Frontier Foundation	Big Dummy's Guide to the Internet
125	136	etext94	R. L. Stevenson	A Child's Garden of Verses
126	171	etext94	Susanna Rowson	Charlotte Temple
127	147	etext94	Thomas Paine	Common Sense
128	178	etext94	Henry James	Confidence
129	107	etext94	Thomas Hardy	Far from the Madding Crowd
130	174	etext94	Oscar Wilde	The Picture of Dorian Gray
131	157	etext94	Webster	Daddy-Long-Legs
132	159	etext94	H. G. Wells	The Island of Doctor Moreau
133	99	etext94	Frederick Douglass	The Collected Works of Frederick Douglass
134	133	etext94	Harold Frederick	The Damnation of Theron Ware
135	123	etext94	Edgar Rice Burroughs	At the Earth's Core
136	109	etext94	Edna St. Vincent Millay	Renascence and Other Poems
137	127	etext94		e to Approximately 1 Million Places
138	158	etext94	Jane Austen	Emma
139	104	etext94	Franklin D. Roosevelt	First Inaugural Speech
140	163	etext94	Louisa May Alcott	Flower Fables
141	87	etext94	Edwin A. Abbott	Flatland
142	111	etext94	Gene Stratton-Porter	Freckles
143	173	etext94	Sax Rodner	The Insidious Dr. Fu Manchu
144	113	etext94	Frances Hodgson Burnett	The Secret Garden
145	101	etext94	Bruce Sterling	Hacker Crackdown
146	172	etext94	Christopher Morley	The Haunted Bookshop
147	323	etext95	Rudyard Kipling	Verses 1889-1896
148	206	etext95		Martin Luther King Day Etext Memorial
149	277	etext95	U.S. Department of Energy	Trinity Site
150	278	etext95	White Sands Missile Range Public Affairs Office	Trinity Site
151	308	etext95	Jerome K. Jerome	Three Men in a Boat
152	307	etext95	Andrew Barton 'Banjo' Paterson	Three Elephant Power
153	368	etext95	Russell H. Conwell	Acres of Diamonds
154	258	etext95	Adam Lindsay Gordon	Poems
155	287	etext95	Amelia E. Barr	Remember the Alamo
156	228	etext95	Virgil	Aeneid (English)
157	227	etext95	Virgil	Aeneid (Latin)
158	211	etext95	Henry James	The Aspern Papers
159	275	etext95	Philip Melanchthou	The Augsburg Confession
160	330	etext95	Mary Roberts Rinehart	Where There's a Will
161	366	etext95	Mary Roberts Rinehart	Bab: A Sub-Deb
162	310	etext95	Jack London	Before Adam
163	312	etext95	Stephen Vincent Benet	Young Adventure
164	289	etext95	Kenneth Grahame	The Wind in the Willows
165	223	etext95	G. K. Chesterton	The Wisdom of Father Brown
166	295	etext95	Edith Wharton	The Early Short Fiction of Edith Wharton Part One
167	306	etext95	Edith Wharton	The Early Short Fiction of Edith Wharton Part Two
168	378	etext95	Robert S. Rudder	The White Knight: Tirant lo Blanc
169	380	etext95	Robert Louis Stevenson	Weir of Hermiston
170	247	etext95		Webster's Unabridged Dictionary
171	247	etext95		Webster's Unabridged Dictionary
172	208	etext95	Eliot Gregory	The Ways of Men
173	205	etext95	Henry David Thoreau	Walden
174	334	etext95	Richard Harding Davis	Episodes in Van Bibber's Life
175	203	etext95	Harriet Beecher Stowe	Uncle Tom's Cabin
176	293	etext95		Radar Map of the United States
177	252	etext95		The United States Copyright Act of 1976
178	251	etext95		The 1995 U.S. Congress Address Book [Revision A]
179	251	etext95		The 1995 U.S. Congress Address Book [Revision B]
180	251	etext95		The 1995 U.S. Congress Address Book
181	299	etext95	Hjalmar Hjorth Boysen	Tales from Two Hemispheres
