# Deduceri pentru 3 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
0	1036	550
1037	1072	540
1073	1109	530
1110	1145	520
1146	1181	510
1182	1218	500
1219	1254	490
1255	1290	480
1291	1327	470
1328	1363	460
1364	1399	450
1400	1436	440
1437	1472	430
1473	1509	420
1510	1545	410
1546	1581	400
1582	1618	390
1619	1654	380
1655	1690	370
1691	1727	360
1728	1763	350
1764	1799	340
1800	1836	330
1837	1872	320
1873	1909	310
1910	1945	300
1946	1981	290
1982	2018	280
2019	2054	270
2055	2090	260
2091	2127	250
2128	2163	240
2164	2199	230
2200	2236	220
2237	2272	210
2273	2309	200
2310	2345	190
2346	2381	180
2382	2418	170
2419	2454	160
2455	2490	150
2491	2527	140
2528	2563	130
2564	2599	120
2600	2636	110
2637	2672	100
2673	2709	90
2710	2745	80
2746	2781	70
2782	2818	60
2819	2854	50
2855	2890	40
2891	2927	30
2928	2963	20
2964	2999	10
3000	999999	0
