"id","country_id","name","sequence","timestamp"
"1","5","7 parishes","1","2016-06-09 03:13:29"
"2","233","7 emirates","1","2016-06-09 03:13:29"
"3","1","34 provinces","1","2016-06-09 03:13:29"
"4","9","6 parishes","1","2016-06-09 03:13:29"
"5","9","2 dependencies","2","2016-06-09 03:13:29"
"6","2","12 counties","1","2016-06-09 03:13:29"
"7","2","36 districts","2","2016-06-09 03:13:29"
"8","11","1 city","1","2016-06-09 03:13:29"
"9","11","10 regions","2","2016-06-09 03:13:29"
"10","6","18 provinces","1","2016-06-09 03:13:29"
"11","10","1 city","1","2016-06-09 03:13:29"
"12","10","23 provinces","2","2016-06-09 03:13:29"
"13","14","9 states","1","2016-06-09 03:13:29"
"14","13","6 states","1","2016-06-09 03:13:29"
"15","13","2 territories","2","2016-06-09 03:13:29"
"16","15","1 autonomous republic","1","2016-06-09 03:13:29"
"17","15","11 municipalities","2","2016-06-09 03:13:29"
"18","15","66 rayons","3","2016-06-09 03:13:29"
"19","28","2 entities","1","2016-06-09 03:13:29"
"20","28","1 district with special status","2","2016-06-09 03:13:29"
"21","19","11 parishes","1","2016-06-09 03:13:29"
"22","18","7 divisions","1","2016-06-09 03:13:29"
"23","18","64 districts","2","2016-06-09 03:13:29"
"24","21","3 regions","1","2016-06-09 03:13:29"
"25","21","10 provinces","2","2016-06-09 03:13:29"
"26","35","13 regions","1","2016-06-09 03:13:29"
"27","35","45 provinces","2","2016-06-09 03:13:29"
"28","34","28 regions","1","2016-06-09 03:13:29"
"29","17","4 governorates","1","2016-06-09 03:13:29"
"30","36","18 provinces","1","2016-06-09 03:13:29"
"31","23","12 departments","1","2016-06-09 03:13:29"
"32","33","4 districts","1","2016-06-09 03:13:29"
"33","26","9 departments","1","2016-06-09 03:13:29"
"34","27","3 special municipalities","1","2016-06-09 03:13:29"
"35","31","1 federal district","1","2016-06-09 03:13:29"
"36","31","26 states","2","2016-06-09 03:13:29"
"37","16","31 districts","1","2016-06-09 03:13:29"
"38","25","20 districts","1","2016-06-09 03:13:29"
"39","29","10 districts","1","2016-06-09 03:13:29"
"40","29","4 towns","2","2016-06-09 03:13:29"
"41","29","2 cities","3","2016-06-09 03:13:29"
"42","20","6 oblasts","1","2016-06-09 03:13:29"
"43","20","1 city","2","2016-06-09 03:13:29"
"44","22","6 districts","1","2016-06-09 03:13:29"
"45","40","10 provinces","1","2016-06-09 03:13:29"
"46","40","3 territories","2","2016-06-09 03:13:29"
"47","51","1 city","1","2016-06-09 03:13:29"
"48","51","10 provinces","2","2016-06-09 03:13:29"
"49","42","1 commune","1","2016-06-09 03:13:29"
"50","42","14 prefectures","2","2016-06-09 03:13:29"
"51","42","2 economic prefectures","3","2016-06-09 03:13:29"
"52","50","12 departments","1","2016-06-09 03:13:29"
"53","215","26 cantons","1","2016-06-09 03:13:29"
"54","59","12 districts","1","2016-06-09 03:13:29"
"55","59","2 autonomous districts","2","2016-06-09 03:13:29"
"56","44","15 regions","1","2016-06-09 03:13:29"
"57","39","10 regions","1","2016-06-09 03:13:29"
"58","45","4 municipalities","1","2016-06-09 03:13:29"
"59","45","23 provinces","2","2016-06-09 03:13:29"
"60","45","5 autonomous regions","3","2016-06-09 03:13:29"
"61","45","2 special administrative regions","4","2016-06-09 03:13:29"
"62","48","1 capital district","1","2016-06-09 03:13:29"
"63","48","32 departments","2","2016-06-09 03:13:29"
