JOURNAL	ISSN	2013/2014	2012	2011	2010	2009	2008
Acta Physiologica Academiae Scientiarum Hungaricae	0231-424X	0.747	0.882	0.821	1.226	0.75	0.491
Acta Physiologiae Plantarum	0137-5881	1.524	1.305	1.639	1.344	1.232	0.807
Acta Physiologica	1748-1708	4.251	4.382	3.09	3.138	2.81	2.455
Acta Phytotaxonomica Sinica	0529-1526	-	-	-	-	0.88	0
Acta Poloniae Pharmaceutica	0001-6837	0.693	0.665	0.663	0.465	0.347	-
Acta Polymerica Sinica	1000-3304	0.639	0.677	0.769	0.481	0.437	0.565
Acta Polytechnica Hungarica	1785-8860	0.471	0.588	0.385	0.284	-	-
Acta Protozoologica	0065-1583	1.179	0.984	1.317	0.881	0.775	1.013
Acta Psychiatrica Scandinavica	0001-690X	5.545	4.857	4.22	3.795	3.733	3.525
Acta Radiologica	0284-1851	1.35	1.33	1.369	1.483	1.27	1.091
Acta Reumatologica Portuguesa	0303-464X	0.831	0.695	0.547	0.451	0.726	-
Acta Scientiarum-Agronomy	1807-8621	0.631	0.365	-	-	-	-
Acta Scientiarum Polonorum-Hortorum Cultus	1644-0692	0.522	0.691	0.393	0.547	0.375	-
Acta Scientiarum-Technology	1806-2563	0.458	0.319	0.191	0.15	0.267	-
Acta Scientiae Veterinariae	1678-0345	0.154	0.273	0.207	0.127	-	-
Acta Societatis Botanicorum Poloniae	0001-6977	1.195	0.585	0.36	0.256	0.434	0.418
Acta Theriologica	0001-7051	1.161	0.949	0.89	0.985	0.987	1.118
Acta Tropica	0001-706X	2.519	2.787	2.722	2.262	2.221	1.707
Acta Veterinaria-Beograd	0567-8315	0.133	0.258	0.167	0.169	0.179	0.167
Acta Veterinaria Brno	0001-7213	0.448	0.393	0.431	0.534	0.403	0.395
Acta Veterinaria Hungarica	0236-6290	0.802	1.173	0.673	1.264	0.642	0.624
Acta Veterinaria Scandinavica	0044-605X	1.382	1.345	1.367	1.196	1	0.899
Acta Virologica	0001-723X	1.037	0.759	0.682	0.547	0.746	0.81
Acta Zoologica Academiae Scientiarum Hungaricae	1217-8837	0.263	0.472	0.564	0.474	0.514	0.522
Acta Zoologica Bulgarica	0324-0770	0.357	0.309	0.247	0.269	-	-
Acta Zoologica	0001-7272	1.296	1.471	1.133	1.13	1.365	1.333
Actas Espanolas De Psiquiatria	1139-9287	0.759	0.452	0.589	0.695	0.515	0.446
Actas Urologicas Espanolas	0210-4806	1.148	1.144	0.455	0.274	-	-
Actualite Chimique	0151-9093	-	0.086	0.115	0.145	0.143	0.152
Acupuncture in Medicine	0964-5284	1.676	1.047	1.188	1.381	-	-
Acupuncture & Electro-Therapeutics Research	0360-1293	0.4	0.737	1.3	1	0.25	0.692
Ad Hoc Networks	1570-8705	1.943	1.456	2.11	1.592	1.293	-
Ad Hoc & Sensor Wireless Networks	1551-9899	0.478	0.41	0.4	0.302	0.309	-
Adansonia	1280-8571	0.48	0.639	0.325	0.512	0.359	0.444
Adaptive Behavior	1059-7123	1.151	1.113	1.019	1.136	1.911	1.152
Adapted Physical Activity Quarterly	0736-5829	1.079	1.125	1.487	1.189	0.947	0.837
Addictive Behaviors	0306-4603	2.441	2.021	2.085	2.133	2.248	1.846
Addiction Biology	1369-1600	5.929	5.914	4.833	4.152	4.728	4.953
Addiction	0965-2140	4.596	4.577	4.313	4.145	3.842	4.244
Adicciones	0214-4840	1.167	1.015	0.8	1.127	-	-
Adsorption Science & Technology	0263-6174	0.93	0.559	0.606	0.559	0.344	0.424
Adsorption-Journal Of The International Adsorption Society	0929-5607	1.735	1.553	2	1.993	1.58	1.237
Advances In Agronomy	0065-2113	5.021	5.06	5.204	3.64	3.8	3.114
Advances In Anatomy Embryology And Cell Biology	0301-5556	9.8	3.2	4	1.471	2.211	1.778
Advances In Anatomic Pathology	1072-4109	3.1	3.412	3.924	3.087	3.221	3.69
Advances In Applied Ceramics	1743-6753	1.107	0.688	0.871	0.726	0.642	0.708
Advances in Applied Clifford Algebras	0188-7009	0.53	0.584	0.496	0.491	0.447	0.396
Advances in Applied Mathematics and Mechanics	2070-0733	0.645	0.528	0.75	0.51	-	-
Advances In Applied Mathematics	0196-8858	0.878	0.838	0.843	0.8	0.931	0.696
Advances In Applied Mechanics	0065-2156	1.2	11.333	5	3	5.5	5
Advances In Applied Microbiology	0065-2164	2.243	4.974	5.233	3.913	1.86	1.658
Advances In Applied Probability	0001-8678	0.829	0.9	0.679	0.72	0.852	0.807
Advances in Astronomy	1687-7969	1.234	-	-	-	-	-
Advances In Atmospheric Sciences	0256-1530	1.459	1.338	0.987	0.925	0.691	0.679
Advances In Atomic Molecular And Optical Physics	1049-250X	3.4	2	-	4.947	3.087	2.762
Advances In Biochemical Engineering / Biotechnology	0724-6145	2.6	-	1.644	2.139	4.165	2.569
Advances In Biophysics	0065-227X	-	-		-	-	-
Advances in Botanical Research	0065-2296	1.74	2.292	2.855	2.319	1.333	-
Advances in Calculus of Variations	1864-8258	0.552	0.545	0.688	0.581	-	-
Advances In Cancer Research	0065-230X	4.255	6.351	-	6.08	4.456	4.721
Advances In Carbohydrate Chemistry And Biochemistry	0065-2318	3.917	7.133	7.643	3	2.667	3
Advances In Catalysis	0360-0564	8.143	5.25	3.667	8.167	3.571	4.812
Advances In Cement Research	0951-7197	0.486	0.754	1.08	0.651	0.756	0.476
Advances In Chemical Physics	0065-2385	2.118	5.25	3.579	-	2.471	-
Advances In Chromatography	0065-2415	-	1.526	1.842	-	1.235	2.6
Advances In Chronic Kidney Disease	1548-5595	1.935	2.029	3.012	1.843	2.415	1.673
Advances In Clinical Chemistry	0065-2423	4.302	3.674	3.205	3.263	3.406	3.094
Advances in Clinical and Experimental Medicine	1899-5276	0.333	0.293	0.176	-	-	-
Advances In Colloid And Interface Science	0001-8686	8.636	6.169	8.12	8.651	5.675	5.333
Advances In Complex Systems	0219-5259	0.786	0.647	0.653	1.213	0.723	0.197
Advanced Composites Letters	0963-6935	-	0.422	0.432	0.277	0.311	0.27
Advanced Composite Materials	0924-3046	0.481	0.358	0.426	0.358	0.5	0.404
Advances In Computational Mathematics	1019-7168	1.562	1.468	1.488	1.438	1.354	1.148
Advances In Computers	0065-2458	0.489	0.389	0.342	0.222	0.393	0.267
Advances in Condensed Matter Physics	1687-8108	1.013	1.175	1.158	-	-	-
Advances in Data Analysis and Classification	1862-5347	0.919	1.382	0.562	0.581	-	-
Advances in Difference Equations	1687-1847	0.634	0.76	0.845	-	-	-
Advances in Differential Equations	1079-9389	0.763	0.633	0.727	-	-	-
Advanced Drug Delivery Reviews	0169-409X	12.707	12.888	11.502	13.577	11.957	8.287
Advances In Ecological Research	0065-2504	6.25	3.08	5.333	3.077	0.762	1.2
Advances in Electrical and Computer Engineering	1582-7445	0.642	0.552	0.555	0.688	0.509	-
Advanced Energy Materials	1614-6832	14.385	10.043		-	-	-
Advanced Engineering Informatics	1474-0346	2.068	1.593	1.489	1.4	1.73	1.848
Advanced Engineering Materials	1438-1656	1.508	1.608	1.185	1.738	1.761	1.506
Advances In Engineering Software	0965-9978	1.422	1.22	1.092	1.004	1.045	1.188
Adv Exp Med Biol	0065-2598	-	1.825	1.093	1.379	2.02	-
Advanced Functional Materials	1616-301X	10.439	9.765	10.179	8.486	6.99	6.808
Advances In Genetics	0065-2660	5.41	4.85	-	2.453	-	-
Advances In Geometry	1615-715X	0.314	0.371	0.338	0.4	0.386	0.324
Advances In Geophysics	0065-2687	0.333	3.333	0.889	-	0.724	2.1
Advances In Health Sciences Education	1382-4996	2.705	2.061	2.089	1.416	1.412	1.254
Advanced Healthcare Materials	2192-2640	4.88		-	-	-	-
Advances In Heterocyclic Chemistry	0065-2725	2.8	2.478	1.818	1	2.375	1.35
Advances in High Energy Physics	1687-7357	2.624	3.5	4.522	1.846	-	-
Advances In Human Genetics	0065-275X	-	-		-	-	-
Advances in Imaging and Electron Physics	1076-5670	0.582	0.712	0.491	0.862	-	-
Advances In Immunology	0065-2776	5.529	7.256	5.762	7.195	7.725	8.625
Advances In Inorganic Chemistry	0898-8838	2.556	2.714	3.048	3.5	1.714	4.214
Advances In Insect Physiology	0065-2806	2.684	2.35	2.842	6.667	10.5	5
Advances In Marine Biology	0065-2881	5	2.048	2.043	-	3.9	4.909
Advanced Materials & Processes	0882-7958	0.253	0.15	0.066	0.178	0.199	0.129
Advances in Materials Science and Engineering	1687-8434	0.897	0.5	0.415	-	-	-
Advanced Materials	0935-9648	15.409	14.829	13.877	10.857	8.379	8.191
Advances In Mathematics Of Communications	1930-5346	0.651	0.6	0.462	0.544	0.847	0.97
Advances in Mathematical Physics	1687-9120	0.532	0.459	-	-	-	-
Advances In Mathematics	0001-8708	1.353	1.373	1.177	1.372	1.403	1.28
Advances in Mechanical Engineering	1687-8132	0.5	1.062	-	-	-	-
Advances in Medical Sciences	1896-1126	0.964	0.796	0.952	0.798	-	-
Advances in Meteorology	1687-9309	1.348	1.239	-	-	-	-
Advances In Microbial Ecology	0147-4863	-	-		-	-	-
Advances In Microbial Physiology	0065-2911	5.8	6.545	9.875	8.556	5.75	8.25
Adv Neurol	0091-3952	-	-		-	-	-
Advanced Nonlinear Studies	1536-1365	0.674	0.538	0.644	0.805	0.739	0.562
Advances In Nursing Science	0161-9268	0.867	0.822	0.969	1.407	1.414	1.211
Adv Nutr Res	0149-9483	-	-		-	-	-
Advances in Nutrition	2161-8313	4.891	3.245	-	-	-	-
Advanced Optical Materials	2195-1071	-	-	-	-	-	-
Advances in Optics and Photonics	1943-8206	9.688	-	-	-	-	-
Advances In Organometallic Chemistry	0065-3055	3.6	6.75	7	9.692	7.154	3.571
Advances In Parasitology	0065-308X	4.36	3.778	4.39	2.886	6.231	5.514
Advances In Physical Organic Chemistry	0065-3160	1.714	2.818	1.923	1	2	1.833
Advances In Physics	0001-8732	18.062	34.294	37	21.214	19.632	15.826
Advances In Physiology Education	1043-4046	1.237	1.217	1.547	1.382	1.542	1.483
Advances In Polymer Science	0065-3195	3.674	3.648	3.89	6.723	4.6	6.802
Advances In Polymer Technology	0730-6679	2.147	1.096	0.875	0.7	0.769	0.979
Advanced Powder Technology	0921-8831	1.642	1.65	1.612	0.84	0.636	0.716
Advances in Protein Chemistry and Structural Biology	1876-1623	3.736	3.128	1.833	0.667	-	-
Advances In Protein Chemistry	0065-3233	-	-	-	0.75	3.2	3.875
Advances In Quantum Chemistry	0065-3276	1.88	2.161	2.275	1.1	1.167	3
Advanced Robotics	0169-1864	0.562	0.51	0.571	0.653	0.629	0.737
Adv Sci Lett	1936-6612	-	-	-	1.253	-	-
Advances in Skin & Wound Care	1527-7941	1.634	1.5	1.438	-	-	-
Advances In Space Research	0273-1177	1.238	1.183	1.178	1.076	1.079	0.86
Advanced Steel Construction	1816-112X	0.22	0.661	0.339	0.296	-	-
Advances In Structural Engineering	1369-4332	0.603	0.489	0.324	0.463	0.465	0.513
Advances In The Study Of Behavior	0065-3454	2.692	3.182	3.367	5.87	5.167	2.5
Advanced Synthesis & Catalysis	1615-4150	5.542	5.535	6.048	5.25	5.187	5.619
