JOURNAL	ISSN	2013/2014	2012	2011	2010	2009	2008
African Journal Of Herpetology	2156-4574	1.077	0.815	0.714	-	-	-
African Journal Of Marine Science	1814-232X	1.057	0.932	0.98	1.229	1.52	1.312
African Journal of Microbiology Research	1996-0808	-	-	0.539	0.528	0.407	0.409
Afr J Pharm Pharmaco	1996-0816	-	-	0.839	0.5	0.667	-
African Journal of Psychiatry	1994-8220	0.727	0.871	1.068	-	-	-
African Journal Of Range & Forage Science	1022-0119	0.367	0.432	0.6	0.262	-	-
African Journal of Traditional Complementary and Alternative Medicines	0189-6016	0.56	0.518	0.707	0.457	0.317	-
African Natural History	2305-7963	0.111	0.111	0.25	0.438	-	-
African Zoology	1562-7020	0.848	0.746	0.9	1.018	0.746	0.437
Age And Ageing	0002-0729	3.107	3.816	3.09	2.719	3.131	3.052
Age	0161-9152	3.445	4.084	3.948	6.28	5.839	5.105
Ageing Research Reviews	1568-1637	7.628	5.953	6.174	9	5.622	6.209
Aggressive Behavior	0096-140X	2.269	2.247	2.63	1.804	1.698	2.056
Aging Cell	1474-9718	5.939	5.705	6.265	7.148	7.554	7.791
Aging Clinical And Experimental Research	1594-0667	1.138	1.006	1.552	1.693	1.255	1.397
Aging Male	1368-5538	1.85	1.711	1.518	1.674	1.705	2.622
Aging & Mental Health	1360-7863	1.781	1.677	1.368	1.316	1.127	1.291
Aging-US	1945-4589	4.886	4.696	5.127	2.964	-	-
Agricultural Economics	0169-5150	1.085	1.03	0.769	1.329	0.673	0.484
Agricultural Economics-Zemedelska Ekonomika	0139-570X	0.325	-	-	-	0.716	-
Agriculture Ecosystems & Environment	0167-8809	3.203	2.859	3.004	2.79	3.13	2.884
Agricultural And Food Science	1459-6067	1	0.793	0.923	0.597	0.925	0.697
Agricultural And Forest Entomology	1461-9555	1.556	1.467	1.596	1.484	1.554	1.377
Agricultural And Forest Meteorology	0168-1923	3.894	3.421	3.389	3.228	3.197	3.668
Agricultural History	0002-1482	0.324	0.114	0.312	0.258	0.375	0.097
Agriculture And Human Values	0889-048X	1.359	1.355	1.54	1.054	1.123	1.186
Agricultural Sciences in China	1671-2927	0.82	0.527	0.449	-	-	-
Agricultural Systems	0308-521X	2.453	2.504	2.899	2.907	2.11	1.708
Agr Tec	0365-2807	-	-	-	-	0.451	-
Agricultural Water Management	0378-3774	2.333	2.203	1.998	1.782	2.016	1.646
Agrarforschung Schweiz	1663-7852	0.03	0.169	0.138	-	-	-
Agrarforschung	1022-663X	-	-	0.314	0.232	0.161	-
Agrartech Forsch-Agr	0948-7298	-	-	-	-	0.364	-
Agrekon	0303-1853	0.14	0.327	0.653	0.426	-	-
Agribusiness	0742-4477	0.516	0.763	0.672	0.406	0.354	-
Agro Food Industry Hi-Tech	1722-6996	0.294	0.234	0.225	0.238	0.191	0.189
Agrochimica	0002-1857	0.314	0.31	0.25	0.279	0.288	0.179
Agrociencia	1405-3195	0.049	0.312	0.374	0.294	0.264	0.232
Agroecology and Sustainable Food Systems	2168-3565	-	-	-	-	-	-
Agroforestry Systems	0167-4366	1.24	1.373	1.378	1.183	1.016	0.845
Agronomy Journal	0002-1962	1.542	1.518	1.794	1.797	1.416	1.532
Agronomy for Sustainable Development	1774-0746	2.841	3.573	3.33	2.972	1.65	1.649
Ai Communications	0921-7126	0.466	0.449	0.5	0.837	0.755	0.608
Ai Edam-Artificial Intelligence For Engineering Design Analysis And Manufacturing	0890-0604	0.553	0.407	0.786	0.64	0.636	0.477
Ai Magazine	0738-4602	0.5	0.726	0.808	0.525	1.018	0.691
Aiaa Journal	0001-1452	1.165	1.08	1.057	1.147	0.99	1.025
Aiche Journal	0001-1541	2.581	2.493	2.261	2.03	1.955	1.883
Aids Patient Care And Stds	1087-2914	3.576	3.09	2.411	2.333	2.683	2.392
Aids Read	1053-0894	-	-	-	-	0.612	-
Aids Research And Human Retroviruses	0889-2229	2.457	2.705	2.246	2.082	2.178	2.024
AIDS Research and Therapy	1742-6405	1.841	-	-	-	-	-
Aids Reviews	1139-6121	4.023	4.075	3.512	4.786	3.786	3.268
Aids	0269-9370	6.557	6.407	6.245	6.348	4.909	5.46
AIP Advances	2158-3226	1.59	1.349	-	-	-	-
Air Quality Atmosphere and Health	1873-9318	1.455	1.979	-	-	-	-
Aircraft Engineering And Aerospace Technology	1748-8842	0.48	0.441	0.195	0.372	0.076	0.183
AJAR-African Journal of AIDS Research	1608-5906	0.608	0.262	0.6	0.425	0.569	-
Aktuelle Neurologie	0302-4350	-	0.32	0.318	0.327	0.213	0.295
Aktuelle Rheumatologie	0341-051X	0.056	0.097	0.083	0.243	0.127	0.084
Aktuelle Urologie	0001-7868	0.28	0.474	0.267	0.303	0.206	0.168
Alcatel Telecommunications Review	1267-7167	-	-	-	-	0	0.015
Alcheringa	0311-5518	0.899	1.171	0.926	1.578	0.851	0.512
Alcohol And Alcoholism	0735-0414	2.092	1.956	2.946	2.599	2.289	2.137
Alcoholism-Clinical And Experimental Research	0145-6008	3.311	3.421	3.343	3.468	3.392	3.166
Alcohol	0741-8329	2.038	2.255	2.468	2.423	2.407	2.363
Aldrichimica Acta	0002-5100	16.333	-	16.091	11.786	18.688	16.733
ALEA-Latin American Journal of Probability and Mathematical Statistics	1980-0436	0.638	0.564	0.381	-	-	-
Algal Research-Biomass Biofuels and Bioproducts	2211-9264	4.095	-	-	-	-	-
Algebra Colloquium	1005-3867	0.272	0.308	0.237	0.305	0.38	0.24
Algebraic and Geometric Topology	1472-2739	0.489	0.682	0.558	0.667	0.624	0.55
Algebra and Logic	0002-5232	0.488	0.493	0.359	0.455	0.479	-
Algebra & Number Theory	1937-0652	0.581	0.625	0.539	0.757	-	-
Algebras And Representation Theory	1386-923X	0.719	0.554	0.595	0.532	0.516	0.776
Algebra Universalis	0002-5240	0.551	0.446	0.43	0.479	0.245	0.313
Algorithms for Molecular Biology	1748-7188	1.857	1.606	1.352	2.8	1.821	2.081
Algorithmica	0178-4617	0.567	0.488	0.604	1.239	0.917	0.825
Alimentary Pharmacology & Therapeutics	0269-2813	5.478	4.548	3.769	3.861	4.357	1.215
Allelopathy Journal	0971-4693	0.578	0.685	0.846	0.635	0.793	0.525
Allergologia Et Immunopathologia	0301-0546	1.58	1.229	1.043	0.779	0.63	-
Allergologie	0344-5062	0.297	0.336	0.258	0.143	0.12	0.175
Allergy Asthma & Immunology Research	2092-7355	3.084	2.653	1.913	-	-	-
Allergy And Asthma Proceedings	1088-5412	3.353	2.193	2.17	1.735	1.796	1.487
Allergy Clin Immunol	0838-1925	-	-		-	0.615	-
Allergy	0105-4538	5.995	5.883	6.271	6.297	6.38	6.204
Allgemeine Forst Und Jagdzeitung	0002-5852	0.705	0.239	0.25	0.25	0.411	0.444
Alpine Botany	1664-2201	2.417	1.769		-	-	-
Alternative Medicine Review	1089-5159	-	4.857	3.55	3.571	3.515	2.808
Alternative Therapies In Health And Medicine	1078-6791	1.143	-	-	1.215	-	2.25
ALTEX-Alternatives to Animal Experimentation	1868-596X	3.63	4.093	-	4.429	-	-
Altex-Alternativen Zu Tierexperimenten	0946-7785	-	-	-	-	0.922	1.309
Alzheimer Disease & Associated Disorders	0893-0341	2.688	2.728	2.811	2.583	2.875	3.22
Alzheimers & Dementia	1552-5260	17.472	14.483	6.373	5.902	4.553	-
Alzheimers Research & Therapy	1758-9193	3.5	4.39	-	-	-	-
American Bee Journal	0002-7626	0.042	0.09	0.08	0.179	0.232	0.155
American Biology Teacher	0002-7685	0.369	0.39	0.133	-	0.263	0.308
American Ceramic Society Bulletin	0002-7812	0.818	-	0.522	0.177	0.268	0.324
American Family Physician	0002-838X	1.818	1.611	-	1.547	1.702	1.94
American Fern Journal	0002-8444	0.429	0.404	0.407	0.518	0.4	0.371
American Heart Journal	0002-8703	4.555	4.497	4.651	5.052	4.357	4.285
American Journal Of Agricultural Economics	0002-9092	1.363	0.99	1.169	1.233	1.047	0.967
American Journal of Alzheimers Disease and Other Dementias	1533-3175	1.426	1.518	1.453	1.774	-	-
American Journal of Audiology	1059-0889	1.068	0.865	0.867	-	-	-
American Journal Of Bioethics	1526-5161	2.452	3.597	4.083	3.986	4	4.378
American Journal Of Botany	0002-9122	2.463	2.586	2.664	3.052	2.684	2.642
American Journal of Cancer Research	2156-6976	3.968	-	-	-	-	-
American Journal Of Cardiology	0002-9149	3.425	3.209	3.368	3.68	3.575	3.905
American Journal of Cardiovascular Drugs	1175-3277	2.203	2.069	1.77	2.026	1.964	-
American Journal Of Chinese Medicine	0192-415X	2.625	2.281	1.979	1.383	1.422	1.058
American Journal Of Clinical Dermatology	1175-0561	2.519	1.844	1.708	1.963	1.82	1.554
American Journal Of Clinical Nutrition	0002-9165	6.918	6.504	6.669	6.606	6.307	6.74
American Journal Of Clinical Oncology-Cancer Clinical Trials	0277-3732	2.611	2.552	2.005	1.768	2.206	1.792
American Journal Of Clinical Pathology	0002-9173	3.005	2.881	2.598	2.504	2.473	2.715
American Journal Of Critical Care	1062-3264	1.6	1.413	1.656	1.593	1.658	2.043
American Journal Of Dentistry	0894-8275	1.062	1.057	0.757	1.145	1.314	1.13
American Journal Of Dermatopathology	0193-1091	1.426	1.418	1.197	1.263	1.295	1.477
American Journal Of Drug And Alcohol Abuse	0095-2990	1.47	-	-	-	-	-
American Journal Of Emergency Medicine	0735-6757	1.152	1.704	1.976	1.994	1.542	1.188
American Journal Of Enology And Viticulture	0002-9254	1.632	1.856	1.826	1.667	1.171	1.689
American Journal Of Epidemiology	0002-9262	4.975	4.78	5.216	5.745	5.589	5.454
American Journal Of Forensic Medicine And Pathology	0195-7910	0.624	0.883	0.883	0.646	0.713	0.523
American Journal Of Gastroenterology	0002-9270	9.213	7.553	7.282	6.882	6.012	6.444
American Journal Of Geriatric Psychiatry	1064-7481	3.519	4.131	3.638	3.566	3.353	4.022
American Journal Of Geriatric Cardiology	1076-7460	-	-	-	0.857	1.036	1.08
American Journal of Geriatric Pharmacotherapy	1543-5946	2.651	2.627	2.671	2.379	-	-
American Journal Of Health-System Pharmacy	1079-2082	2.205	1.984	1.962	2.219	2.097	1.763
American Journal Of Hematology	0361-8609	3.477	4.003	4.671	3.576	2.61	2.126
American Journal of Hospice & Palliative Medicine	1049-9091	1.347	1.233	1.153	0.969	-	-
American Journal Of Human Biology	1042-0533	1.928	2.335	2.267	2.021	2.121	1.976
American Journal Of Human Genetics	0002-9297	10.987	11.202	10.603	11.68	12.303	10.153
American Journal Of Hypertension	0895-7061	3.402	3.665	3.181	3.129	3.036	3.122
American Journal Of Industrial Medicine	0271-3586	1.59	1.973	1.625	1.75	1.721	1.489
American Journal Of Infection Control	0196-6553	2.326	2.731	2.396	3.036	3.013	2.678
American Journal Of Kidney Diseases	0272-6386	5.756	5.294	5.434	5.242	5.152	4.822
American Journal Of Managed Care	1088-0224	2.166	2.117	2.458	3.033	2.737	2.22
American Journal Of Mathematics	0002-9327	1.649	1.35	1.057	1.17	1.337	1.316
American Journal Of Medical Genetics Part A	1552-4825	2.048	2.304	2.391	2.505	2.404	2.555
American Journal Of Medical Genetics Part B-Neuropsychiatric Genetics	1552-4841	3.271	3.231	3.705	4.156	3.481	3.932
American Journal Of Medical Genetics Part C-Seminars In Medical Genetics	1552-4868	3.54	4.44	4.058	3.812	4.562	3.209
American Journal Of Medical Quality	1062-8606	1.776	1.471	1.638	1.707	1.5	1.365
American Journal Of The Medical Sciences	0002-9629	1.515	1.334	1.391	1.257	1.195	1.36
American Journal Of Medicine	0002-9343	5.302	4.768	5.43	5.115	4.466	5.105
American Journal Of Nephrology	0250-8095	2.646	2.623	2.539	2.658	3.481	3.164
American Journal Of Neuroradiology	0195-6108	3.675	3.167	2.928	3.464	3.296	2.745
American Journal Of Nursing	0002-936X	1.319	1.389	1.119	1.007	0.685	1.046
American Journal Of Obstetrics And Gynecology	0002-9378	3.973	3.877	3.468	3.313	3.278	3.453
American Journal Of Ophthalmology	0002-9394	4.021	3.631	4.223	4.293	3.833	3.102
American Journal Of Orthodontics And Dentofacial Orthopedics	0889-5406	1.437	1.458	1.381	1.354	1.327	1.442
American Journal Of Orthopsychiatry	0002-9432	1.504	1.6	1.291	1.872	2.211	1.711
American Journal Of Otolaryngology	0196-0709	1.078	1.228	0.87	1.136	1.016	0.845
American Journal Of Pathology	0002-9440	4.602	4.522	4.89	5.224	5.673	5.697
American Journal Of Perinatology	0735-1631	1.597	1.574	1.316	1.118	1.126	1.158
American Journal Of Pharmaceutical Education	0002-9459	1.188	-	1.205	1.265	1.067	0.936
American Journal Of Physical Anthropology	0002-9483	2.514	2.481	2.824	2.693	2.756	2.353
American Journal Of Physical Medicine & Rehabilitation	0894-9115	2.012	1.731	1.581	1.762	1.556	1.695
American Journal Of Physics	0002-9505	0.804	0.782	0.729	0.791	0.779	0.831
American Journal Of Physiology-Cell Physiology	0363-6143	3.674	3.711	3.536	3.817	4.013	4.23
American Journal Of Physiology-Endocrinology And Metabolism	0193-1849	4.088	4.514	4.746	4.686	4.395	3.855
American Journal Of Physiology-Gastrointestinal And Liver Physiology	0193-1857	3.737	3.649	3.431	3.522	3.258	3.587
American Journal Of Physiology-Heart And Circulatory Physiology	0363-6135	4.012	3.629	3.708	3.88	3.712	3.643
American Journal Of Physiology-Lung Cellular And Molecular Physiology	1040-0605	4.041	3.523	3.662	4.137	4.043	3.924
American Journal Of Physiology-Regulatory Integrative And Comparative Physi	0363-6119	3.529	3.284	3.336	3.284	3.058	3.272
American Journal Of Physiology-Renal Physiology	1931-857X	3.3	3.612	3.682	3.792	3.731	-
American Journal Of Potato Research	1099-209X	0.951	1.086	1.234	1.222	0.667	0.604
American Journal Of Preventive Medicine	0749-3797	4.281	3.945	4.044	4.11	4.235	3.766
American Journal Of Primatology	0275-2565	2.136	2.459	2.221	1.98	1.565	1.681
American Journal Of Psychiatry	0002-953X	13.559	14.721	12.539	12.759	12.522	10.545
American Journal Of Public Health	0090-0036	4.229	3.93	3.926	3.85	4.371	4.241
American Journal Of Reproductive Immunology	1046-7408	2.668	3.317	3.05	2.451	2.172	2.172
American Journal Of Respiratory Cell And Molecular Biology	1044-1549	4.109	4.148	5.125	4.426	4.319	4.477
American Journal Of Respiratory And Critical Care Medicine	1073-449X	11.986	11.041	11.08	10.191	10.689	9.792
American Journal of Rhinology & Allergy	1945-8924	2.178	1.744	2.302	1.881	2.252	-
American Journal Of Roentgenology	0361-803X	2.744	2.897	2.775	2.797	2.951	2.94
American Journal Of Science	0002-9599	3.929	3.6	2.716	3.045	2.284	2.27
American Journal Of Speech-Language Pathology	1058-0360	1.644	2.448	2.034	-	-	-
American Journal Of Sports Medicine	0363-5465	4.699	4.439	3.792	3.821	3.605	3.646
American Journal Of Surgical Pathology	0147-5185	4.592	4.868	4.352	4.106	4.062	4.02
American Journal Of Surgery	0002-9610	2.406	2.516	2.776	2.68	2.363	2.605
American Journal Of Therapeutics	1075-2765	1.127	1.29	1.487	1.604	-	-
American Journal of Translational Research	1943-8141	3.226	-	-	-	-	-
American Journal Of Transplantation	1600-6135	6.19	6.192	6.394	6.048	6.433	6.559
American Journal Of Tropical Medicine And Hygiene	0002-9637	2.736	2.534	2.592	2.446	2.795	2.45
American Journal Of Veterinary Research	0002-9645	1.214	1.348	1.269	1.413	1.528	1.28
American Laboratory	0044-7749	0.121	0.112	0.167	0.227	0.152	0.164
American Malacological Bulletin	0740-2783	0.843	1	1.219	0.948	0.551	0.375
American Mathematical Monthly	0002-9890	0.315	0.292	-	-	0.339	0.361
American Midland Naturalist	0003-0031	0.621	0.667	0.619	0.526	0.665	0.755
American Mineralogist	0003-004X	2.059	2.204	2.169	2.026	1.859	1.962
American Museum Novitates	0003-0082	1.636	1.685	1.882	1.151	1.326	1.265
American Naturalist	0003-0147	4.454	4.552	4.725	4.736	4.796	4.67
American Scientist	0003-0996	0.643	0.829	0.938	0.756	0.911	1.186
American Statistician	0003-1305	0.877	0.976	0.96	0.981	1.252	1.233
American Surgeon	0003-1348	-	0.918	1.285	1.363	1.154	1.297
AMA-Agricultural Mechanization in Asia Africa and Latin America	0084-5841	0.057	0.062	0.054	0.034	0.04	-
Amazoniana-Limnologia Et Oecologia Regionalis Systemae Fluminis Amazonas	0065-6755	-	-	-	-	0.231	0.143
Ambio	0044-7447	2.973	2.295	2.025	1.705	2.486	2.092
Ambix	0002-6980	0.292	0.417	0.444	0.071	-	-
Ambulatory Pediatrics	1530-1567	-	-	-	2.491	1.6	1.846
Ameghiniana	0002-7014	1.169	0.866	0.986	0.871	0.862	0.741
Amino Acids	0939-4451	3.653	3.914	3.248	4.106	3.877	4.132
Amphibia-Reptilia	0173-5373	1.138	0.68	1.056	0.976	0.949	0.784
Amyloid-Journal Of Protein Folding Disorders	1350-6129	2.51	4.436	2.66	1.433	2.115	1.714
Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration	2167-8421	2.591	-	-	-	-	-
Amyotrophic Lateral Sclerosis	1748-2968	-	2.369	3.091	3.397	2.963	1.815
Anais Da Academia Brasileira De Ciencias	0001-3765	0.875	0.851	1.094	0.925	1.074	0.881
Anais Brasileiros De Dermatologia	0365-0596	0.866	0.618	0.554	0.337	-	-
Anales Del Jardin Botanico De Madrid	0211-1322	0.912	0.344	0.886	-	-	-
Anales De Pediatria	1695-4033	0.722	0.867	0.77	0.57	0.363	-
Anales de Psicologia	0212-9728	0.549	0.552	0.568	1.338	0.244	-
An Real Acad Nac F	1697-4271	-	-	0.14	-	-	-
Anales del Sistema Sanitario De Navarra	1137-6627	0.557	0.351	0.318	0.252	0.307	-
Analele Stiintifice ale Universitatii Ovidius Constanta-Seria Matematica	1224-1784	0.23	0.221	0.052	0.044	-	-
Analele Stiintifice ale Universitatii Al I Cuza din Iasi-Serie Noua-Matematica	1221-8421	0.108	0.188	0.25	0.076	-	-
Anadolu Kardiyoloji Dergisi-The Anatolian Journal of Cardiology	1302-8723	0.755	0.715	0.439	0.407	0.378	-
Anadolu Psikiyatri Dergisi-Anatolian Journal of Psychiatry	1302-6631	0.196	0.184	0.136	0.31	-	-
Anaerobe	1075-9964	2.364	2.022	2.409	2.448	1.633	1.561
Anaesthesia And Intensive Care	0310-057X	1.47	1.396	1.279	1.128	1.108	0.848
Anaesthesia	0003-2409	3.846	3.486	2.958	3.008	2.855	2.178
Anaesthesist	0003-2417	0.743	0.847	0.987	0.729	0.891	0.876
Analysis and Applications	0219-5305	1.5	0.978	1.14	0.795	1.282	-
Analytical And Bioanalytical Chemistry	1618-2642	3.578	3.659	3.778	3.841	3.48	3.328
Analytical Biochemistry	0003-2697	2.305	2.582	2.996	3.236	3.287	3.088
Analytical Cellular Pathology-Cellular Oncology	2210-7177	1.758	1.771	0.917		-	-
Analytical Chemistry	0003-2700	5.825	5.695	5.856	5.874	5.214	5.712
Analytica Chimica Acta	0003-2670	4.517	4.387	4.555	4.31	3.757	3.146
Analytical Letters	0003-2719	0.982	0.965	1.016	0.92	1.317	1.281
Analysis Mathematica	0133-3852	0.29	0.333	0.243	0.146	-	-
Analytical Methods	1759-9660	1.938	1.855	1.547	-	-	-
Analysis & PDE	1948-206X	0.906	1.257	1.172	1.28	-	-
Analytical And Quantitative Cytology And Histology	0884-6812	0.58	0.6	0.413	-	-	-
Analytical Sciences	0910-6340	1.403	1.569	1.255	1.465	1.526	1.735
Analog Integrated Circuits And Signal Processing	0925-1030	0.401	0.553	0.592	0.452	0.408	0.591
Analyst	0003-2654	3.906	3.969	4.23	3.913	3.272	3.761
Anasthesie Intensivtherapie Notfallmedizin	0939-2661	0.335	0.388	0.413	0.232	0.195	0.194
Anasthesiologie & Intensivmedizin	0170-5334	0.424	0.5	0.862	0.774	0.873	-
Anatomy And Embryology	0340-2061	-	-	-	-	-	1.39
Anatomia Histologia Embryologia	0340-2096	0.742	0.882	0.899	0.646	-	0.573
Anatomical Record	1932-8486	1.53	1.343	1.473	1.4	1.49	1.569
Anat Sci Educ	1935-9772	-	-	-	2.976	-	-
Anatomical Science International	1447-6959	0.839	0.625	0.833	0.719	0.506	0.594
Andean Geology	0718-7106	1.532	1.375	-	-	-	-
Andrologia	0303-4569	1.172	1.748	1.546	1.244	1.152	1.3
Andrology	2047-2919	-	-	-	-	-	-
Anesthesia And Analgesia	0003-2999	3.422	3.3	3.286	3.274	3.083	2.59
Anesthesiology	0003-3022	6.168	5.163	5.359	5.486	5.354	5.124
Angewandte Chemie-International Edition	1433-7851	11.336	13.734	13.455	12.73	11.829	10.879
Angiogenesis	0969-6970	4.41	3.972	6.063	6.188	-	-
Angiology	0003-3197	2.37	1.647	1.511	0.992	1.097	1.122
Angle Orthodontist	0003-3219	1.277	1.184	1.207	1	0.937	1.166
Animal Behaviour	0003-3472	3.068	3.068	3.493	3.101	2.89	2.828
Animal Biodiversity And Conservation	1578-665X	0.519	0.196	-	-	-	-
Animal Biology	1570-7555	0.614	0.767	0.721	0.879	1.069	0.879
Animal Biotechnology	1049-5398	0.636	0.882	0.927	0.818	0.814	0.759
Animal Cells and Systems	1976-8354	0.35	0.639	0.222	0.122	0.415	0
Animal Cognition	1435-9448	2.631	2.713	3.089	2.82	3.325	2.699
Animal Conservation	1367-9430	2.524	2.692	2.931	2.906	2.358	2.587
Animal Feed Science And Technology	0377-8401	2.086	1.608	1.691	1.72	1.866	1.882
Animal Genetics	0268-9146	2.21	2.584	2.403	2.203	2.292	2.459
Animal Nutrition and Feed Technology	0972-2963	-	0.355	0.323	0.188	0.353	-
Animal Production Science	1836-0939	1.028	1.218	0.986	-	-	-
Animal Reproduction Science	0378-4320	1.581	1.897	1.75	1.721	1.563	1.89
Animal Research	1627-3583	-	-	-	-	-	0.917
Animal Science Journal	1344-3941	1.044	1.037	0.857	0.665	0.649	0.713
Animal Science Papers And Reports	0860-4037	0.814	0.918	0.553	0.386	0.349	0.214
Animal Science	1357-7298	-	-	-	-	-	1.559
Animal Welfare	0962-7286	1.228	1.433	1.135	0.907	1.209	0.669
Animal	1751-7311	1.784	1.648	1.744	1.458	1.461	0.994
Ankara Universitesi Veteriner Fakultesi Dergisi	1300-0861	0.21	0.152	0.192	0.176	0.171	-
Annals Academy Of Medicine Singapore	0304-4602	1.221	1.362	1.245	1.203	1.01	1.004
Annales Academiae Scientiarum Fennicae-Mathematica	1239-629X	0.648	0.602	0.675	0.842	0.539	0.714
Annals Of Agricultural And Environmental Medicine	1232-1966	-	3.06	2.311	1.062	1.538	1.443
Annals Of Allergy Asthma & Immunology	1081-1206	2.746	3.449	2.833	2.801	2.457	2.353
Annals Of Anatomy-Anatomischer Anzeiger	0940-9602	2.075	1.96	1.861	1.649	0.877	0.932
Annals of Animal Science	1642-3402	0.419	0.42	0.389	0.209	0.346	-
Annals Of Applied Biology	0003-4746	1.955	2.147	2.179	1.681	1.734	1.868
Annals Of Applied Probability	1050-5164	1.438	1.372	1.091	1.12	1.13	1.285
Annals of Applied Statistics	1932-6157	1.689	2.237	1.581	1.739	2.571	2.448
Annales De Biologie Clinique	0003-3898	0.415	0.298	0.343	0.365	0.304	0.286
Annals Of Biomedical Engineering	0090-6964	3.231	2.575	2.368	2.374	2.409	2.605
Annales Botanici Fennici	0003-3847	0.771	0.657	1.014	0.51	0.692	0.361
Annals Of Botany	0305-7364	3.295	3.449	4.03	3.388	3.501	2.755
Annales De Cardiologie Et D Angeiologie	0003-3928	0.302	0.295	0.278	0.225	0.212	-
Annals Of Carnegie Museum	0097-4463	0.56	0.652	0.955	1	0.553	0.76
Annali Di Chimica	0003-4592	-	-	-	-	0.991	0.589
Annales De Chimie-Science Des Materiaux	0151-9107	0	0.096	0.235	0.171	0.25	0.551
Annales de Chirurgie Plastique Esthetique	0294-1260	0.589	0.322	0.41	0.521	0.333	-
Annales De Chirurgie	0003-3944	-	-	-	-	-	0.521
Annals Of Clinical Biochemistry	0004-5632	2.08	1.922	2.17	2.209	1.917	1.788
Annals Of Clinical And Laboratory Science	0091-7370	0.839	0.879	0.956	1.017	1.106	1.357
Annals of Clinical Microbiology and Antimicrobials	1476-0711	1.514	1.623	-	-	-	-
Annals of Clinical Psychiatry	1040-1237	2.525	1.544	1.49	2.545	-	-
Annals of Combinatorics	0218-0006	0.455	0.333	0.324	0.462	0.679	0.46
Annales De Dermatologie Et De Venereologie	0151-9638	0.669	0.603	0.716	0.475	0.391	0.482
Annals of Dermatology	1013-9087	0.954	0.611	0.531	0.162	0.227	-
Annals of Diagnostic Pathology	1092-9134	1.112	0.975	0.875	0.934	1.128	-
Annals Of Emergency Medicine	0196-0644	4.333	4.285	4.133	4.142	4.232	3.755
Annales D Endocrinologie	0003-4266	0.664	1.022	0.741	0.583	0.664	0.446
Annals Of The Entomological Society Of America	0013-8746	1.174	1.196	1.317	1.031	0.939	1.241
Annals Of Epidemiology	1047-2797	2.145	2.479	3.215	3.238	2.947	2.621
Annals Of Family Medicine	1544-1709	4.57	4.613	5.355	4.457	4.13	3.541
Annals of Forest Research	1844-8135	0.444	-	-	-	-	-
Annals Of Forest Science	1286-4560	1.536	1.63	1.788	1.326	1.441	1.554
Annales Francaises D Anesthesie Et De Reanimation	0750-7658	0.836	0.841	0.838	0.884	0.771	0.793
Annals of General Psychiatry	1744-859X	1.532	1.569	-	-	-	-
Annales Geophysicae	0992-7689	1.676	1.518	1.842	1.62	1.648	1.66
Annals Of Geophysics	1593-5213	1.157	1.138	0.567	0.336	0.548	0.418
Annals Of Glaciology	0260-3055	2.524	1.87	1.8	-	-	-
Annals Of Global Analysis And Geometry	0232-704X	0.794	0.887	0.714	0.635	1.036	0.625
Annals Of Hematology	0939-5555	2.396	2.866	2.615	2.688	2.919	2.454
Annales Henri Poincare	1424-0637	1.368	1.529	1.211	0.967	1.293	1.234
Annals of Hepatology	1665-2681	2.193	1.671	1.811	1.867	1.674	-
Annals Of Human Biology	0301-4460	1.148	1.484	1.975	1.713	1.064	1.009
Annals Of Human Genetics	0003-4800	1.926	2.215	2.565	2.604	2.145	2.195
Annales De L Institut Fourier	0373-0956	0.635	0.527	0.55	0.742	0.904	0.802
Annales De L Institut Henri Poincare-Analyse Non Lineaire	0294-1449	1.326	1.55	1.271	0.983	1.298	0.878
Annales De L Institut Henri Poincare-Probabilites Et Statistiques	0246-0203	0.971	0.933	0.897	0.759	0.699	0.644
Annals Of The Institute Of Statistical Mathematics	0020-3157	0.661	0.736	0.857	0.966	0.61	0.565
Annali Dell Istituto Superiore Di Sanita	0021-2571	0.773	0.763	0.941	0.343	-	-
Annals of Indian Academy of Neurology	0972-2327	0.514	-	0.928	0.415	-	-
Annals Of Internal Medicine	0003-4819	16.104	13.976	16.733	16.729	16.225	17.457
Annali Italiani di Chirurgia	0003-469X	0.683	0.29	0.231	0.225	0.281	-
Annals of Laboratory Medicine	2234-3806	1.481		-	-	-	-
Annales De Limnologie-International Journal Of Limnology	0003-4088	1.036	0.736	0.93	0.796	0.981	0.768
Annali Di Matematica Pura Ed Applicata	0373-3114	0.909	0.68	0.838	0.896	0.901	0.818
Annals Of Mathematics And Artificial Intelligence	1012-2443	0.488	0.2	0.358	0.418	0.893	0.722
Annals Of Mathematics	0003-486X	2.822	3.027	2.928	3.179	4.174	3.447
Annales Medico-Psychologiques	0003-4487	0.15	0.2	0.169	0.161	0.153	-
Annales De Medecine Veterinaire	0003-4118	-	-	0.033	0.118	0.174	0.129
Annals Of Medicine	0785-3890	4.733	5.094	3.516	4.323	4.246	5.435
Annals Of Microbiology	1590-4261	1.039	1.549	0.689	0.35	0.358	0.466
Annals Of The Missouri Botanical Garden	0026-6493	0.542	2	1.828	1.8	1.422	1.246
Annals Of Neurology	0364-5134	11.91	11.193	11.089	10.746	9.317	9.935
Annals Of Noninvasive Electrocardiology	1082-720X	1.44	1.084	1.098	1.487	1.208	1.12
