name,DS100,"UIC (IBNR)",Latitude,Longitude
Alsdorf-Kellersberg,KKEL,8000521,50.867527,6.167354
Alsdorf-Mariadorf,KMAD,8000527,50.861978,6.188454
Alsenz,SAZ,8000505,49.727495,7.817189
Alsfeld(Oberhess),FAFD,8000350,50.750962,9.264297
Alsheim,FAHM,8000506,49.765528,8.342462
"Alt Hüttendorf",WAHU,8011011,52.957591,13.783574
"Alt Rosenthal",BARO,8011014,52.550403,14.278627
"Alt Schwerin",WAS,8011015
Altbach,TACH,8000508,48.720393,9.382384
"Altdorf West",NADW,8000504,49.391146,11.341467
Altdorf(CH),XSADF,8505113,46.8757407268376,8.63156572015953
Altdorf(Niederbay),MAF,8026354,48.554979,12.102813
"Altdorf(b Nürnberg)",NAD,8000509,49.390006,11.35353
Altdöbern,BAD,8011016,51.65278,14.009236
"Alte Veste",NAVE,8000511,49.454322,10.972363
Altefähr,WAF,8011017,54.322927,13.14101
Altena(Westf),EALN,8000513,51.301981,7.668808
Altenahr,KALT,8000514,50.515652,6.989707
Altenau(Bay),MALT,8000515,47.648365,11.017375
Altenbach,LALT,8011018,51.355868,12.682324
Altenbamberg,SAB,8000517,49.786857,7.830745
Altenbeken,HA,8000004,51.766433,8.943319
Altenberge,EABG,8000518,52.052258,7.481303
Altenburg,LA,8010003,50.996648,12.444019
Altendorf(CH),XSAD,8503211,47.1939663839749,8.82288898291028
Altenerding,MANE,8000524,48.293572,11.901744
Altenfeld(Rhön),FATF,8000525,50.450898,9.849726
Altenglan,SALG,8000491,49.548643,7.461841
Altengörs,AAT,8000526,53.898696,10.355554
Altenhasungen,FAHN,8000530,51.34354,9.225737
Altenkirchen(Westerwald),KAK,8000351,50.684418,7.638257
"Altenmarkt im Pongau",XAAL,8100139
Altenmarkt(Alz),MATM,8000533,47.999817,12.536027
Altenseelbach,EASE,8000537,50.783837,7.992398
Altenstadt(Hess),FAST,8000538,50.283398,8.943977
Altenstadt(Iller),MASI,8000539,48.161191,10.109983
Altenstadt(Waldnaab),NALW,8000540,49.715679,12.16487
Altenstadt-Höchst,FHTN,8002886,50.269767,8.923418
Altenstadt-Lindheim,FLIN,8003698,50.291334,8.978775
Altentreptow,WATR,8011025,53.692233,13.242713
Altenwillershagen,WALW,8011027,54.259406,12.572818
Altersbach,UACH,8011028,50.70064,10.544522
"Altes Lager",BJA,8011968,52.017356,12.989048
Altglashütten-Falkau,RAT,8000544,47.859392,8.114113
Althegnenberg,MAHB,8000545,48.236374,11.063003
Altheim(Hess),FAT,8000546,49.923332,8.890906
