name,DS100,"UIC (IBNR)",Latitude,Longitude
"Calmbach Bahnhof",TCA,8001320,48.776481,8.571132
"Calmbach Süd",TCAS,8070280,48.773396,8.566424
Calw,TCW,8000063,48.714682,8.741854
Camburg(Saale),UCB,8013474,51.050857,11.70468
Cammin(Meckl),WCA,8011307,53.439035,13.299645
"Campo di Trens/Freienfeld",XICTF,8300534
Cannes,XFCA,8700144
Cannes-la-Bocca,XFCB,8700911
"Capelle Schollevaar",ONCS,8400147,51.954166412354,6.2211112976074
Capelle(Westf),ECP,8001323,51.735268,7.61108
Capellen,XLCP,8270270
"Capolago-Riva S. Vitale",XSCR,8505304,45.9028465134857,8.97889335734244
"Caputh Schwielowsee",BSIS,8012957,52.340976,12.980368
Caputh-Geltow,BCAP,8011308,52.350295,12.984406
Carbonne(Boussens),XFCAB,8700840
Carcassonne,XFCN,8700100
Carimate,XICAR,8301155
Carnoules(Toulon),XFCNO,8700915
Casekow,WCW,8011311,53.213614,14.208187
Casteldarne/Ehrenburg,XICB,8300401
Castelnaudary,XFCAN,8700549
Castione-Arbedo,XSCA,8505212,46.2252573555483,9.04139950613477
Castricum,ONCC,8400151,52.545833587646,6.2144446372986
"Castrop-Rauxel Hbf",ECA,8001327,51.573526,7.30398
"Castrop-Rauxel Süd",ECAS,8001328,51.5503,7.310186
Castrop-Rauxel-Merklinde,ECME,8001329,51.527932,7.324314
Cavaillon(Avignon),XFCAV,8700888
Celle,HC,8000064,52.621175,10.062706
Centallo,XICTL,8300375
Cents-Hamm,XLCS,8270280
Cerbère,XFCE,8700147
"Cernovice u Chomutova",XTCC,5400730
"Ceska Kamenice",XTCKA,5400271
"Ceska Kubice",XTC,5400123
"Ceska Lipa hl.n.",XTCL,5400045
"Ceska Lipa strelnice",XTCLS,5400746
"Ceska Trebova",XTTR,5400002
"Ceske Budejovice",XTCB,5400017
"Ceske Velenice",XTCV,5400018
"Chalon sur Saône",XFCS,8700091
"Chalons en Champagne",XFCM,8700002
Cham(Oberpf),NCH,8001330,49.221869,12.656832
Chambery-Challes-E,XFCY,8700055
Chamerau,NCHA,8001331,49.196718,12.745258
Champigneulles,XFCG,8700335
"Charleroi Sud",XBCH,8800024
Chateau-Thierry,XFCT,8700261
Chauny(Tergnier),XFCH,8700336
Cheb,XTCH,5400004
Cheb-Skalka,XTCS,5475036
"Chelles Gournay",XFCSG,8703085
"Chemnitz Alt Chemnitz Center",DCACC,8017400,50.796374,12.917936
"Chemnitz Annenstraße",DCAN,8071804,50.828749,12.922933
"Chemnitz Brückenstraße/Freie Presse","DC  E",8017476,50.834752,12.924702
"Chemnitz Erdmannsdorfer Straße",DCACE,8017402,50.811211,12.911969
"Chemnitz Erfenschlag",DCE,8011975,50.787603,12.950184
"Chemnitz Friedrichstraße","DC  F",8071174,50.772853,12.919367
"Chemnitz Gustav-Freytag-Straße","DCS G",8017403,50.825596,12.920266
"Chemnitz Hbf",DC,8010184,50.839696,12.930877
"Chemnitz Hbf (Bahnhofstraße)","DC  O",8071738,50.838222,12.929189
"Chemnitz Kinderwaldstätte",DCKI,8011970,50.884211,12.953568
"Chemnitz Küchwald",DKW,8017050,50.8547514,12.9129849
"Chemnitz Mitte",DCM,8011971,50.826628,12.912587
"Chemnitz Moritzhof","DC  M",8017407,50.82976,12.919931
"Chemnitz Omnibusbahnhof",DCOM,8089295,50.840829,12.926391
"Chemnitz Riemenschneiderstraße",DCHAR,8017401,50.785384,12.925472
"Chemnitz Roter Turm","DC  R",8017410,50.834509,12.923074
"Chemnitz Rösslerstraße",DCACR,8017409,50.816885,12.91412
"Chemnitz Scheffelstraße",DCACS,8017411,50.802279,12.911337
"Chemnitz Schneeberger Straße",DCZWS,8017413,50.794034,12.922445
"Chemnitz Schule Altchemnitz",DCACA,8017414,50.798923,12.913104
"Chemnitz Stefan-Heym-Platz","DC  B",8071816,50.833196,12.925169
"Chemnitz Süd",DCD,8010185,50.823746,12.926823
"Chemnitz Theaterplatz","DC  T",8017416,50.837311,12.925727
"Chemnitz Treffurthstraße",DCACT,8017417,50.819826,12.915588
"Chemnitz Uhlestraße",DCACU,8017418,50.806071,12.911852
"Chemnitz Zentralhaltestelle","DC  Z",8017419,50.831627,12.922264
Chemnitz-Altchemnitz,DCAC,8017420,50.790804,12.926068
"Chemnitz-Borna Hp",DCBH,8011974,50.859867,12.894459
Chemnitz-Harthau,DCHA,8011977,50.776866,12.924049
Chemnitz-Hilbersdorf,DCHP,8013450,50.861934,12.953879
Chemnitz-Reichenhain,DCRE,8011978,50.795077,12.935877
Chemnitz-Schönau,DCC,8011979,50.818095,12.8765
Chemnitz-Siegmar,DCSI,8011980,50.815561,12.84251
"Chenay Gagny",XFCGG,8703089
Chenee,XBCE,8800264
Cherbourg,XFCHB,8700227
Chevremont(NL),ONCH,8400152,50.876110076904,6.213844
Chiasso,XSCH,8505307,45.8321788009196,9.03144057628565
Chiusa/Klausen,XICK,8300078
"Chiusi-Chianciano Terme",XICU,8300148
Chomutov,XTCO,5400005
"Chomutov mesto",XTCM,5401259
Chop,ZUC,2200010
Chorin,WCOK,8011314,52.90354,13.869714
Chotyne,XTCY,5401276
Chrastava,XTCR,5401284
"Chrastava-Andelska Hora",XTCA,5401285
Chribska,XTCHR,5401299
Chur,XSC,8509000,46.8530797552397,9.52892561960782
"Château du Loir",XFCD,8700210
Château-Arnoux-St-Auban,XFCAR,8700156
Châteauroux,XFCX,8700181
Châtelet,XBCL,8800045
Cintegabelle,XFCIG,8703107
Clarholz,ECOH,8001335,51.898454,8.200835
Clausnitz,DCL,8011315,50.755842,13.4986
Clermont-Ferrand,XFCLE,8700038
Clerval,XFCL,8700087
Clervaux,XLCV,8200134
Cloppenburg,HCLP,8001337,52.843996,8.055763
Coburg,NC,8001338,50.263097,10.95737
"Coburg Nord",NCN,8001334,50.2716,10.964825
Coburg-Neuses,NCNS,8001339,50.278082,10.951361
Cochem(Mosel),SCOC,8001340,50.153092,7.166738
"Coesfeld Schulzentrum",ECFS,8001343,51.951269,7.165836
Coesfeld(Westf),ECMF,8000066,51.939431,7.16388
Coevorden,XNCV,8400153,52.663612365723,6.1975002288818
Colditz,DCOL,8011317
"Colle Isarco/Gossensass",XICIG,8300091
Collenberg,NRF,8005028,49.771121,9.329719
Collioure,XFCLL,8700486
Colmar,XFC,8700178
"Combs la Ville Quincy",XFCQ,8703137
"Como S. Giovanni",XIC,8300056
Compiegne,XFCP,8700246
Conegliano,XICGL,8300086
Conflans-Jarny,XFCF,8700277
Contwig,SCN,8001341,49.24528,7.427916
Coppenbrügge,HCOP,8001342,52.119521,9.537588
Corbehem(Douai),XFCOM,8700837
"Corbeil Essonnes",XFCOE,8703150
Cornaux,XSCO,8504223,47.0385599223159,7.02336373279708
Coschen,BCO,8011319,52.019844,14.718167
Cosne,XFCOS,8703161
Cossebaude,DCB,8011320,51.085143,13.631582
Cossonay-Penthalaz,XSCS,8501115,46.6060023578676,6.52368303530211
Coswig(Anh),LCW,8011322,51.888002,12.457625
"Coswig(b Dresden)",DCW,8010072,51.12281,13.579414
Cottbus,BCS,8010073,51.750957,14.324162
Cottbus-Merzdorf,BMZD,8012341,51.76891,14.366669
Cottbus-Sandow,BCSO,8011318,51.755177,14.353704
"Cottbus-Willmersdorf Nord",BWDF,8081688,51.806736,14.376902
Coulommiers,XFCOL,8703169
Courcelles-sur-Nied,XFCSN,8700962
Coutras,XFCOU,8700184
Crailsheim,TC,8000067,49.137872,10.064326
Cranzahl,DCR,8010074,50.511248,12.993028
Creidlitz,NCR,8001347,50.227174,10.982246
Creil,XFCR,8700072
"Creußen(Oberfr)",NCRE,8001348,49.84947,11.628443
Crimmitschau,DCU,8011325,50.815068,12.392986
Crivitz,WCZ,8011326,53.572518,11.645071
"Crossen Ort",UKSO,8011312,50.974715,11.9819
"Crossen a d Elster",UKS,8010196,50.96573,11.984064
Cuijk,ONCK,8400155,51.726682587905,6.1941666603088
Culemborg,ONCU,8400154,51.946666717529,6.1727776527405
Culmont-Chalindrey,XFCU,8700008
Culoz,XFCZ,8700039
Cuneo,XICUN,8300016
Cunnertswalde,DCN,8011331,51.162366,13.705502
Cursdorf,UCF,8011332,50.571871,11.132022
Curtici,XUCU,5300001
Cuxhaven,ACV,8001352,53.8609,8.703431
Czechowice-Dziedzice,XPCD,5100251
Czerwiensk,XPCW,5100096
Cölbe,FCOE,8000065,50.848159,8.787365
Daaden,EDAD,8007077,50.740469,7.963642
Daarlerveen,ONDA,8400164,52.4407702,6.1605553627014
Dabendorf,BDAB,8011334,52.237332,13.43729
"Dachau Bahnhof",MDA,8001354,48.254652,11.44426
"Dachau Stadt",MDAS,8001355,48.266661,11.439761
Dachrieden,UDA,8011335,51.269187,10.443166
Dachsen,XSDA,8506049,47.6670843790544,8.6137970588401
Dachwig,UDW,8011336,51.072436,10.849686
"Dagebüll Kirche",ADBK,8077770,54.730283,8.729485
"Dagebüll Mole",ADM,8007769,54.729909,8.690989
Dagmersellen,XSDS,8502004,47.2175519871912,7.97901545048938
Dahl,EDHL,8001357,51.303377,7.527898
Dahlbruch,EDAB,8001358,50.970432,8.053456
Dahlem(Eifel),KDAM,8001359,50.385752,6.550382
Dahlen(Sachs),LDA,8011339,51.350972,12.984253
Dahlenburg,ADL,8001360,53.169266,10.708804
Dahlerbrück,EDAK,8001362,51.25186,7.517001
Dahlewitz,BDT,8011340,52.326618,13.419579
Dahn,SDA,8079085,49.154556,7.771283
"Dahn Süd",SDAS,8079081,49.148557,7.777208
Dalen(NL),ONDAL,8400161,52.69416809082,6.1550002098083
Dalfsen,OND,8400167,52.498332977295,6.1469445228577
Dalheim,KDAL,8001365,51.149008,6.178209
Dallau,RDL,8001366,49.388078,9.18755
Dallgow-Döberitz,BDL,8080260,52.543554,13.059037
Dambeck(Altm),LDBK,8011342
"Dammerstock, Karlsruhe",RKDS,723864
"Dannenberg Ost",ADB,8001372,53.104997,11.117734
Dannenwalde(Gransee),WDWE,8011344,53.079756,13.180801
Darching,MDAR,8001373,47.870651,11.777757
Darlingerode,LDAR,8011346,51.84908,10.733037
"Darmstadt Hbf",FD,8000068,49.872503,8.629636
"Darmstadt Nord",FDN,8001375,49.892136,8.654311
"Darmstadt Ost",FDO,8001376,49.874743,8.673867
"Darmstadt Süd",FDS,8001377,49.855426,8.636586
"Darmstadt TU-Lichtwiese",FDAL,8001386,49.861045,8.687527
Darmstadt-Arheilgen,FDA,8001378,49.913014,8.645343
Darmstadt-Eberstadt,FDE,8001379,49.813922,8.62582
Darmstadt-Kranichstein,FDK,8001380,49.906826,8.679359
Darmstadt-Wixhausen,FWX,8006528,49.930248,8.647751
Dasing,MDAG,8001382,48.386243,11.052165
Dattenfeld(Sieg),KDAT,8001384,50.80916,7.546252
Dauenhof,ADH,8001387,53.852459,9.680659
Daufenbach,SDF,8001388,49.875969,6.639911
Dausenau,FDSU,8001389,50.326866,7.758212
Davensberg,EDVB,8001390,51.817943,7.598146
"Davos Dorf",XSDD,8509072,46.8097194337804,9.84211236596082
"Davos Platz",XSDP,8509073,46.7914664266423,9.8207256615341
Dax,XFDX,8700043
"De Vink",ONDVI,8400188,52.147220611572,6.1446496
Debrecen,XMD,5500058
"Decin hl.n.",XTD,5400003
"Decin vychod",XTDV,5400783
"Decin-Certova voda",XTDC,5400786
Decin-Priper,XTDPR,5400789
"Decin-Prostredni Zleb",XTDP,5400788
Dedenhausen,HDEH,8001392,52.432215,10.23873
Dedensen-Gümmer,HDED,8001393,52.407049,9.521252
Dedinghausen,EDED,8001394,51.672359,8.398281
Deezbüll,ADZB,8079022,54.77697,8.818274
"Deggendorf Hbf",NDG,8001397,48.83944,12.949727
Deidesheim,RDM,8001399,49.408349,8.192634
Deining(Oberpf),NDE,8001400,49.203996,11.515572
Deinste,ADS,8070349,53.5319,9.442568
Deinum,ONDM,8400168,53.1888115,6.14253
Deisenhofen,MDS,8001404,48.019539,11.583597
"Deißlingen Mitte",TDLM,8001405,48.108374,8.611586
Delden,XNDD,8400169,52.259998321533,6.1405553817749
Delft,XNDT,8400170,52.00666809082,6.1324106
"Delft Zuid",ONDTZ,8400166,51.990833282471,6.1145557632446
Delfzijl,XNDZ,8400171,53.3336625,6.1130557060242
"Delfzijl West",ONDZW,8400175,53.3320834,6.1030554771423
"Delitzsch ob Bf",LDLO,8080280,51.519703,12.34639
"Delitzsch unt Bf",LDL,8010076,51.525227,12.345218
Dellfeld,SDE,8001406,49.227782,7.469169
"Dellfeld Ort",SDEO,8001407,49.238869,7.478162
Delmenhorst,HD,8000070,53.052792,8.629758
"Delmenhorst Hasporter Damm",HHPD,8070426
Delémont,XSDE,8500109,47.3620006555152,7.35005384247943
Demitz-Thumitz,DDT,8011354,51.141837,14.240902
Demker,LDK,8011355,52.518178,11.854733
Demmin,WDM,8011356,53.90114,13.053954
"Den Dolder",ONDD,8400179,52.140277862549,6.0986108779907
"Den Haag Centraal",XNDH,8400282,52.080276489258,4.3249998092651
"Den Haag HS",XNDHH,8400280,52.069721221924,4.3225002288818
"Den Haag Laan van Nieuw Oost Indie",ONDHL,8400380,52.078609466553,4.3427777290344
"Den Haag Mariahoeve",ONDHM,8400278,52.090557098389,4.3694443702698
"Den Haag Moerwijk",ONHAM,8400279,52.053890228271,4.3086109161377
"Den Haag Ypenburg",PNAAO,8400030,52.055278778076,6.0597224235535
"Den Helder",XNDL,8400311,52.955276489258,6.0574998855591
"Den Helder Zuid",ONDLZ,8400303,52.932498931885,6.05146
Denderleeuw,XBDL,8800050
Densborn,SDBO,8001414,50.123918,6.600406
Denzlingen,RDZ,8001415,48.068625,7.881434
Dernau,KDEA,8001417,50.529648,7.041527
Dernbach(Westerw),KDEB,8001418,50.457225,7.783693
Derneburg(Han),HDBG,8000071,52.096851,10.143719
Desenice,XTDS,5400800
"Desenzano del Garda/Sirmione",XIDS,8300106
Desio,XIDE,8300608
"Dessau Adria",LDAD,8011362,51.821189,12.314419
"Dessau Hbf",LD,8010077,51.839865,12.234945
"Dessau Süd",LDS,8011361,51.802196,12.236455
Dessau-Alten,LDAL,8011363,51.825541,12.19334
Dessau-Mosigkau,LDMO,8011364,51.814077,12.148546
Dessau-Waldersee,LDWA,8070259,51.836564,12.270566
Detmold,EDTM,8001420,51.940745,8.872859
"Dettelbach Bahnhof",NDEB,8001421,49.788146,10.090359
Dettenhausen,TDH,8085015,48.606705,9.093437
"Dettingen Freibad",TDTUF,8001424,48.523174,9.351257
"Dettingen Gsaidt",TDTUG,8001426,48.514061,9.35804
"Dettingen Lehen",TDTUL,8001422,48.529216,9.336896
Dettingen(Main),FDET,8001427,50.042556,9.036807
Dettingen(Teck),TDT,8001428,48.616409,9.454878
Dettingen-Mitte,TDTU,8070679,48.527817,9.34463
Dettum,HDEM,8001429,52.156721,10.660757
Dettwiller,XFDEE,8701044
Deuben(Zeitz),LDB,8010078,51.11053,12.068913
Deuerling,NDN,8001430,49.04164,11.914918
Deurne,ONDEU,8400172,51.455833435059,6.0450000762939
Deuten,EDEU,8001432,51.713087,6.97079
Deutzen,LDTZ,8011371,51.11443,12.419542
Deva,XUD,5300073
Deventer,XNDV,8400173,52.257499694824,6.0422220230103
"Deventer Colmschate",ONDVC,8400185,52.2502784729,6.03463
"Devinska Nova Ves",XYDN,5600193
"Diano Marina",XIDM,8300149
Didam,ONDI,8400174,51.933502,6.03228
Diebach,NDIE,8001435,50.128683,9.83766
Dieburg,FDI,8000362,49.90369,8.839795
Diedelsheim,RBTD,8070012,49.039347,8.674472
Diedorf(Schwab),MDID,8001439,48.35609,10.776823
Diemen,ONDIM,8400165,52.34515,6.0314
"Diemen Zuid",ONDIZ,8400163,52.330276489258,6.02578
Diemeringen,XFDM,8700304
Dienheim,FDHM,8001448,49.841354,8.35714
Diepenbeek,XBDBK,8800240
Diepholz,HDIP,8001443,52.604771,8.380334
Dieren,ONDIR,8400176,52.044998168945,6.019166469574
Dieringhausen,KDI,8000363,50.98542,7.542483
Dieskau,LDI,8011376,51.450325,12.052167
Diessenhofen,XSDH,8503428,47.6854695763978,8.7522798034753
"Diessenhofen URh",XSDHS,8506152,47.6904192083997,8.74885906156379
Dietersheim,NDT,8001450,49.556882,10.543103
Dietlikon,XSD,8503306,47.4201947418021,8.61925589066777
Dietmannsried,MDRD,8001454,47.812866,10.290481
Dietzelbach,RDB,8007335,47.859373,7.763382
"Dietzenbach Bahnhof",FDZ,8001456,50.008064,8.785541
"Dietzenbach Mitte",FDZM,8001455,50.017246,8.78899
Dietzenbach-Steinberg,FDZS,8001459,50.02524,8.792627
Dietzhausen,UDN,8011378,50.599437,10.5969
Dieulouard,XFDI,8700340
Diez,FDIZ,8001457,50.370127,8.01962
"Diez Ost",FDIO,8001458,50.376044,8.038587
"Dießen",MDIN,8001447,47.950818,11.10754
Differdange,XLDI,8200920
"Dijon Porte Neuve",XFDN,8700429
"Dijon Ville",XFD,8700021
Dillbrecht,FDBT,8001460,50.801821,8.20377
Dillenburg,FDIL,8000074,50.734883,8.294088
Dillingen(Donau),MDIL,8001463,48.581255,10.489167
Dillingen(Saar),SDL,8000075,49.35271,6.72215
Dingden,EDGD,8001465,51.770232,6.607872
Dingolfing,MDIF,8001466,48.641606,12.48687
"Dinkelsbühl Bf",MDKB,8070352,49.068851,10.328856
Dinkelscherben,MDKS,8001468,48.342638,10.586675
Dinslaken,EDIN,8001469,51.567458,6.73803
Dippach-Reckange,XLDR,8270340
Dippoldiswalde,DDP,8011382,50.891093,13.664603
Dirmingen,SDIR,8001470,49.415386,7.012377
"Dissen-Bad Rothenfelde",HDBR,8001471,52.11192,8.185298
Distelhausen,TDIH,8001472,49.598233,9.683508
Ditfurt,LDT,8011383,51.833482,11.186728
Dittersbach,DDIF,8011385,50.926837,13.068842
Dittersdorf,DDF,8011386,50.75139,12.978615
Dittigheim,TDM,8001474,49.607964,9.674912
Ditzingen,TDI,8001476,48.823611,9.06705
Dobbiaco/Toblach,XIDT,8300104
Doberlug-Kirchhain,BDKO,8010079,51.620576,13.564241
Doberschütz,LDOB,8011387,51.492237,12.745785
Dobova,XZD,7900017
Dobova(Gr),XZXDO,7900042
Dodendorf,LDF,8011388,52.048952,11.613086
Dodenhof,AKTKD,8007148,53.844409,9.939692
"Doestrup(Soenderjylland) st",XDDS,8600416
Doetinchem,ONDO,8400177,51.9585962,6.0147223472595
"Doetinchem De Huet",ONDOH,8400184,51.9591413,6.0141777992248
Dogern,RDRN,8001491,47.608887,8.167356
Dohna(Sachs),DDO,8011398,50.961188,13.855565
Doksy,XTDK,5400252
"Dole Ville",XFDO,8700116
Dolhain-Gileppe,XBDG,8800269
Dollbergen,HDOG,8001492,52.417153,10.181657
Dollern,ADR,8001493,53.545425,9.55808
Dollnstein,MDO,8001495,48.871425,11.079009
"Dolni Habartice",XTDH,5400870
"Dolni Podluzi",XTDD,5400881
"Dolni Poustevna",XTDA,5400884
"Dolni Zleb",XTDL,5400890
"Dolni Zleb zast.",XTDZ,5400891
Domazlice,XTDO,5400196
Dombühl,NDB,8000365,49.25211,10.298523
Domina,XTDI,5400905
Dommeldange,XLDM,8270350
Domnitz(Saalkr),LDN,8011402,51.635225,11.839973
Domodossola,XID,8300057
Domsühl,WDS,8011403,53.485372,11.765869
Donaueschingen,RDO,8000077,47.947786,8.498919
"Donaueschingen Allmendshofen",RDOA,8001479,47.940563,8.50172
"Donaueschingen Aufen",RDOF,8001482,47.963356,8.47562
"Donaueschingen Grüningen",RDOG,8001483,47.983052,8.471824
"Donaueschingen Mitte/Siedlung",RDOM,8001485,47.952541,8.488955
Donauwörth,MDT,8000078,48.714026,10.771443
Dordrecht,XNDO,8400180,51.807220458984,6.0044445991516
"Dordrecht Stadspolders",ONDOS,8400186,51.801944732666,6.0036110877991
"Dordrecht Zuid",ONDOZ,8400181,51.790000915527,6.0025000572205
"Dorf Mecklenburg",WMK,8012321,53.842932,11.471343
Dorfchemnitz,DDCH,8011405,50.665997,12.839939
"Dorfen Bahnhof",MDFN,8001499,48.267048,12.159686
Dorfgastein,XADG,8100098,47.2387121773031,13.1030948051708
Dorfmark,HDMK,8001502,52.899139,9.771305
Dorfprozelten,NDP,8001503,49.779377,9.38216
Dorheim(Wetterau),FDH,8001504,50.352702,8.79051
Dormagen,KDO,8001506,51.099495,6.814837
"Dormagen Chempark",KDBW,8001507,51.077045,6.838171
Dornbirn,XADO,8100122
"Dornbirn Schoren",XADS,8100728
Dornburg(Saale),UDG,8011406,51.008613,11.675499
Dornstetten,TDS,8001512,48.472106,8.494955
Dorsten,EDRN,8006709,51.658274,6.9705
Dortelweil,FDW,8001514,50.207503,8.751145
"Dortmund Hbf",EDO,8000080,51.517896,7.45929
"Dortmund Knappschaftskrankenhaus",EDKK,8001517,51.518768,7.537458
"Dortmund Möllerbrücke",EDMB,8001518,51.507157,7.451706
"Dortmund Signal Iduna Park",EDWH,8001522,51.490728,7.457573
"Dortmund Stadthaus",EDST,8001520,51.507828,7.468764
"Dortmund Tierpark",EDTP,8001521,51.478193,7.461995
"Dortmund Universität",EDUV,8004419,51.49274,7.417708
"Dortmund West",EDW,8003946,51.509652,7.438938
Dortmund-Aplerbeck,EDAP,8001523,51.490151,7.553189
"Dortmund-Aplerbeck Süd",EDAU,8001524,51.484437,7.549982
"Dortmund-Asseln Mitte",EDAM,8001526,51.526219,7.583839
Dortmund-Barop,EDBA,8001527,51.476954,7.431298
Dortmund-Brackel,EDBK,8001529,51.520757,7.550083
Dortmund-Bövinghausen,EDBH,8001528,51.519036,7.327477
Dortmund-Derne,EDD,8001530,51.567716,7.528822
Dortmund-Dorstfeld,EDDP,8000081,51.509376,7.424864
"Dortmund-Dorstfeld Süd",EDDS,8004230,51.500632,7.420017
Dortmund-Germania,EDGM,8001540,51.498124,7.363728
Dortmund-Huckarde,EDOH,8001505,51.532623,7.402353
"Dortmund-Huckarde Nord",EDHU,8001532,51.533667,7.415095
Dortmund-Hörde,EDH,8000961,51.487782,7.500029
Dortmund-Kirchderne,EDKD,8001533,51.547075,7.510105
Dortmund-Kirchhörde,EDKH,8001534,51.464241,7.457764
Dortmund-Kley,EDK,8004269,51.489467,7.365374
Dortmund-Kruckel,EDKR,8001536,51.458332,7.415529
Dortmund-Kurl,EDKU,8001537,51.556979,7.585291
Dortmund-Körne,EDKO,8001535,51.51343,7.51537
"Dortmund-Körne West",EDWK,8003916,51.509939,7.502409
Dortmund-Löttringhausen,EDLH,8001538,51.451655,7.447228
Dortmund-Lütgendortmund,EDLS,8001516,51.500735,7.334177
"Dortmund-Lütgendortmund Nord",EDLN,8001539,51.508523,7.342401
Dortmund-Marten,EDMR,8001541,51.514462,7.374408
"Dortmund-Marten Süd",EDMS,8001542,51.507984,7.387479
Dortmund-Mengede,EDMG,8001543,51.570345,7.374374
Dortmund-Nette/Oestrich,EDOO,8001519,51.561495,7.377731
Dortmund-Oespel,EDOP,8004288,51.488397,7.383811
Dortmund-Rahm,EDRA,8001544,51.525728,7.395252
Dortmund-Scharnhorst,EDSH,8001515,51.538373,7.536564
Dortmund-Somborn,EDSM,8001549,51.49601,7.350084
Dortmund-Sölde,EDSO,8001545,51.49546,7.589205
Dortmund-Westerfilde,EDOF,8001525,51.548334,7.380213
Dortmund-Wickede,EDWI,8001546,51.53393,7.62466
"Dortmund-Wickede West",EDWW,8003936,51.529455,7.607215
Dortmund-Wischlingen,EDOL,8001531,51.51929,7.412863
Dorum(Weserm),ADO,8001547,53.688743,8.575801
Dossow(Prign),WDOW,8011408,53.121209,12.520886
Dottenheim,NDM,8001548,49.547496,10.522573
Dotternhausen-Dormettingen,TDOD,8029358,48.228455,8.781119
Dottikon-Dintikon,XSDO,8502212,47.3736425259442,8.23468774088471
Dourges,XFDR,8701046
Drahnsdorf,BDF,8011409,51.915391,13.58125
Drahtzug,LDRG,8017005,51.663447,11.124636
Drauffelt,XLDF,8270360
Drebkau,BDR,8011414,51.655084,14.22313
"Drei Annen Hohne",LDAH,8017006,51.770116,10.726766
Dreieich-Buchschlag,FBUS,8001236,50.022113,8.661204
Dreieich-Dreieichenhain,FDCH,8001554,49.998468,8.708693
Dreieich-Götzenhain,FGOZ,8002315,49.994502,8.731266
Dreieich-Offenthal,FOFF,8004653,49.981851,8.74964
Dreieich-Sprendlingen,FSPO,8005636,50.015201,8.68874
Dreieich-Weibelfeld,FWED,8079151,50.007084,8.700922
Dreikirchen,FOHS,8004538,50.449865,7.958384
Dreileben-Drackenstedt,LDD,8011415,52.143852,11.341559
Drensteinfurt,EDRS,8001558,51.799158,7.733609
"Dresden Bischofsplatz",DBPL,8011416,51.072335,13.746248
"Dresden Flughafen",DKTF,8011399,51.124665,13.765993
"Dresden Freiberger Straße",DHFR,8011431,51.047977,13.71959
"Dresden Grenzstraße",DGRS,8011417,51.128298,13.777737
"Dresden Hbf",DH,8010085,51.040563,13.732035
"Dresden Industriegelände",DIG,8011418,51.087456,13.762772
"Dresden Mitte",DM,8013444,51.056168,13.724109
Dresden-Cotta,DCT,8011419,51.062157,13.683298
Dresden-Dobritz,DD,8011420,51.011614,13.808477
Dresden-Friedrichstadt,DF,8013475,51.056034,13.708151
Dresden-Kemnitz,DKE,8011421,51.073084,13.668919
Dresden-Klotzsche,DKT,8010088,51.114667,13.78911
Dresden-Neustadt,DN,8010089,51.065899,13.740701
Dresden-Niedersedlitz,DNSH,8011422,50.999654,13.828399
Dresden-Pieschen,DPS,8011423,51.081859,13.725527
Dresden-Plauen,DPL,8013476,51.02963,13.70317
Dresden-Reick,DRK,8011424,51.021317,13.790514
Dresden-Stetzsch,DSTT,8011425,51.080848,13.650869
Dresden-Strehlen,DSTH,8011426,51.030677,13.761861
Dresden-Trachau,DTR,8011427,51.090081,13.702792
Dresden-Zschachwitz,DZSW,8011428,50.989652,13.84493
Dreye,HDRY,8001561,53.018425,8.871103
Driebergen-Zeist,ONDZ,8400182,52.065277099609,6.0005555152893
Driehuis,ONDR,8400183,52.442501068115,5.99714
Drohndorf-Mehringen,LDM,8011433,51.721692,11.515648
Dronryp,ONDP,8400192,53.1778086,5.9941668510437
Dronten,XNDR,8400198,52.5344,5.9886615
Duchcov,XTDU,5400051
Ducherow,WDU,8011438,53.766135,13.796021
Duckterath,KDUK,8001566,50.984815,7.103496
Dudweiler,SDUW,8001570,49.277299,7.027351
"Dugo Selo",XRDS,7800024
"Duisburg Entenfang",EDEF,8005272,51.377123,6.813422
"Duisburg Hbf",EDG,8000086,51.429785,6.775903
Duisburg-Bissingheim,EDBI,8001599,51.392175,6.808067
Duisburg-Buchholz,EDBU,8001600,51.382919,6.775406
"Duisburg-Großenbaum",EDGR,8001602,51.364774,6.77747
"Duisburg-Hochfeld Süd",EDHD,8001605,51.409,6.753408
"Duisburg-Meiderich Ost",EDMO,8001607,51.468855,6.800789
"Duisburg-Meiderich Süd",EDME,8000367,51.468831,6.780191
Duisburg-Obermeiderich,EDOM,8001608,51.468792,6.821232
Duisburg-Rahm,EDRM,8001609,51.346835,6.779924
Duisburg-Ruhrort,EDRU,8001611,51.45728,6.736015
Duisburg-Schlenk,EDSL,8001596,51.401781,6.773206
Duisburg-Wedau,EDWD,8001612,51.399253,6.803575
Duiven,ONDV,8400193,51.943332672119,5.9802780151367
Duivendrecht,XNDU,8400194,52.323333740234,5.9797382354736
Dunkerque,XFDK,8700004
Durach,MDUH,8001614,47.696452,10.343797
"Durlach Hubstraße, Karlsruhe",RKDUH,724002
"Durlach Untermühlstraße, Karlsruhe",RKDUU,721456
Durmersheim,RDRM,8001616,48.928904,8.272631
"Durmersheim Nord",RDUN,8070170,48.937796,8.280581
Dutenhofen(Wetzlar),FDTH,8001618,50.56445,8.598905
"Dußlingen",TDU,8001617,48.452408,9.058444
"Dyreby st",XDDY,8600436
Däniken,XSDN,8502111,47.3563863909847,7.97875336333831
