ID,Project,Lang_stub,Lang_file,Language,Year,Report,URL,Archive,File,size_corpus_mill,n_wordtypes,n_episodes,str,frq_count_idx,frq_opm_idx,frq_log_idx,frq_zipf_idx,frq_lemmas_count_idx,frq_lemmas_opm_idx,cd_count_idx,cd_pct_idx,cd_log_idx,pos_dom_idx,pos_all_idx,onc_idx,old20_idx,islem_idx,str_label,frq_count_label,frq_opm_label,frq_log_label,frq_zipf_label,frq_lemmas_count_label,frq_lemmas_opm_label,cd_count_label,cd_pct_label,cd_log_label,pos_dom_label,pos_all_label,onc_label,old20_label,islem_label,pos_NN,pos_VB,pos_AJ,pos_AV,pos_CJ,pos_PN,pos_PP,pos_DA,pos_NM,pos_IJ,pos_NB,pos_OT,pos_UK,pct_alpha,pct_ucfirst
1,SUBTLEX-US,US,,American English,2007,Brysbaert_et_al._2010,http://www.ugent.be/pp/experimentele-psychologie/en/research/documents/subtlexus/overview.htm|http://expsy.ugent.be/subtlexus/,SUBTLEX-US frequency list with PoS and Zipf information.zip,SUBTLEX-US frequency list with PoS and Zipf information.csv,51,74286,8388,0,1,5,6,14,,,2,7,8,9,12,,,,Word,FREQcount,SUBTLWF,Lg10WF,Zipf-value,,,CDcount,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,All_PoS_SUBTLEX,,,,Noun,Verb,Adjective,Adverb,Conjunction,Pronoun,Preposition,Article|Determiner,Name,Interjection,Number,A|Ex|Letter|N|Not|To,Unclassified,,
2,SUBTLEX-UK,UK,,British English,2013,van_Heuven_et_al._2014,http://www.psychology.nottingham.ac.uk/subtlex-uk/,SUBTLEX-UK.zip,SUBTLEX-UK.txt,201.335638,159235,45099,0,1,,,5,,,9,12,,15,19,,,,Spelling,FreqCount,,,LogFreq(Zipf),,,CD_count,CD,,DomPoS,AllPoS,,,,noun,verb,adjective,adverb,conjunction,pronoun,preposition,,name,interjection,number,2|marker,unclassified,,
3,SUBTLEX-NL,NL_all,NL.with-pos,Dutch,2010,Keuleers_et_al_2010,http://crr.ugent.be/programs-data/subtlex-nl|http://crr.ugent.be/programs-data/subtitle-frequencies/subtlex-nl,SUBTLEX-NL.with-pos.txt.zip,SUBTLEX-NL.with-pos.txt,43.729424,437503,8443,0,1,6,7,,5,,2,8,9,10,14,,,,Word,FREQcount,SUBTLEXWF,Lg10WF,,FREQlemma,,CD_count,SUBTLEXCD,Lg10CD,dominant.pos,all.pos,,,,N,WW,ADJ,BIJW,VG,VNW,VZ,LID,SPEC,TW,,BW|TSW,,,
4,SUBTLEX-NL,NL_min,NL.cd-above2.with-pos,Dutch,2010,Keuleers_et_al_2010,http://crr.ugent.be/programs-data/subtlex-nl|http://crr.ugent.be/programs-data/subtitle-frequencies/subtlex-nl,SUBTLEX-NL.with-pos.txt.zip,SUBTLEX-NL.cd-above2.with-pos.txt,43.729424,134723,8443,0,1,6,7,,5,,2,8,9,10,14,,,,Word,FREQcount,SUBTLEXWF,Lg10WF,,FREQlemma,,CD_count,SUBTLEXCD,Lg10CD,dominant.pos,all.pos,,,,N,WW,ADJ,BIJW,VG,VNW,VZ,LID,SPEC,TW,,BW|TSW,,,
5,SUBTLEX-DE,DE,,German,2011,Brysbaert_et_al._submitted,http://crr.ugent.be/archives/534,SUBTLEX-DE_txt_cleaned_with_Google00.zip,SUBTLEX-DE_cleaned_with_Google00.txt,25.399,190500,4610,0,3,4,5,,,,,,,,,,,,Word,CUMfreqcount,SUBTLEX,lgSUBTLEX,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Lexique2,FR1,,French,2007,New_et_al_2007,http://www.lexique.org/public/,,,50.4,125653,9474,0,,1,2,,,,,,,,,,,,item,,cfreqmovies,lcfreqmovies,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Lexique 3.81,FR,,French,2007,New_et_al_2007,http://www.lexique.org/public/,Lexique381.zip,Lexique381.txt,50.4,125653,9474,0,,8,,,,6,,,,28,28,18,31,13,1_ortho,,9_freqfilms2,,,,7_freqlemfilms2,,,,4_cgram,,19_voisorth,32_old20,14_islem,NOM,VER,ADJ,ADV,CON,PRO,PRE,ART,,,,AUX|LIA|ONO|def|dem|ind|num|per|pos|rel,,,
8,SUBTLEX-PT,PT,SUBTLEX-PT_Soares_et_al._QJEP,Portuguese,2015,Soares_et_al_2015,http://p-pal.di.uminho.pt/about/database,,SUBTLEX-PT_Soares_et_al._QJEP.csv,78.019765,132710,17496,0,1,2,3,4,,,5,6,7,11,11,,,,Wordform,SUBTLEX_FREQcount,SUBTLEX_FREQmil,",SUBTLEX_LOG10freq",SUBTLEXZipf,,,SUBTLEX_CDcount,SUBTLEX_CD%,SUBTLEX_LOG10CD,,PoS,,,,N,V,ADJ,ADV,CONJ,PRON,PREP,DET,,INT,QUANT,,,,
