HOST_NAME,PERCENT_TOTAL_TIME_UP,TOTAL_TIME_DOWN,TOTAL_TIME_DOWN_HMS,TOTAL_TIME_UNREACHABLE,TOTAL_TIME_UNREACHABLE_HMS,AVAIL_URL,TREND_URL
Armidale_DEST_router,99.882%,290,5m  ,2120,35m  ,http://nms/nagios/cgi-bin/avail.cgi?host=Armidale_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Armidale_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Armidale_Optus_router_PE_interface,99.897%,2110,35m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Armidale_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Armidale_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Taree_DEST_router,99.901%,0, ,2022,35m  ,http://nms/nagios/cgi-bin/avail.cgi?host=Taree_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Taree_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Taree_Optus_router_PE_interface,99.901%,2022,35m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Taree_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Taree_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Walgett_DEST_router,99.905%,1936,30m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Walgett_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Walgett_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Lismore_DEST_router,99.911%,0, ,1810,30m  ,http://nms/nagios/cgi-bin/avail.cgi?host=Lismore_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Lismore_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Lismore_Optus_router_PE_interface,99.911%,1810,30m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Lismore_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Lismore_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Nowra_DEST_router,99.925%,0, ,1540,25m  ,http://nms/nagios/cgi-bin/avail.cgi?host=Nowra_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Nowra_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Nowra_Optus_router_PE_interface,99.925%,1540,25m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Nowra_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Nowra_Optus_router_PE_interface&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
Darwin_State_Office_DEST_router,99.929%,1449,25m  ,0, ,http://nms/nagios/cgi-bin/avail.cgi?host=Darwin_State_Office_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0,http://nms/nagios/cgi-bin/trends.cgi?host=Darwin_State_Office_DEST_router&t1=1130763600&t2=1133355540&show_log_entries=&assumeinitialstates=yes&assumestateretention=yes&includesoftstates=no&backtrack=0
