イカ娘,1285,1285,1000,名詞,固有名詞,人名,名,*,*,イカムスメ,イカムスメ,イカムスメムスメ
です,460,460,1000,助動詞,*,*,*,特殊・デス,基本形,です,デゲソ,デス,でゲソ
ですね,-1,-1,100,助動詞,*,*,*,特殊・デス,基本形,です,ジャナイカ,デスネ,じゃなイカ
ですよね,-1,-1,100,助動詞,*,*,*,特殊・デス,基本形,です,ジャナイカ,デスヨネ,じゃなイカ
でしょうか,-1,-1,100,助動詞,*,*,*,特殊・デス,未然形,です,ジャナイカ,デショウカ,じゃなイカ
でし,466,466,4000,助動詞,*,*,*,特殊・デス,連用形,です,ダッ,デシ,だっ
だ,453,453,1000,助動詞,*,*,*,特殊・ダ,基本形,だ,デゲソ,ダ,でゲソ
だろう,-1,-1,100,助動詞,*,*,*,特殊・ダ,未然形,だ,ジャナイ,ダロウ,じゃない
ある,403,403,1000,助動詞,*,*,*,五段・ラ行アル,基本形,ある,ゲソ,アル,ゲソ
かな,-1,-1,1000,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,ジャナイカ,カナ,じゃなイカ
か,359,359,5000,助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,,inflection
ませんか,-1,-1,1000,助動詞,*,*,*,特殊・マス,未然形,ます,マセンカ,マセンカ,,inflection
ましょう,-1,-1,1000,助動詞,*,*,*,特殊・マス,未然形,ます,マショウ,マショウ,,inflection
ましょうよ,-1,-1,1000,助動詞,*,*,*,特殊・マス,未然形,ます,マショウヨ,マショウ,,inflection
あなた,1306,1306,1000,名詞,代名詞,一般,*,*,*,あなた,アナタ,アナタ,お主
あんた,1306,1306,1000,名詞,代名詞,一般,*,*,*,あんた,アンタ,アンタ,お主
貴方,1306,1306,1000,名詞,代名詞,一般,*,*,*,貴方,アナタ,アナタ,お主
お前,1306,1306,1000,名詞,代名詞,一般,*,*,*,お前,オマエ,オマエ,お主
おまえ,1306,1306,1000,名詞,代名詞,一般,*,*,*,おまえ,オマエ,オマエ,お主
そち,1306,1306,1000,名詞,代名詞,一般,*,*,*,そち,ソチ,ソチ,お主
君,1306,1306,1000,名詞,代名詞,一般,*,*,*,君,キミ,キミ,お主
キミ,1306,1306,1000,名詞,代名詞,一般,*,*,*,キミ,キミ,キミ,お主
きみ,1306,1306,1000,名詞,代名詞,一般,*,*,*,きみ,キミ,キミ,お主
ありません,-1,-1,1000,動詞,非自立,*,*,五段・ラ行,連用形,ある,ナイ,アリマセン,ない
いけない,-1,-1,1000,動詞,自立,*,*,一段,未然形,いける,イカン,イケナイ,イカん
いけません,-1,-1,1000,動詞,自立,*,*,一段,未然形,いける,イカン,イケマセン,イカん
いー,131,131,1000,形容詞,非自立,*,*,形容詞・イイ,基本形,いい,イイ,イイ
<,6,6,1000,記号,一般（GESO可）,*,*,*,*,<,<,<
>,6,6,1000,記号,一般（GESO可）,*,*,*,*,>,>,>
</,6,6,1000,記号,一般（GESO可）,*,*,*,*,</,</,</
‥,5,5,1810,記号,一般（GESO可）,*,*,*,*,‥,‥,‥
…,5,5,-3000,記号,一般（GESO可）,*,*,*,*,…,…,…
～,5,5,-466,記号,一般（GESO可）,*,*,*,*,～,～,～
～,5,5,4480,記号,一般（GESO可）,*,*,*,*,～,カラ,カラ
￣,5,5,1810,記号,一般（GESO可）,*,*,*,*,￣,￣,￣
☆,5,5,1810,記号,一般（GESO可）,*,*,*,*,☆,☆,☆
★,5,5,1810,記号,一般（GESO可）,*,*,*,*,★,★,★
！,5,5,1810,記号,一般（GESO可）,*,*,*,*,！,！,！
？,5,5,1970,記号,一般（GESO可）,*,*,*,*,？,？,？
