masc_nom,eng,masc_gen,masc_dat,masc_inst,masc_prep,neu_nom,fem_nom,fem_acc,fem_oth,pl_nom,pl_gen,pl_dat,pl_inst,pl_prep
новый,new,нового,новому,новым,новом,новое,новая,новую,новой,новые,новых,новым,новыми,новых
синий,blue,синего,синему,синим,синем,синее,синяя,синюю,синей,синие,синих,синим,синими,синих
высокий,tall,высокого,высокому,высоким,высоком,высокое,высокая,высокую,высокой,высокие,высоких,высоким,высокими,высоких
хороший,good,хорошего,хорошему,хорошим,хорошем,хорошее,хорошая,хорошую,хорошей,хорошие,хороших,хорошим,хорошими,хороших
большой,big,большого,большому,большим,большом,большое,большая,большую,большой,большие,больших,большим,большими,больших
