RANK	REFERENCE(ID)	TARGET(ID)	FORMAT	LENGTH	WEIGHTED	HAMMING-DISTANCE	DISTANCE-Z-SCORE	DISTANCE-P-VALUE	DISTANCE-Z-SCORE(RAND)	JACCARD-INDEX	JACCARD-Z-SCORE	JACCARD-P-VALUE	REFERENCE-VARS	TARGET-VARS	INTERSECT	INTERSECT-RATE(%)	COMPLETENESS(%)
1	107:week_0_arm_1	107:week_0_arm_1	BFF	    77	False	   0	 -2.419	   0.0077787	 -8.7750	  1.000	  2.949	   0.0256500	    77	    77	    77	  100.00	  100.00
2	125:week_0_arm_1	107:week_0_arm_1	BFF	    79	False	   6	 -1.924	   0.0271576	 -7.5381	  0.924	  2.269	   0.1022693	    75	    77	    73	   94.81	   97.33
3	275:week_0_arm_1	107:week_0_arm_1	BFF	    86	False	  14	 -1.265	   0.1030165	 -6.2543	  0.837	  1.491	   0.3117348	    81	    77	    72	   93.51	   88.89
4	215:week_0_arm_1	107:week_0_arm_1	BFF	    88	False	  16	 -1.100	   0.1357515	 -5.9696	  0.818	  1.321	   0.3742868	    83	    77	    72	   93.51	   86.75
5	305:week_0_arm_1	107:week_0_arm_1	BFF	    89	False	  18	 -0.935	   0.1749800	 -5.6180	  0.798	  1.138	   0.4452980	    83	    77	    71	   92.21	   85.54
6	365:week_0_arm_1	107:week_0_arm_1	BFF	    87	False	  20	 -0.770	   0.2207314	 -5.0389	  0.770	  0.890	   0.5437899	    77	    77	    67	   87.01	   87.01
7	107:week_14_arm_1	107:week_0_arm_1	BFF	    78	False	  23	 -0.522	   0.3007259	 -3.6233	  0.705	  0.308	   0.7555423	    56	    77	    55	   71.43	   98.21
8	125:week_2_arm_1	107:week_0_arm_1	BFF	    78	False	  23	 -0.522	   0.3007259	 -3.6233	  0.705	  0.308	   0.7555423	    56	    77	    55	   71.43	   98.21
9	527:week_14_arm_1	107:week_0_arm_1	BFF	    78	False	  23	 -0.522	   0.3007259	 -3.6233	  0.705	  0.308	   0.7555423	    56	    77	    55	   71.43	   98.21
10	125:week_14_arm_1	107:week_0_arm_1	BFF	    78	False	  23	 -0.522	   0.3007259	 -3.6233	  0.705	  0.308	   0.7555423	    56	    77	    55	   71.43	   98.21
11	527:week_2_arm_1	107:week_0_arm_1	BFF	    78	False	  24	 -0.440	   0.3300253	 -3.3968	  0.692	  0.193	   0.7901267	    55	    77	    54	   70.13	   98.18
12	125:week_26_arm_1	107:week_0_arm_1	BFF	    78	False	  24	 -0.440	   0.3300253	 -3.3968	  0.692	  0.193	   0.7901267	    55	    77	    54	   70.13	   98.18
13	107:week_2_arm_1	107:week_0_arm_1	BFF	    78	False	  24	 -0.440	   0.3300253	 -3.3968	  0.692	  0.193	   0.7901267	    55	    77	    54	   70.13	   98.18
14	527:week_0_arm_1	107:week_0_arm_1	BFF	    98	False	  24	 -0.440	   0.3300253	 -5.0508	  0.755	  0.756	   0.5965581	    95	    77	    74	   96.10	   77.89
15	365:week_2_arm_1	107:week_0_arm_1	BFF	    79	False	  25	 -0.357	   0.3604065	 -3.2628	  0.684	  0.115	   0.8120159	    56	    77	    54	   70.13	   96.43
16	275:week_2_arm_1	107:week_0_arm_1	BFF	    79	False	  25	 -0.357	   0.3604065	 -3.2628	  0.684	  0.115	   0.8120159	    56	    77	    54	   70.13	   96.43
17	365:week_14_arm_1	107:week_0_arm_1	BFF	    80	False	  26	 -0.275	   0.3916958	 -3.1305	  0.675	  0.038	   0.8319440	    57	    77	    54	   70.13	   94.74
18	305:week_26_arm_1	107:week_0_arm_1	BFF	    79	False	  26	 -0.275	   0.3916958	 -3.0377	  0.671	  0.001	   0.8410353	    55	    77	    53	   68.83	   96.36
19	215:week_26_arm_1	107:week_0_arm_1	BFF	    78	False	  27	 -0.192	   0.4237022	 -2.7175	  0.654	 -0.151	   0.8752035	    52	    77	    51	   66.23	   98.08
20	215:week_2_arm_1	107:week_0_arm_1	BFF	    78	False	  27	 -0.192	   0.4237022	 -2.7175	  0.654	 -0.151	   0.8752035	    52	    77	    51	   66.23	   98.08
21	215:week_14_arm_1	107:week_0_arm_1	BFF	    84	False	  29	 -0.027	   0.4890344	 -2.8368	  0.655	 -0.143	   0.8735091	    62	    77	    55	   71.43	   88.71
22	257:week_0_arm_1	107:week_0_arm_1	BFF	   102	False	  29	 -0.027	   0.4890344	 -4.3566	  0.716	  0.403	   0.7249040	    98	    77	    73	   94.81	   74.49
23	365:week_26_arm_1	107:week_0_arm_1	BFF	    83	False	  30	  0.055	   0.5219230	 -2.5246	  0.639	 -0.288	   0.9011791	    59	    77	    53	   68.83	   89.83
24	275:week_14_arm_1	107:week_0_arm_1	BFF	    80	False	  30	  0.055	   0.5219230	 -2.2361	  0.625	 -0.410	   0.9206854	    53	    77	    50	   64.94	   94.34
25	527:week_26_arm_1	107:week_0_arm_1	BFF	    86	False	  32	  0.220	   0.5870339	 -2.3723	  0.628	 -0.384	   0.9167688	    63	    77	    54	   70.13	   85.71
26	215:week_78_arm_1	107:week_0_arm_1	BFF	    86	False	  32	  0.220	   0.5870339	 -2.3723	  0.628	 -0.384	   0.9167688	    63	    77	    54	   70.13	   85.71
27	125:week_78_arm_1	107:week_0_arm_1	BFF	    94	False	  40	  0.880	   0.8104854	 -1.4440	  0.574	 -0.862	   0.9687183	    71	    77	    54	   70.13	   76.06
28	527:week_52_arm_1	107:week_0_arm_1	BFF	    98	False	  43	  1.127	   0.8701495	 -1.2122	  0.561	 -0.981	   0.9761986	    76	    77	    55	   71.43	   72.37
