CODE POSTAL  VILLE                              CODE PAYS  N° INSEEBUREAU DISTRIBUTEUR
01970        CHALEY                             100        01076   CHALEY
01450        CHALLES                            100        01077   CHALLES
01630        CHALLEX                            100        01078   CHALLEX
01260        CHAMPAGNE EN VALROMEY              100        01079   CHAMPAGNE EN VALROMEY
01110        CHAMPDOR                           100        01080   CHAMPDOR
01410        CHAMPFROMIER                       100        01081   CHAMPFROMIER
01420        CHANAY                             100        01082   CHANAY
01990        CHANEINS                           100        01083   CHANEINS
01400        CHANOZ CHATENAY                    100        01084   CHANOZ CHATENAY
01240        LA CHAPELLE DU CHATELARD           100        01085   LA CHAPELLE DU CHATELARD
01260        CHARANCIN                          100        01086   SUTRIEU
01130        CHARIX                             100        01087   CHARIX
01800        CHARNOZ SUR AIN                    100        01088   CHARNOZ SUR AIN
01500        CHATEAU GAILLARD                   100        01089   CHATEAU GAILLARD
01320        CHATENAY                           100        01090   CHATENAY
01200        CHATILLON EN MICHAILLE             100        01091   CHATILLON EN MICHAILLE
01320        CHATILLON LA PALUD                 100        01092   CHATILLON LA PALUD
01400        CHATILLON SUR CHALARONNE           100        01093   CHATILLON SUR CHALARONNE
01190        CHAVANNES SUR REYSSOUZE            100        01094   CHAVANNES SUR REYSSOUZE
01250        CHAVANNES SUR SURAN                100        01095   CHAVANNES SUR SURAN
01660        CHAVEYRIAT                         100        01096   CHAVEYRIAT
01510        CHAVORNAY                          100        01097   CHAVORNAY
01300        CHAZEY BONS                        100        01098   CHAZEY BONS
01150        CHAZEY SUR AIN                     100        01099   CHAZEY SUR AIN
01510        CHEIGNIEU LA BALME                 100        01100   CHEIGNIEU LA BALME
01430        CHEVILLARD                         100        01101   CHEVILLARD
01190        CHEVROUX                           100        01102   CHEVROUX
01170        CHEVRY                             100        01103   CHEVRY
01410        CHEZERY FORENS                     100        01104   CHEZERY FORENS
01200        CHEZERY FORENS                     100        01104   CHEZERY FORENS
01390        CIVRIEUX                           100        01105   CIVRIEUX
01250        CIZE                               100        01106   CIZE
01230        CLEYZIEU                           100        01107   CLEYZIEU
01270        COLIGNY                            100        01108   COLIGNY
01550        COLLONGES                          100        01109   COLLONGES
01300        COLOMIEU                           100        01110   COLOMIEU
01230        CONAND                             100        01111   CONAND
01430        CONDAMINE                          100        01112   CONDAMINE
01400        CONDEISSIAT                        100        01113   CONDEISSIAT
01200        CONFORT                            100        01114   CONFORT
01310        CONFRANCON                         100        01115   CONFRANCON
01300        CONTREVOZ                          100        01116   CONTREVOZ
01300        CONZIEU                            100        01117   CONZIEU
01420        CORBONOD                           100        01118   CORBONOD
01110        CORCELLES                          100        01119   CORCELLES
01120        CORDIEUX                           100        01120   MONTLUEL
01110        CORLIER                            100        01121   CORLIER
01110        CORMARANCHE EN BUGEY               100        01122   CORMARANCHE EN BUGEY
01290        CORMORANCHE SUR SAONE              100        01123   CORMORANCHE SUR SAONE
01270        CORMOZ                             100        01124   CORMOZ
01250        CORVEISSIAT                        100        01125   CORVEISSIAT
01370        COURMANGOUX                        100        01127   COURMANGOUX
01560        COURTES                            100        01128   COURTES
01320        CRANS                              100        01129   CRANS
01340        CRAS SUR REYSSOUZE                 100        01130   CRAS SUR REYSSOUZE
01200        CRAZ                               100        01131   INJOUX GENISSIAT
01350        CRESSIN ROCHEFORT                  100        01133   CRESSIN ROCHEFORT
01290        CROTTET                            100        01134   CROTTET
01750        CROTTET                            100        01134   CROTTET
01170        CROZET                             100        01135   CROZET
01290        CRUZILLES LES MEPILLAT             100        01136   CRUZILLES LES MEPILLAT
01370        CUISIAT                            100        01137   TREFFORT CUISIAT
01350        CULOZ                              100        01138   CULOZ
01560        CURCIAT DONGALON                   100        01139   CURCIAT DONGALON
01310        CURTAFOND                          100        01140   CURTAFOND
01300        CUZIEU                             100        01141   CUZIEU
01120        DAGNEUX                            100        01142   DAGNEUX
01220        DIVONNE LES BAINS                  100        01143   DIVONNE LES BAINS
01380        DOMMARTIN                          100        01144   DOMMARTIN
01240        DOMPIERRE SUR VEYLE                100        01145   DOMPIERRE SUR VEYLE
01400        DOMPIERRE SUR CHALARONNE           100        01146   DOMPIERRE SUR CHALARONNE
01270        DOMSURE                            100        01147   DOMSURE
01590        DORTAN                             100        01148   DORTAN
01500        DOUVRES                            100        01149   DOUVRES
01250        DROM                               100        01150   DROM
01160        DRUILLAT                           100        01151   DRUILLAT
01130        ECHALLON                           100        01152   ECHALLON
01170        ECHENEVEX                          100        01153   ECHENEVEX
01340        ETREZ                              100        01154   ETREZ
01230        EVOSGES                            100        01155   EVOSGES
01800        FARAMANS                           100        01156   FARAMANS
01480        FAREINS                            100        01157   FAREINS
01550        FARGES                             100        01158   FARGES
