symbol,epoch,resample_epoch,bid,quote,ask
USDJPY,1479203157,1479203160,108.318,108.320,108.322
USDJPY,1479203158,1479203160,108.319,108.320,108.321
USDJPY,1479203159,1479203160,108.313,108.316,108.319
USDJPY,1479203160,1479203160,108.322,108.323,108.325
USDJPY,1479203161,1479203175,108.315,108.316,108.317
USDJPY,1479203162,1479203175,108.313,108.314,108.314
USDJPY,1479203163,1479203175,108.311,108.312,108.313
USDJPY,1479203164,1479203175,108.307,108.308,108.309
USDJPY,1479203165,1479203175,108.294,108.303,108.313
USDJPY,1479203166,1479203175,108.302,108.304,108.305
USDJPY,1479203167,1479203175,108.299,108.300,108.301
USDJPY,1479203168,1479203175,108.291,108.296,108.3
USDJPY,1479203169,1479203175,108.298,108.300,108.303
USDJPY,1479203170,1479203175,108.288,108.289,108.29
USDJPY,1479203171,1479203175,108.283,108.284,108.285
USDJPY,1479203172,1479203175,108.28,108.281,108.283
USDJPY,1479203173,1479203175,108.278,108.282,108.287
USDJPY,1479203174,1479203175,108.273,108.282,108.291
USDJPY,1479203175,1479203175,108.272,108.281,108.291
USDJPY,1479203176,1479203190,108.282,108.283,108.284
USDJPY,1479203177,1479203190,108.274,108.284,108.294
USDJPY,1479203178,1479203190,108.281,108.284,108.286
USDJPY,1479203179,1479203190,108.283,108.285,108.286
USDJPY,1479203180,1479203190,108.282,108.284,108.285
USDJPY,1479203181,1479203190,108.278,108.284,108.29
USDJPY,1479203182,1479203190,108.29,108.293,108.295
USDJPY,1479203183,1479203190,108.288,108.292,108.296
USDJPY,1479203184,1479203190,108.287,108.292,108.296
USDJPY,1479203185,1479203190,108.29,108.292,108.294
USDJPY,1479203186,1479203190,108.287,108.293,108.298
USDJPY,1479203187,1479203190,108.293,108.295,108.297
USDJPY,1479203188,1479203190,108.277,108.290,108.303
USDJPY,1479203189,1479203190,108.277,108.290,108.303
USDJPY,1479203190,1479203190,108.287,108.289,108.291
USDJPY,1479203191,1479203205,108.279,108.285,108.29
USDJPY,1479203192,1479203205,108.275,108.285,108.294
USDJPY,1479203193,1479203205,108.283,108.285,108.287
USDJPY,1479203194,1479203205,108.282,108.282,108.283
USDJPY,1479203195,1479203205,108.274,108.284,108.293
USDJPY,1479203196,1479203205,108.277,108.283,108.289
USDJPY,1479203197,1479203205,108.277,108.284,108.29
USDJPY,1479203198,1479203205,108.282,108.284,108.285
USDJPY,1479203199,1479203205,108.269,108.282,108.296
USDJPY,1479203200,1479203205,108.28,108.282,108.285
USDJPY,1479203201,1479203205,108.271,108.281,108.29
USDJPY,1479203202,1479203205,108.276,108.278,108.28
USDJPY,1479203203,1479203205,108.277,108.281,108.286
USDJPY,1479203204,1479203205,108.281,108.281,108.282
USDJPY,1479203206,1479203220,108.272,108.281,108.291
USDJPY,1479203207,1479203220,108.273,108.283,108.293
USDJPY,1479203210,1479203220,108.277,108.281,108.286
USDJPY,1479203211,1479203220,108.278,108.283,108.288
USDJPY,1479203213,1479203220,108.277,108.281,108.286
USDJPY,1479203214,1479203220,108.277,108.279,108.282
USDJPY,1479203215,1479203220,108.273,108.279,108.286
USDJPY,1479203216,1479203220,108.269,108.279,108.288
USDJPY,1479203217,1479203220,108.275,108.276,108.278
USDJPY,1479203218,1479203220,108.274,108.275,108.277
USDJPY,1479203219,1479203220,108.261,108.274,108.287
USDJPY,1479203220,1479203220,108.273,108.275,108.278
USDJPY,1479203221,1479203235,108.272,108.274,108.276
USDJPY,1479203222,1479203235,108.271,108.273,108.275
USDJPY,1479203223,1479203235,108.271,108.273,108.275
USDJPY,1479203224,1479203235,108.268,108.273,108.279
USDJPY,1479203225,1479203235,108.273,108.275,108.278
USDJPY,1479203226,1479203235,108.271,108.276,108.282
USDJPY,1479203227,1479203235,108.274,108.276,108.279
USDJPY,1479203228,1479203235,108.272,108.279,108.285
USDJPY,1479203229,1479203235,108.268,108.282,108.296
USDJPY,1479203230,1479203235,108.269,108.275,108.281
USDJPY,1479203231,1479203235,108.268,108.274,108.28
USDJPY,1479203232,1479203235,108.268,108.269,108.269
USDJPY,1479203233,1479203235,108.265,108.267,108.268
USDJPY,1479203234,1479203235,108.255,108.260,108.264
USDJPY,1479203235,1479203235,108.25,108.251,108.252
USDJPY,1479203236,1479203250,108.247,108.252,108.258
USDJPY,1479203237,1479203250,108.249,108.251,108.253
USDJPY,1479203238,1479203250,108.247,108.251,108.256
USDJPY,1479203239,1479203250,108.249,108.251,108.254
USDJPY,1479203240,1479203250,108.237,108.250,108.264
USDJPY,1479203241,1479203250,108.251,108.256,108.26
USDJPY,1479203242,1479203250,108.245,108.257,108.269
USDJPY,1479203243,1479203250,108.249,108.261,108.274
USDJPY,1479203244,1479203250,108.26,108.263,108.265
USDJPY,1479203246,1479203250,108.26,108.262,108.264
USDJPY,1479203247,1479203250,108.251,108.261,108.27
USDJPY,1479203248,1479203250,108.244,108.257,108.271
USDJPY,1479203249,1479203250,108.253,108.258,108.264
USDJPY,1479203250,1479203250,108.254,108.256,108.257
