aliases,common_name,height,kind,max_height,max_width,min_height,min_width,pig_latin,planted,publish,scientific_name,thumbnail,width
,'Goldfever',,Plant,,,,,Grevillea.1,2018-11-12,Yes,Grevillea,"<a href='http://savage.net.au/Flowers/Grevillea.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.1.0.jpg' alt = ""Grevillea 1""></a>",
,"Lady 'O'",1-1.5m,Plant,150,200,100,150,Grevillea.2,2018-11-12,Yes,Grevillea,"<a href='http://savage.net.au/Flowers/Grevillea.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.2.0.jpg' alt = ""Grevillea 2""></a>",1.5-2m
,"'Lemon Daze'",,Plant,,,,,Grevillea.3,2018-11-12,Yes,Grevillea,"<a href='http://savage.net.au/Flowers/Grevillea.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.3.0.jpg' alt = ""Grevillea 3""></a>",
,"'Honeyeater Heaven'",,Plant,,,,,Grevillea.lanigera,2018-11-12,Yes,"Grevillea lanigera","<a href='http://savage.net.au/Flowers/Grevillea.lanigera.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Grevillea.lanigera.0.jpg' alt = ""Grevillea lanigera""></a>",
"Happy wanderer, Lilac vine, 'Mini Haha', Native lilac, Purple coral pea, Vine lilac, Waraburra","False sarsaparilla",,Plant,,,,,Hardenbergia.violacea,2018-11-12,Yes,"Hardenbergia violacea","<a href='http://savage.net.au/Flowers/Hardenbergia.violacea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hardenbergia.violacea.0.jpg' alt = ""Hardenbergia violacea""></a>",
,Ivy,,Plant,,,,,Hedera,2018-11-12,Yes,Hedera,"<a href='http://savage.net.au/Flowers/Hedera.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hedera.0.jpg' alt = ""Hedera""></a>",
"Cherry pie, Common heliotrope, 'Lord Roberts'","Garden heliotrope",50cm,Plant,50,90,50,90,Heliotropium.arborescens,2018-11-12,Yes,"Heliotropium arborescens","<a href='http://savage.net.au/Flowers/Heliotropium.arborescens.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Heliotropium.arborescens.0.jpg' alt = ""Heliotropium arborescens""></a>",90cm
"H. corsicus, Lenten rose, Winter Rose","Christmas rose",,Plant,,,,,Helleborus.argutifolius,2018-11-12,Yes,"Helleborus argutifolius","<a href='http://savage.net.au/Flowers/Helleborus.argutifolius.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Helleborus.argutifolius.0.jpg' alt = ""Helleborus argutifolius""></a>",
"Bear's foot, dungwort, setterwort","Hellebore 2",60cm,Plant,60,60,60,60,Helleborus.foetidus,2018-11-12,Yes,"Helleborus foetidus","<a href='http://savage.net.au/Flowers/Helleborus.foetidus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Helleborus.foetidus.0.jpg' alt = ""Helleborus foetidus""></a>",60cm
"Alumroot, 'Peach Flambé'","Coral bells",,Plant,,,,,Heuchera.2,2018-11-12,Yes,Heuchera,"<a href='http://savage.net.au/Flowers/Heuchera.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Heuchera.2.0.jpg' alt = ""Heuchera 2""></a>",
Alumroot,'Obsidian',,Plant,,,,,Heuchera.1,2018-11-12,Yes,Heuchera,"<a href='http://savage.net.au/Flowers/Heuchera.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Heuchera.1.0.jpg' alt = ""Heuchera 1""></a>",
,"Hoary Guinea Flower",,Plant,,,,,,2018-11-12,Yes,"Hibbertia obtusifolia","<a href='http://savage.net.au/Flowers/Hibbertia.obtusifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hibbertia.obtusifolia.0.jpg' alt = ""Hibbertia obtusifolia""></a>",
"Golden Guinea Vine, Snake Vine","Climbing Guinea Flower",,Plant,,,,,Hibbertia.scandens,2018-11-12,Yes,"Hibbertia scandens","<a href='http://savage.net.au/Flowers/Hibbertia.scandens.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hibbertia.scandens.0.jpg' alt = ""Hibbertia scandens""></a>",
,"Rose mallow",,Plant,,,,,Hibiscus,2018-11-12,Yes,Hibiscus,"<a href='http://savage.net.au/Flowers/Hibiscus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hibiscus.0.jpg' alt = ""Hibiscus""></a>",
,Hydrangea,,Plant,,,,,Hydrangea,2018-11-12,Yes,Hydrangea,"<a href='http://savage.net.au/Flowers/Hydrangea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hydrangea.0.jpg' alt = ""Hydrangea""></a>",
"Native frangipani","'Golden Nugget'",,Plant,,,,,,2018-11-12,Yes,"Hymenosporum Flavum","<a href='http://savage.net.au/Flowers/Hymenosporum.flavum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Hymenosporum.flavum.0.jpg' alt = ""Hymenosporum Flavum""></a>",
"Pitted morningglory, Whitestar potato","Morning Glory",,Plant,,,,,Ipomoea.lacunosa,2018-11-12,Yes,"Ipomoea lacunosa","<a href='http://savage.net.au/Flowers/Ipomoea.lacunosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ipomoea.lacunosa.0.jpg' alt = ""Ipomoea lacunosa""></a>",
,"Algerian Iris",,Plant,,,,,Iris.unguicularis,2018-11-12,Yes,"Iris unguicularis","<a href='http://savage.net.au/Flowers/Iris.unguicularis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Iris.unguicularis.0.jpg' alt = ""Iris unguicularis""></a>",
,Iris,,Plant,,,,,Iris.unknown,2018-11-12,Yes,"Iris unknown","<a href='http://savage.net.au/Flowers/Iris.unknown.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Iris.unknown.0.jpg' alt = ""Iris unknown""></a>",
"Pink Coneflower","Isopogon latifolius",1-2m,Plant,200,50,100,50,Isopogon.latifolius,2018-11-12,Yes,"Isopogon latifolius","<a href='http://savage.net.au/Flowers/Isopogon.latifolius.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Isopogon.latifolius.0.jpg' alt = ""Isopogon latifolius""></a>",50cm
,Jacaranda,,Tree,,,,,Jacaranda.mimosifolia,2018-11-12,Yes,"Jacaranda mimosifolia","<a href='http://savage.net.au/Flowers/Jacaranda.mimosifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Jacaranda.mimosifolia.0.jpg' alt = ""Jacaranda mimosifolia""></a>",
,"Cape Arid Climber",,Plant,,,,,,2018-11-12,Yes,"Kennedia beckxiana","<a href='http://savage.net.au/Flowers/Kennedia.beckxiana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.beckxiana.0.jpg' alt = ""Kennedia beckxiana""></a>",
,"Coral Vine",,Plant,,,,,,2018-11-12,Yes,"Kennedia coccinea","<a href='http://savage.net.au/Flowers/Kennedia.coccinea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.coccinea.0.jpg' alt = ""Kennedia coccinea""></a>",
,"Kennedia macrophylla",,Plant,,,,,,2018-11-12,Yes,"Kennedia macrophylla","<a href='http://savage.net.au/Flowers/Kennedia.macrophylla.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.macrophylla.0.jpg' alt = ""Kennedia macrophylla""></a>",
"Black Kennedia","Black Coral Pea",,Plant,,,,,Kennedia.nigricans,2018-11-12,Yes,"Kennedia nigricans","<a href='http://savage.net.au/Flowers/Kennedia.nigricans.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.nigricans.0.jpg' alt = ""Kennedia nigricans""></a>",
,"Running Postman",,Plant,,,,,,2018-11-26,,"Kennedia prostrata","<a href='http://savage.net.au/Flowers/Kennedia.prostrata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.prostrata.0.jpg' alt = ""Kennedia prostrata""></a>",
,"Dusky Coral Pea",,Plant,,,,,,2018-11-12,Yes,"Kennedia rubicunda","<a href='http://savage.net.au/Flowers/Kennedia.rubicunda.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kennedia.rubicunda.0.jpg' alt = ""Kennedia rubicunda""></a>",
"'Mandy's Surprise'",Kunzea,,Plant,,,,,Kunzea.baxterii.nana,2018-11-12,Yes,"Kunzea baxterii nana","<a href='http://savage.net.au/Flowers/Kunzea.baxterii.nana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Kunzea.baxterii.nana.0.jpg' alt = ""Kunzea baxterii nana""></a>",
"Mignonette Mix",Lettuce,,Vegetable,,,,,,2018-12-30,,"Lactuca savita","<a href='http://savage.net.au/Flowers/Lactuca.savita.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lactuca.savita.0.jpg' alt = ""Lactuca savita""></a>",
'Tuscarora',"Crepe Myrtle",,Tree,,,,,Lagerstromeia.indica.x.l.fauriei,2018-11-12,Yes,"Lagerstromeia indica x L. Fauriei","<a href='http://savage.net.au/Flowers/Lagerstromeia.indica.x.l.fauriei.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lagerstromeia.indica.x.l.fauriei.0.jpg' alt = ""Lagerstromeia indica x L. Fauriei""></a>",
Dead-nettles,"Beacon Silver",,Plant,,,,,Lamium,2018-11-12,Yes,Lamium,"<a href='http://savage.net.au/Flowers/Lamium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lamium.0.jpg' alt = ""Lamium""></a>",
"'Midnight Blue'",Lechenaultia,,Plant,,,,,Lechenaultia,2018-11-12,Yes,Lechenaultia,"<a href='http://savage.net.au/Flowers/Lechenaultia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lechenaultia.0.jpg' alt = ""Lechenaultia""></a>",
"Sky Blue Form","Lechenaultia biloba",,Plant,,,,,,2018-11-12,,"Lechenaultia biloba","<a href='http://savage.net.au/Flowers/Lechenaultia.biloba.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lechenaultia.biloba.0.jpg' alt = ""Lechenaultia biloba""></a>",
"A type of myrtle, 'Rudolph'","Tea Tree 2",2-3m,Tree,300,200,200,150,Leptospermum,2018-11-12,Yes,"Leptospermum ","<a href='http://savage.net.au/Flowers/Leptospermum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Leptospermum.0.jpg' alt = ""Leptospermum ""></a>",1.5-2m
"A type of myrtle","Tea Tree 1",,Tree,,,,,Leptospermum.obovatum.anisophyllea,2018-11-12,Yes,"Leptospermum obovatum anisophyllea","<a href='http://savage.net.au/Flowers/Leptospermum.obovatum.anisophyllea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Leptospermum.obovatum.anisophyllea.0.jpg' alt = ""Leptospermum obovatum anisophyllea""></a>",
,"Spring Snowflake",,Plant,,,,,Leucojum.vernum,2018-11-12,Yes,"Leucojum vernum","<a href='http://savage.net.au/Flowers/Leucojum.vernum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Leucojum.vernum.0.jpg' alt = ""Leucojum vernum""></a>",
,Lovage,2m,Plant,,,,,,2018-11-12,Yes,"Levisticum officinale","<a href='http://savage.net.au/Flowers/Levisticum.officinale.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Levisticum.officinale.0.jpg' alt = ""Levisticum officinale""></a>",1.5m
"Asiatic Matisse Lily, Oriental Lily",Lily,,Plant,,,,,Lilium,2018-11-12,Yes,Lilium,"<a href='http://savage.net.au/Flowers/Lilium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lilium.0.jpg' alt = ""Lilium""></a>",
"'Perennial Statice'","Perezii Blue",,Plant,,,,,Limonium.perezii,2018-11-12,Yes,"Limonium perezii","<a href='http://savage.net.au/Flowers/Limonium.perezii.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Limonium.perezii.0.jpg' alt = ""Limonium perezii""></a>",
,"Big Blue Lilyturf",,Plant,,,,,Liriope.muscari,2018-11-12,Yes,"Liriope muscari","<a href='http://savage.net.au/Flowers/Liriope.muscari.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Liriope.muscari.0.jpg' alt = ""Liriope muscari""></a>",
,LittleLime,,Plant,,,,,,2018-12-16,,"Lomandra longifolia x confertifolia ssp. pallida","<a href='http://savage.net.au/Flowers/Lomandra.longifolia.x.confertifolia.ssp.pallida.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lomandra.longifolia.x.confertifolia.ssp.pallida.0.jpg' alt = ""Lomandra longifolia x confertifolia ssp. pallida""></a>",
"Common honeysuckle, European honeysuckle, Woodbine",Honeysuckle,,Plant,,,,,Lonicera.periclymenum,2018-11-12,Yes,"Lonicera periclymenum","<a href='http://savage.net.au/Flowers/Lonicera.periclymenum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lonicera.periclymenum.0.jpg' alt = ""Lonicera periclymenum""></a>",
"Chinese fringe flower, 'Purple Prince'","Chinese witch hazel",50cm,Plant,50,,50,,Loropetalum.chinense,2018-11-12,Yes,"Loropetalum chinense","<a href='http://savage.net.au/Flowers/Loropetalum.chinense.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Loropetalum.chinense.0.jpg' alt = ""Loropetalum chinense""></a>",
"Chinese witch hazel, 'China Pink'","Chinese fringe flower",,Plant,,,,,Loropetalum.chinense.var.rubrum,2018-11-12,Yes,"Loropetalum chinense var. rubrum","<a href='http://savage.net.au/Flowers/Loropetalum.chinense.var.rubrum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Loropetalum.chinense.var.rubrum.0.jpg' alt = ""Loropetalum chinense var. rubrum""></a>",
"Annual honesty",Honesty,,Plant,,,,,Lunaria.annua,2018-11-12,Yes,"Lunaria annua","<a href='http://savage.net.au/Flowers/Lunaria.annua.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lunaria.annua.0.jpg' alt = ""Lunaria annua""></a>",
,"Goji Berry Plant",3m,Plant,300,100,300,100,Lycium.barbarum,2018-11-12,Yes,"Lycium barbarum","<a href='http://savage.net.au/Flowers/Lycium.barbarum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Lycium.barbarum.0.jpg' alt = ""Lycium barbarum""></a>",1m
,"Pine Golden Pippin",,Tree,,,,,Malus.domestica.pine.golden.pippin,2018-11-12,Yes,"Malus domestica 'Pine Golden Pippin'","<a href='http://savage.net.au/Flowers/Malus.domestica.pine.golden.pippin.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pine.golden.pippin.0.jpg' alt = ""Malus domestica 'Pine Golden Pippin'""></a>",
,"Pitmaston Pine",,Tree,,,,,Malus.domestica.pitmaston.pine,2018-11-12,Yes,"Malus domestica 'Pitmaston Pine'","<a href='http://savage.net.au/Flowers/Malus.domestica.pitmaston.pine.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pitmaston.pine.0.jpg' alt = ""Malus domestica 'Pitmaston Pine'""></a>",
,"Apple 3",8m,Tree,800,700,800,700,Malus.domestica.3,2018-11-12,Yes,"Malus domestica 3","<a href='http://savage.net.au/Flowers/Malus.domestica.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.3.0.jpg' alt = ""Malus domestica 3""></a>",7m
,Harmony,3m,Tree,300,60,300,60,Malus.domestica.harmony,2018-11-12,Yes,"Malus domestica Harmony","<a href='http://savage.net.au/Flowers/Malus.domestica.harmony.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.harmony.0.jpg' alt = ""Malus domestica Harmony""></a>",60cm
,Leprechaun,2m,Tree,200,100,200,100,Malus.domestica.leprechaun,2018-11-12,Yes,"Malus domestica Leprechaun","<a href='http://savage.net.au/Flowers/Malus.domestica.leprechaun.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.leprechaun.0.jpg' alt = ""Malus domestica Leprechaun""></a>",1m
,Pinkabelle®,2m,Tree,200,100,200,100,Malus.domestica.pinkabelle,2018-11-12,Yes,"Malus domestica Pinkabelle®","<a href='http://savage.net.au/Flowers/Malus.domestica.pinkabelle.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pinkabelle.0.jpg' alt = ""Malus domestica Pinkabelle®""></a>",1m
,Pom-for-You,3m,Tree,300,60,300,60,Malus.domestica.pom-for-you,2018-11-12,Yes,"Malus domestica Pom-for-You","<a href='http://savage.net.au/Flowers/Malus.domestica.pom-for-you.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pom-for-you.0.jpg' alt = ""Malus domestica Pom-for-You""></a>",60cm
,Pompink,3m,Tree,300,60,300,60,Malus.domestica.pompink,2018-11-12,Yes,"Malus domestica Pompink","<a href='http://savage.net.au/Flowers/Malus.domestica.pompink.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Malus.domestica.pompink.0.jpg' alt = ""Malus domestica Pompink""></a>",60cm
,"Aloha Dark Red",,Plant,,,,,Mandevilla.hybrid,2018-11-12,Yes,"Mandevilla hybrid","<a href='http://savage.net.au/Flowers/Mandevilla.hybrid.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mandevilla.hybrid.1.0.jpg' alt = ""Mandevilla hybrid 1""></a>",
,"Aloha Regal Ruby",,Plant,,,,,Mandevilla.hybrid,2018-11-12,Yes,"Mandevilla hybrid","<a href='http://savage.net.au/Flowers/Mandevilla.hybrid.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mandevilla.hybrid.2.0.jpg' alt = ""Mandevilla hybrid 2""></a>",
,"Chilean Jasmine",,Plant,,,,,Mandevilla.laxa,2018-11-12,Yes,"Mandevilla laxa","<a href='http://savage.net.au/Flowers/Mandevilla.laxa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mandevilla.laxa.0.jpg' alt = ""Mandevilla laxa""></a>",
"Common mint, garden mint, lamb mint, mackerel mint, Mentha spicata 'Moroccan', Mentha spicata 'Nana', Mentha viridis",Spearmint,45cm,Herb,45,100,45,100,Mentha.spicata,2018-11-12,Yes,"Mentha spicata","<a href='http://savage.net.au/Flowers/Mentha.spicata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Mentha.spicata.0.jpg' alt = ""Mentha spicata""></a>",1m
"Balazo, Ceriman",Monstera,,Plant,,,,,Monstera.deliciosa,2018-11-12,Yes,"Monstera deliciosa","<a href='http://savage.net.au/Flowers/Monstera.deliciosa.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Monstera.deliciosa.0.jpg' alt = ""Monstera deliciosa""></a>",
"Nandina, Sacred bamboo","Heavenly Bamboo",,Plant,,,,,Nandina.domestica,2018-11-12,Yes,"Nandina domestica","<a href='http://savage.net.au/Flowers/Nandina.domestica.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Nandina.domestica.0.jpg' alt = ""Nandina domestica""></a>",
Paperwhite,Narcissus,,Plant,,,,,Narcissus.papyraceus,2018-11-12,Yes,"Narcissus papyraceus","<a href='http://savage.net.au/Flowers/Narcissus.papyraceus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Narcissus.papyraceus.0.jpg' alt = ""Narcissus papyraceus""></a>",
"'Blue Wonder'",Nierembergia,30cm,Plant,30,30,30,30,Nierembergia,2018-11-12,Yes,Nierembergia,"<a href='http://savage.net.au/Flowers/Nierembergia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Nierembergia.0.jpg' alt = ""Nierembergia""></a>",30cm
"Great Basil, king of herbs, royal herb, Saint-Joseph's-wort, Sweet Scented Basil","Genovese Basil",45cm,Herb,45,20,45,20,Ocimum.basilicum,2018-11-12,Yes,"Ocimum basilicum","<a href='http://savage.net.au/Flowers/Ocimum.basilicum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ocimum.basilicum.0.jpg' alt = ""Ocimum basilicum""></a>",20cm
"Holy Basil, Ocimum sp., perennial basil, tulasi, thulasi, tulsi","African Basil",1m,Herb,100,30,100,30,Ocimum.kilimandscharicum.x.basilicum.dark.opal,2018-11-12,Yes,"Ocimum kilimandscharicum x basilicum 'Dark Opal'","<a href='http://savage.net.au/Flowers/Ocimum.kilimandscharicum.x.basilicum.dark.opal.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ocimum.kilimandscharicum.x.basilicum.dark.opal.0.jpg' alt = ""Ocimum kilimandscharicum x basilicum 'Dark Opal'""></a>",30cm
"Indian Feather, Lindheimer's Beeblossom, Lindheimer's Clockweed, Pink Gaura","White Gaura",,Plant,,,,,Oenothera.lindheimeri,2018-11-12,Yes,"Oenothera lindheimeri","<a href='http://savage.net.au/Flowers/Oenothera.lindheimeri.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Oenothera.lindheimeri.0.jpg' alt = ""Oenothera lindheimeri""></a>",
"Wild marjoram (not sweet marjoram)",Oregano,80cm,Herb,80,,80,,Origanum.vulgare,2018-11-12,Yes,"Origanum vulgare","<a href='http://savage.net.au/Flowers/Origanum.vulgare.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Origanum.vulgare.0.jpg' alt = ""Origanum vulgare""></a>",
"Blue-and-white daisy bush, Cape marguerite, Star of the veldt, Sundays river daisy, Van Staden's river daisy, White daisy bush","Zion Red",,Plant,,,,,Osteospermum.ecklonis,2018-11-12,Yes,"Osteospermum ecklonis","<a href='http://savage.net.au/Flowers/Osteospermum.ecklonis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Osteospermum.ecklonis.0.jpg' alt = ""Osteospermum ecklonis""></a>",
,"Rice Flower 'Cosmic'",,Plant,,,,,Ozothamnus,2018-11-12,Yes,Ozothamnus,"<a href='http://savage.net.au/Flowers/Ozothamnus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ozothamnus.0.jpg' alt = ""Ozothamnus""></a>",
,Pelargonium,,Plant,,,,,Pelargonium,2018-11-12,Yes,Pelargonium,"<a href='http://savage.net.au/Flowers/Pelargonium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pelargonium.0.jpg' alt = ""Pelargonium""></a>",
"Crimson fountaingrass","Fountain Grass",,Plant,,,,,Pennisetum.setaceum,2018-11-12,Yes,"Pennisetum setaceum","<a href='http://savage.net.au/Flowers/Pennisetum.setaceum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pennisetum.setaceum.0.jpg' alt = ""Pennisetum setaceum""></a>",
Beardtongues,Firebird,60cm,Plant,60,40,60,40,Penstemon.cv,2018-11-12,Yes,"Penstemon cv","<a href='http://savage.net.au/Flowers/Penstemon.cv.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Penstemon.cv.0.jpg' alt = ""Penstemon cv""></a>",40cm
,"Himalayan Knotweed",,Plant,,,,,Persicaria.affinis,2018-11-12,Yes,"Persicaria affinis","<a href='http://savage.net.au/Flowers/Persicaria.affinis.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Persicaria.affinis.0.jpg' alt = ""Persicaria affinis""></a>",
"Cambodian mint, hot mint, laksa leaf, praew leaf, Vietnamese cilantro, Vietnamese coriander","Vietnamese Mint",90cm,Herb,90,30,90,30,Persicaria.odarata,2018-11-12,Yes,"Persicaria odarata","<a href='http://savage.net.au/Flowers/Persicaria.odarata.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Persicaria.odarata.0.jpg' alt = ""Persicaria odarata""></a>",30cm
"Garden parsley",Parsley,,Herb,,,,,Petroselinum.crispum,2018-11-12,Yes,"Petroselinum crispum","<a href='http://savage.net.au/Flowers/Petroselinum.crispum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Petroselinum.crispum.0.jpg' alt = ""Petroselinum crispum""></a>",
,"Mexican Mock Orange",,Plant,,,,,Philadelphus.mexicanus,2018-11-12,Yes,"Philadelphus mexicanus","<a href='http://savage.net.au/Flowers/Philadelphus.mexicanus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Philadelphus.mexicanus.0.jpg' alt = ""Philadelphus mexicanus""></a>",
,"Long-leaf Wax Flower",,Tree,,,,,Philotheca.myoporoides,2018-11-12,Yes,"Philotheca myoporoides","<a href='http://savage.net.au/Flowers/Philotheca.myoporoides.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Philotheca.myoporoides.0.jpg' alt = ""Philotheca myoporoides""></a>",
,"Border Red",40cm,Plant,,,,,,2018-11-12,Yes,"Phormium tenax","<a href='http://savage.net.au/Flowers/Phormium.tenax.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Phormium.tenax.0.jpg' alt = ""Phormium tenax""></a>",40cm
,"Pale Pink Rice Flower",60cm,Plant,60,30,60,30,Pimelea.rosea,2018-11-12,Yes,"Pimelea rosea","<a href='http://savage.net.au/Flowers/Pimelea.rosea.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Pimelea.rosea.0.jpg' alt = ""Pimelea rosea""></a>",30cm
"Coleus canina",Dogsbane,,Plant,,,,,,2018-11-12,Yes,"Plectranthus caninus","<a href='http://savage.net.au/Flowers/Plectranthus.caninus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.caninus.0.jpg' alt = ""Plectranthus caninus""></a>",
,"Plectranthus ecklonii 1",1.5m,Plant,150,150,150,150,Plectranthus.ecklonii.1,2018-11-12,Yes,"Plectranthus ecklonii","<a href='http://savage.net.au/Flowers/Plectranthus.ecklonii.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.ecklonii.1.0.jpg' alt = ""Plectranthus ecklonii 1""></a>",1.5m
'Alba',"Plectranthus ecklonii 2",1m,Plant,100,100,100,100,Plectranthus.ecklonii.2,2018-11-12,Yes,"Plectranthus ecklonii","<a href='http://savage.net.au/Flowers/Plectranthus.ecklonii.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.ecklonii.2.0.jpg' alt = ""Plectranthus ecklonii 2""></a>",1m
,"Plectranthus saccatus",1.5m,Plant,150,200,150,200,Plectranthus.saccatus,2018-11-12,Yes,"Plectranthus saccatus","<a href='http://savage.net.au/Flowers/Plectranthus.saccatus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Plectranthus.saccatus.0.jpg' alt = ""Plectranthus saccatus""></a>",2m
"Dwarf jade plant, Porkbush, Spekboom","Elephant bush",,Plant,,,,,Portulacaria.afra,2018-11-12,Yes,"Portulacaria afra","<a href='http://savage.net.au/Flowers/Portulacaria.afra.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Portulacaria.afra.0.jpg' alt = ""Portulacaria afra""></a>",
,"Spiked mint-bush",1.5m,Plant,150,100,150,100,Prostanthera.phylicifolia,2018-11-12,Yes,"Prostanthera phylicifolia","<a href='http://savage.net.au/Flowers/Prostanthera.phylicifolia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Prostanthera.phylicifolia.0.jpg' alt = ""Prostanthera phylicifolia""></a>",1m
,"Moorpark Apricot",1.8-2.0m,Tree,,,,,,2018-11-12,Yes,"Prunus armeniaca","<a href='http://savage.net.au/Flowers/Prunus.armeniaca.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Prunus.armeniaca.0.jpg' alt = ""Prunus armeniaca""></a>",1.5-2m
,"Trixie® Nectarine",,Tree,,,,,,2018-11-12,,"Prunus persica 'Nectazee'","<a href='http://savage.net.au/Flowers/Prunus.persica.nectazee.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Prunus.persica.nectazee.0.jpg' alt = ""Prunus persica 'Nectazee'""></a>",
Phoenix,"Ptilotus exultatus",,Plant,,,,,,2018-11-26,,"Ptilotus exultatus","<a href='http://savage.net.au/Flowers/Ptilotus.exultatus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Ptilotus.exultatus.0.jpg' alt = ""Ptilotus exultatus""></a>",
