aliases,common_name,height,kind,max_height,max_width,min_height,min_width,pig_latin,planted,publish,scientific_name,thumbnail,width
,Columbine,,Plant,,,,,Aquilegia.mckana,2018-11-12,Yes,"Aquilegia McKana","<a href='http://savage.net.au/Flowers/Aquilegia.mckana.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Aquilegia.mckana.0.jpg' alt = ""Aquilegia McKana""></a>",
Columbine,"Granny's Bonnet",,Plant,,,,,Aquilegia.flabellata.var.pumila.alba,2018-11-12,Yes,"Aquilegia flabellata var. pumila alba","<a href='http://savage.net.au/Flowers/Aquilegia.flabellata.var.pumila.alba.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Aquilegia.flabellata.var.pumila.alba.0.jpg' alt = ""Aquilegia flabellata var. pumila alba""></a>",
"Common yarrow",Yarrow,0.6m,Herb,60,60,60,60,Archillea.millifolium,2018-11-12,Yes,"Archillea millifolium","<a href='http://savage.net.au/Flowers/Archillea.millifolium.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Archillea.millifolium.0.jpg' alt = ""Archillea millifolium""></a>",0.6m
"'Powis Castle'",Wormwood,70cm,Plant,70,70,70,70,Artemisia,2018-11-12,Yes,Artemisia,"<a href='http://savage.net.au/Flowers/Artemisia.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Artemisia.0.jpg' alt = ""Artemisia""></a>",70cm
"Chrysanthemum weed, common wormwood, felon herb, naughty man, old man, old Uncle Henry, riverside wormwood, sailor's tobacco, St. John's plant",Mugwort,1.2m,Herb,120,150,120,150,Artemisia.vulgaris,2018-11-12,Yes,"Artemisia vulgaris","<a href='http://savage.net.au/Flowers/Artemisia.vulgaris.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Artemisia.vulgaris.0.jpg' alt = ""Artemisia vulgaris""></a>",1.5m
"Italian arum, Italian lords-and-ladies","Arum italicum",46cm,Plant,46,46,46,46,Arum.italicum,2018-11-12,Yes,"Arum italicum","<a href='http://savage.net.au/Flowers/Arum.italicum.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Arum.italicum.0.jpg' alt = ""Arum italicum""></a>",46cm
"Common Asparagus Fern, Climbing Asparagus, Ferny Asparagus, Lace Fern","Asparagus Fern",,Plant,,,,,Asparagus.setaceus,2018-11-12,Yes,"Asparagus setaceus","<a href='http://savage.net.au/Flowers/Asparagus.setaceus.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Asparagus.setaceus.0.jpg' alt = ""Asparagus setaceus""></a>",
,"Azalea 2",,Plant,,,,,Azalea.2,2018-11-12,Yes,Azalea,"<a href='http://savage.net.au/Flowers/Azalea.2.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Azalea.2.0.jpg' alt = ""Azalea 2""></a>",
,"Azalea 3",,Plant,,,,,Azalea.3,2018-11-12,Yes,Azalea,"<a href='http://savage.net.au/Flowers/Azalea.3.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Azalea.3.0.jpg' alt = ""Azalea 3""></a>",
,"Rosa Belton",,Plant,,,,,Azalea.1,2018-11-12,Yes,Azalea,"<a href='http://savage.net.au/Flowers/Azalea.1.html' target = '_blank'><img src='http://savage.net.au/Flowers/images/Azalea.1.0.jpg' alt = ""Rosa Belton""></a>",
