common_name,note
"Butterfly Iris","Flowering: 2011-11-14, in Apring (Melbourne, Victoria, Australia)"
"Butterfly Iris","The flowers are not aromatic"
Camellia,"Status: Defunct"
Celosia,"Status: Defunct"
"Chilean Jasmine","It's a vine"
"Chilean Jasmine","Flowering: 2011-11-14, in the Spring (Melbourne, Victoria, Australia)"
"Chilean Jasmine","It is still flowering strongly 2012-03-19"
"Chilean Jasmine","The flowers have a lovely aroma"
"Chilean Jasmine","Pruning: Prune back after flowering"
"Chilean Jasmine","Feeding: No"
"Chinese fringe flower","Feeding: No"
"Chinese fringe flower","Pruning: No"
"Chinese Lantern","Flowering: Actually, Abutilon flowers almost every day of the year"
"Chinese Lantern","It's a tree"
"Chinese Lantern","The flowers are not aromatic"
"Chinese Lantern","The trunks are fawn-colored with a green tinge"
"Chinese Lantern","There can be several hose-like trunks emanating from the same base"
"Chinese Lantern","The plant has grown straight up thru a fig tree"
"Chinese Lantern","From base to tip-top it is 577cm = 227 inches = 18 feet 11 inches"
"Chinese Lantern","Pruning: Late winter"
"Chinese Lantern","Feeding: No"
"Chinese Lantern","Status: Defunct"
"Chinese witch hazel","Feeding: No"
"Chinese witch hazel","Pruning: No"
"Chives 1",Herb
"Chives 1","Chives are grown for their scapes and leaves, which are used for culinary purposes as a flavoring herb, and provide a somewhat milder flavor than those of other Allium species"
"Chives 2",Herb
"Chives 2","Edible, as is the other chives"
"Chocolate Lily","Tufted foliage to 30cm x 30cm with tall stems of chocolate scented mauve flowers from Spring to Summer"
"Chocolate Lily","Dies down late Summer to edible tubers"
"Chocolate Lily","Likes full sun to part shade and moist well-drained soils - drier in Summer"
"Chocolate Lily","And yes, it does smell like chocolate"
"Chocolate Lily","Supplier: <a href = 'http://www.kuranga.com.au/'>Kuranga Native Nursery</a>"
"Lisbon lemon","Replaced by sweet Meyer lemon"
"Lisbon lemon","See also <a href = '/Flowers/Tahiti.lime.html'>Tahiti Lime</a>"
"Lisbon lemon","See also <a href = '/Flowers/Washington.navel.orange.html'>Citrus 5</a>"
"Lisbon lemon","See also <a href = '/Flowers/Meyer.lemon.html'>Meyer Lemon</a>"
"Lisbon lemon","Status: Defunct"
"Meyer lemon","Pruning: No"
"Meyer lemon","Feeding: Use a complete fertilizer in late winter and late summer"
"Meyer lemon","See also <a href = '/Flowers/Lisbon.html'>Lisbon Lemon</a>"
"Meyer lemon","See also <a href = '/Flowers/Tahiti.lime.html'>Tahiti Lime</a>"
"Meyer lemon","See also <a href = '/Flowers/Washington.navel.orange.html'>Citrus 5</a>"
"Tahiti Lime","This is a dwarf, as is the Citrus 5"
"Tahiti Lime","Pruning: No"
"Tahiti Lime","Feeding: Use a complete fertilizer in late winter and late summer"
"Tahiti Lime","See also <a href = '/Flowers/Lisbon.lemon.html'>Lisbon Lemon</a>"
"Tahiti Lime","See also <a href = '/Flowers/Meyer.lemon.html'>Meyer Lemon</a>"
"Tahiti Lime","See also <a href = '/Flowers/Washington.navel.orange.html'>Citrus 5</a>"
"Washington Navel Orange","This is a dwarf, as is the Tahiti Lime"
