<U647D> \xB4\xB7 |1 # 摽->捶
<U8E5A> \xCC\xCB |1 # 蹚->趟
<U82A0> \xCE\xC4 |1 # 芠->文
<U83C8> \xC0\xAD |1 # 菈->拉
<U5570> \xC2\xDE |1 # 啰->罗
<U7AB8> \xCF\xA4 |1 # 窸->悉
<U66C8> \xCD\xAB |1 # 曈->瞳
<U4F77> \xBA\xDC |1 # 佷->很
<U501E> \xBE\xA2 |1 # 倞->劲
<U5051> \xC5\xE5 |1 # 偑->佩
<U8A51> \xB2\xEF |1 # 詑->诧
<U5B1B> \xBB\xB7 |1 # 嬛->环
<U8125> \xBC\xD5 |1 # 脥->颊
<U5D4E> \xD3\xE7 |1 # 嵎->隅
<U5F67> \xBB\xF2 |1 # 彧->或
<U8E3C> \xCC\xDF |1 # 踼->踢
<U91D0> \xC0\xE5 |1 # 釐->厘
<U8429> \xE9\xB1 |1 # 萩->楸
<U58AC> \xD7\xB9 |1 # 墬->坠
<U65E1> \xE0\xC3 |1 # 旡->嗝
<U8447> \xC8\xE1 |1 # 葇->柔
<U6498> \xB4\xEE |1 # 撘->搭
<U7987> \xF1\xD2 |1 # 禇->褚
<U98CF> \xD1\xEF |1 # 飏->扬
<U73A6> \xBE\xF6 |1 # 玦->决
<U90D5> \xB3\xC9 |1 # 郕->成
<U54CB> \xC3\xC7 |1 # 哋->们
<U6E45> \xC1\xB7 |1 # 湅->练
<U83F3> \xDC\xCB |1 # 菳->芩
<U8598> \xB4\xEF |1 # 薘->达
<U5906> \xB7\xE6 |1 # 夆->锋
<U67BA> \xC4\xA8 |1 # 枺->抹
<U8EB9> \xBE\xCF |1 # 躹->鞠
<U8893> \xD7\xE6 |1 # 袓->祖
<U547F> \xC8\xA5 |1 # 呿->去
<U8242> \xB7\xE6 |1 # 艂->锋
<U633B> \xCD\xA6 |1 # 挻->挺
<U5ECC> \xF5\xF4 |1 # 廌->豸
<U59FD> \xB9\xEE |1 # 姽->诡
