vtr,5.82,Sep 17,2.01
vist,6.62,Jun 27,0.60
wpc,10.42,Sep 26,2.21
wdr,5.20,Oct  1,0.74
wfsl,5.44,Oct  1,0.84
wash,4.72,Sep 26,1.02
wfc,4.05,Aug  6,1.27
wsbc,4.52,Sep 10,1.11
wy,6.86,Jul 30,2.40
wtny,7.30,Sep 11,1.22
wmz,3.88,Aug  5,0.53
wl,5.40,Jul 30,1.36
wgo,10.21,Sep  3,0.48
wwe,9.30,Sep 11,1.32
wor,6.10,Sep 11,0.68
xel,5.51,Sep 23,0.94
yavy,3.83,Oct  1,0.52
line,15.23,Aug  5,2.46
lnc,8.07,Oct  8,1.66
agn,0.56,Aug 13,0.20
shpgy,0.68,Sep 10,0.26
luv,0.17,Aug 26,0.02
skyw,0.93,Sep 26,0.12
lfl,7.37,Aug 12,0.66
cpa,1.60,May 28,0.37
osg,3.85,Aug  4,1.38
ssw,17.31,Aug  4,1.87
free,24.44,Aug 18,0.55
onav,34.13,Aug 14,2.00
gm,12.30,May 14,0.75
wso,4.94,Oct 10,1.75
ccj,1.60,Sep 26,0.23
teva,1.22,Aug  1,0.49
tdw,2.20,Sep  3,0.80
amtd,0.00,25-Jan-06,0.00
chg,5.31,Oct  8,2.16
pfe,7.31,Aug  6,1.25
stm,2.23,Aug 18,0.18
bmy,6.87,Oct  1,1.24
cat,4.41,Oct 16,1.56
cnp,6.67,Aug 13,0.72
cwt,3.61,Jul 31,1.17
cms,3.13,Aug  6,0.32
arkr,11.47,Oct 22,1.76
wsm,4.55,Oct 23,0.47
bhlb,2.60,Jul 29,0.62
znt,6.34,Jul 29,2.00
txn,2.34,Jul 29,0.40
abcw,12.85,Jul 30,0.64
apsg,2.91,Jul 30,0.50
bmo,8.00,Jul 30,2.81
wbs,7.00,Jul 31,1.20
wmk,3.94,Jul 31,1.16
wes,1.11,Jul 30,0.16
ed,5.71,Aug 11,2.33
wab,0.09,Aug 13,0.04
cnsl,15.28,Oct 10,1.55
clx,2.96,Jul 24,1.66
chco,3.54,Oct 10,1.33
bni,1.67,Sep  8,1.36
unp,1.60,Aug 27,0.93
pwx,1.13,Aug  7,0.16
nsc,2.13,Jul 30,1.16
cni,2.20,Sep  5,0.90
cp,2.56,Sep 24,0.95
gbx,3.60,Jul 21,0.32
prpx,3.88,Sep 18,0.24
gsh,3.27,May 21,0.57
rail,1.21,Aug 20,0.24
swwc,2.78,Sep 26,0.24
ctws,3.79,Aug 28,0.88
hoo,2.28,Sep 22,0.18
myl,0.00,27-Jun-07,0.00
bax,1.45,Sep  8,0.87
vitl,0.57,Aug 19,0.42
cov,1.49,Oct  7,0.64
bdx,1.63,Sep  5,1.14
jbht,1.53,Jul 30,0.39
ffex,2.60,Sep  4,0.12
wern,1.16,Oct  2,0.20
abfs,2.21,Aug  1,0.60
cnw,1.22,Aug  8,0.40
fwrd,1.36,Aug 20,0.28
htld,0.60,Sep 17,0.08
lstr,0.48,Aug  7,0.15
mgm,0.00, 8-Feb-01,0.00
mrx,1.28,Sep 29,0.15
cbkn,3.98,Oct  8,0.32
sny,5.19,May 16,1.51
acet,3.07,Jun 12,0.25
cop,3.53,Jul 29,1.82
azn,4.95,Aug  6,1.90
gsk,5.92,Jul 30,2.20
wye,3.37,Aug 11,1.12
uhs,0.80,Aug 28,0.32
mot,3.93,Sep 11,0.20
glw,1.80,Aug 27,0.20
mrk,5.27,Sep  3,1.52
jnj,2.80,Aug 22,1.75
altr,1.10,Aug  7,0.18
cpb,2.46,Oct  2,0.91
syy,3.66,Oct  1,0.88
aap,0.88,Sep 17,0.24
bdn,22.45,Oct  1,1.76
bre,6.85,Sep 11,2.23
bbep,14.90,Aug  7,1.92
eat,5.07,Sep 10,0.44
bkbk,5.74,Aug 27,0.72
bkd,17.34,Oct  8,1.25
bgh,6.78,Aug  6,1.16
bpl,9.45,Aug  6,3.38
cffi,6.53,Sep 11,1.24
cbt,3.03,Aug 27,0.72
clmt,15.49,Jul 31,2.16
cm,7.79,Sep 25,3.44
ccbg,2.86,Sep  4,0.74
cof,3.23,Aug  7,1.15
cse,27.25,Sep 15,1.85
ccl,5.86,Aug 20,1.60
ctr,5.30,Sep 11,0.66
cbl,27.91,Sep 26,2.18
cbrl,4.34,Oct 15,0.74
fun,11.60,Aug  1,1.91
cvbk,7.93,Aug 28,0.69
ctl,2.90,Sep  5,0.90
chfc,4.70,Sep  3,1.17
cpk,3.99,Sep 11,1.20
cim,22.41,Sep 16,0.60
chh,3.17,Oct  1,0.69
cbk,6.25,Sep 18,0.24
cb,2.74,Sep 17,1.28
cnk,8.12,Aug 21,0.72
cizn,4.11,Sep 11,0.76
ctbk,14.20,Sep  3,1.60
cyn,4.31,Aug  4,1.90
cobz,2.90,Jul 31,0.28
ko,3.44,Sep 11,1.48
cgnx,2.64,Aug 27,0.41
cns,5.93,Sep  3,0.86
cban,3.93,Sep 26,0.39
colb,4.97,Aug  4,0.68
cma,10.09,Sep 11,2.62
cbsh,2.39,Sep 10,0.99
cpbk,6.94,Aug 20,0.60
ctbi,3.93,Sep 11,1.16
gass,8.89,Aug 27,0.75
ni,7.10,Jul 29,0.92
msex,4.57,Aug 13,0.70
nvs,2.97,26-Feb-08,1.47
pnnw,3.12,Aug 13,0.66
nu,3.81,Aug 27,0.81
pnm,9.26,Aug 19,0.81
psd,4.50,Oct 17,1.00
kwr,5.43,Oct 15,0.91
cag,4.34,Jul 30,0.76
ceg,7.87,Sep  8,1.87
