BT-103;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeAllowanceCharge.[0].CategoryTradeTax.RateApplicablePercent
BT-102-0;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeAllowanceCharge.[0].CategoryTradeTax.TypeCode
BG-21-1;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeAllowanceCharge.[0].ChargeIndicator.Indicator
BT-104;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeAllowanceCharge.[0].Reason
BT-20;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradePaymentTerms.Description
BT-9;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradePaymentTerms.DueDateDateTime.DateTimeString._
BT-9-0;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradePaymentTerms.DueDateDateTime.DateTimeString.format
BT-107;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.AllowanceTotalAmount._
BT-108;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.ChargeTotalAmount._
BT-115;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.DuePayableAmount._
BT-112;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.GrandTotalAmount._
BT-106;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.LineTotalAmount._
BT-114;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.RoundingAmount._
BT-109;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.TaxBasisTotalAmount._
BT-110;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.TaxTotalAmount.[0]._
BT-110-0;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.TaxTotalAmount.[0].currencyID
BT-113;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementHeaderMonetarySummation.TotalPrepaidAmount._
BT-82;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementPaymentMeans.[0].Information
BT-84;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementPaymentMeans.[0].PayeePartyCreditorFinancialAccount.IBANID._
BT-86;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementPaymentMeans.[0].PayeeSpecifiedCreditorFinancialInstitution.BICID._
BT-81;SupplyChainTradeTransaction.ApplicableHeaderTradeSettlement.SpecifiedTradeSettlementPaymentMeans.[0].TypeCode
BT-127;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].AssociatedDocumentLineDocument.IncludedNote.Content
BT-126;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].AssociatedDocumentLineDocument.LineID._
BT-148;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeAgreement.GrossPriceProductTradePrice.ChargeAmount._
BT-146;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeAgreement.NetPriceProductTradePrice.ChargeAmount._
BT-129;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeDelivery.BilledQuantity._
BT-130;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeDelivery.BilledQuantity.unitCode
BT-128;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.AdditionalReferencedDocument.IssuerAssignedID._
BT-128-1;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.AdditionalReferencedDocument.ReferenceTypeCode
BT-151;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.ApplicableTradeTax.CategoryCode
BT-152;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.ApplicableTradeTax.RateApplicablePercent
BT-151-0;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.ApplicableTradeTax.TypeCode
BT-135;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.BillingSpecifiedPeriod.EndDateTime.DateTimeString._
BT-135-0;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.BillingSpecifiedPeriod.EndDateTime.DateTimeString.format
BT-134;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.BillingSpecifiedPeriod.StartDateTime.DateTimeString._
BT-134-0;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.BillingSpecifiedPeriod.StartDateTime.DateTimeString.format
BT-131;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedLineTradeSettlement.SpecifiedTradeSettlementLineMonetarySummation.LineTotalAmount._
BT-153;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedTradeProduct.Name
BT-155;SupplyChainTradeTransaction.IncludedSupplyChainTradeLineItem.[0].SpecifiedTradeProduct.SellerAssignedID._
