謝る,772,772,1000,動詞,自立,*,*,五段・ラ行,基本形,謝る,謝る,謝る,詫びる
あやまる,772,772,1000,動詞,自立,*,*,五段・ラ行,基本形,あやまる,あやまる,あやまる,わびる
作る,772,772,1000,動詞,自立,*,*,五段・ラ行,基本形,作る,作る,作る,こしらえる
知れ,780,780,1000,動詞,自立,*,*,五段・ラ行,未然形,知れ,知れ,知れ,心得
わかれ,780,780,1000,動詞,自立,*,*,五段・ラ行,未然形,わかれ,わかれ,わかれ,心得
謝れ,780,780,1000,動詞,自立,*,*,五段・ラ行,未然形,謝れ,謝れ,謝れ,詫びれ
あやまれ,780,780,1000,動詞,自立,*,*,五段・ラ行,未然形,あやまれ,あやまれ,あやまれ,わびれ
しまっ,-1,-1,1000,動詞,自立,*,*,五段・ラ行,連用タ接続,しまっ,しまっ,しまっ,しもう
知っ,786,786,1000,動詞,自立,*,*,五段・ラ行,連用タ接続,知っ,知っ,知っ,心得
わかっ,786,786,1000,動詞,自立,*,*,五段・ラ行,連用タ接続,わかっ,わかっ,わかっ,心得
謝っ,786,786,1000,動詞,自立,*,*,五段・ラ行,連用タ接続,謝っ,謝っ,謝っ,詫び
あやまっ,786,786,1000,動詞,自立,*,*,五段・ラ行,連用タ接続,あやまっ,あやまっ,あやまっ,わび
知り,788,788,1000,動詞,自立,*,*,五段・ラ行,連用形,知り,知り,知り,心得
わかり,788,788,1000,動詞,自立,*,*,五段・ラ行,連用形,わかり,わかり,わかり,心得
謝り,788,788,1000,動詞,自立,*,*,五段・ラ行,連用形,謝り,謝り,謝り,詫び
あやまり,788,788,1000,動詞,自立,*,*,五段・ラ行,連用形,あやまり,あやまり,あやまり,わび
ください,797,797,1000,動詞,自立,*,*,五段・ラ行特殊,命令ｉ,ください,ください,ください,くだされ
下さい,797,797,1000,動詞,自立,*,*,五段・ラ行特殊,命令ｉ,下さい,下さい,下さい,くだされ
言え,815,815,1000,動詞,自立,*,*,五段・ワ行促音便,仮定形,言え,言え,言え,申せ
扱え,815,815,1000,動詞,自立,*,*,五段・ワ行促音便,仮定形,扱え,扱え,扱え,計らえ
