5954	GO:0005783 	 endoplasmic reticulum 
8396	GO:0005783 	 endoplasmic reticulum 
10857	GO:0005783 	 endoplasmic reticulum 
9867	GO:0005783 	 endoplasmic reticulum 
5355	GO:0005783 	 endoplasmic reticulum 
10456	GO:0005783 	 endoplasmic reticulum 
4043	GO:0005783 	 endoplasmic reticulum 
3710	GO:0005783 	 endoplasmic reticulum 
6238	GO:0005783 	 endoplasmic reticulum 
10961	GO:0005783 	 endoplasmic reticulum 
4714	GO:0005783 	 endoplasmic reticulum 
653566	GO:0005783 	 endoplasmic reticulum 
6721	GO:0005783 	 endoplasmic reticulum 
10423	GO:0005783 	 endoplasmic reticulum 
23478	GO:0005783 	 endoplasmic reticulum 
5621	GO:0005783 	 endoplasmic reticulum 
79073	GO:0005783 	 endoplasmic reticulum 
23471	GO:0005783 	 endoplasmic reticulum 
4259	GO:0005783 	 endoplasmic reticulum 
5955	GO:0005783 	 endoplasmic reticulum 
10598	GO:0005783 	 endoplasmic reticulum 
56681	GO:0005783 	 endoplasmic reticulum 
22883	GO:0005783 	 endoplasmic reticulum 
10483	GO:0005783 	 endoplasmic reticulum 
23463	GO:0005783 	 endoplasmic reticulum 
8733	GO:0005783 	 endoplasmic reticulum 
8720	GO:0005783 	 endoplasmic reticulum 
3638	GO:0005783 	 endoplasmic reticulum 
3460	GO:0005783 	 endoplasmic reticulum 
10175	GO:0005783 	 endoplasmic reticulum 
2181	GO:0005783 	 endoplasmic reticulum 
7163	GO:0005783 	 endoplasmic reticulum 
10280	GO:0005783 	 endoplasmic reticulum 
10299	GO:0005783 	 endoplasmic reticulum 
6446	GO:0005783 	 endoplasmic reticulum 
7157	GO:0005783 	 endoplasmic reticulum 
4725	GO:0005783 	 endoplasmic reticulum 
79022	GO:0005783 	 endoplasmic reticulum 
1717	GO:0005783 	 endoplasmic reticulum 
79888	GO:0005783 	 endoplasmic reticulum 
1727	GO:0005783 	 endoplasmic reticulum 
1634	GO:0005783 	 endoplasmic reticulum 
11231	GO:0005783 	 endoplasmic reticulum 
10519	GO:0005783 	 endoplasmic reticulum 
2180	GO:0005783 	 endoplasmic reticulum 
