Serial#,Sequence#,EventTag,Battery,Event_Time,Satellite_Time,Guardian_Time,Longitude,Latitude,Altitude,Speed,Heading,HDOP,Fix_Type,Digital_Prev,Digital_Curr,Analog_1,Scalar_1,Analog_2,Scalar_2,Analog_3,Scalar_3,User_Data_Len,User_Data_Hex,User_Data_ASCII,Translator
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-26 09:57:51,2007-04-26 09:57:42,16.91358,77.04618,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-26 09:22:42,2007-04-26 09:22:32,16.91384,77.04621,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 20:09:41,2007-04-25 20:09:31,16.91367,77.04614,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 19:52:34,2007-04-25 19:52:25,16.91326,77.04612,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 19:43:03,2007-04-25 19:42:55,16.91345,77.04611,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 19:27:17,2007-04-25 19:27:09,16.91367,77.04617,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 19:07:35,2007-04-25 19:07:26,16.91350,77.04614,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 18:39:58,2007-04-25 18:39:48,16.91363,77.04624,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 17:22:39,2007-04-25 17:22:30,16.91476,77.04391,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
"0306F00016","n/a","n/a","Good",unknown            ,2007-04-25 16:58:30,2007-04-25 16:58:22,16.92809,77.03292,,,,,,"0 0 0 0 0 0 0 0","0 0 0 0 0 0 0 0",0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0.0000000,0,"","","Tracer9.xml"
