release,date,author,status,maturity,version,first,distribution,abstract
Symdump-1.20,1995-08-16T14:12:18,ANDK,backpan,released,1.20,1,Symdump,"dump symbol names or the symbol table"
Text-Trie-0.2,1995-08-19T22:00:00,ILYAZ,backpan,released,0.2,1,Text-Trie,
MD5-1.1,1995-08-20T07:13:34,NWINT,backpan,released,1.1,,MD5,"Perl interface to the RSA Data Security Inc. MD5 Message-Digest Algorithm"
Ioctl-0.5,1995-08-20T07:26:09,KJALB,cpan,released,0.5,,Ioctl,"provide auto-configuration utilities"
FileKGlob,1995-08-20T07:27:16,TYEMQ,latest,released,0,1,FileKGlob,
Curses-a8,1995-08-20T07:27:27,WPS,cpan,released,0,1,Curses,"terminal screen handling and optimization"
Term-Info-1.0,1995-08-20T07:29:08,KJALB,cpan,released,1.0,1,Term-Info,
SGI-FM-0.1,1995-08-20T07:29:54,AMOSS,backpan,released,0.1,1,SGI-FM,
SGI-GL-0.2,1995-08-20T07:30:34,AMOSS,backpan,released,0.2,1,SGI-GL,
SGI-SysCalls-0.1,1995-08-20T07:31:05,AMOSS,backpan,released,0.1,1,SGI-SysCalls,
TclTk-b1,1995-08-20T09:19:39,MICB,cpan,released,0,1,TclTk,
Tcl-b1,1995-08-20T09:21:54,MICB,cpan,released,0,1,Tcl,"Tcl extension module for Perl"
Term-Gnuplot-0.2,1995-08-20T14:05:30,ILYAZ,backpan,released,0.2,1,Term-Gnuplot,"lowlevel graphics using gnuplot drawing routines."
perl_archie.1.5,1995-08-20T14:48:11,GBOSS,latest,released,1.5,1,perl_archie,"Perl module to make Archie queries via Prospero requests"
Sx-2.1,1995-08-20T15:38:05,FMC,backpan,released,2.1,1,Sx,"front-end to all the Athena and Xlib garbage for Perl GUI progamming"
InitializeServer-1.0,1995-08-20T17:19:41,JACKS,backpan,released,1.0,1,InitializeServer,
Prolog-alpha,1995-08-20T17:24:24,JACKS,backpan,released,0,1,Prolog-alpha,
AlarmCall-1.1,1995-08-20T20:07:36,JACKS,backpan,released,1.1,1,AlarmCall,"A package to handle the logic in timing out calls with alarm() and an ALRM handler, allowing nested calls as well."
CallerItem-1.0,1995-08-20T20:09:52,JACKS,backpan,released,1.0,1,CallerItem,"An object representing a function call from the stack of function calls."
Date-GetDate-0.01a,1995-08-20T20:16:23,GBARR,backpan,released,0.01,1,Date-GetDate,
DumpStack-1.1,1995-08-20T20:17:04,JACKS,backpan,released,1.1,1,DumpStack,"Access to the current stack of subroutine calls, and dumping the stack in a readable form. See also sigtrap."
IPC_SysV,1995-08-20T20:23:19,JACKS,backpan,released,0,1,IPC_SysV,"ipc defines, structure manipulators and functions"
MD5-1.2.1,1995-08-20T20:23:32,NWINT,backpan,released,v1.2.1,1,MD5,"Perl interface to the RSA Data Security Inc. MD5 Message-Digest Algorithm"
MsqlPerl-1.01,1995-08-20T20:29:33,ANDK,backpan,released,1.01,1,MsqlPerl,
Net-ext-a6,1995-08-20T20:30:48,SPIDB,backpan,released,0,1,Net-ext,"UDP sockets interface module"
StatisticsDescriptive-1.1,1995-08-20T20:33:57,JKAST,cpan,released,1.1,1,StatisticsDescriptive,"Module of basic descriptive statistical functions."
UNIVERSAL-1.0,1995-08-20T20:39:05,JACKS,backpan,released,1.0,1,UNIVERSAL,"default general behaviour for all objects."
Usage-beta,1995-08-20T20:39:18,JACKS,backpan,released,0,1,Usage-beta,
Des-perl-a1,1995-08-20T20:41:46,MICB,backpan,released,0,1,Des-perl,"Des extension module for Perl"
MsqlPerl-1.02,1995-08-21T20:51:50,ANDK,backpan,released,1.02,,MsqlPerl,
Tk-b8,1995-08-22T23:03:30,NI-S,backpan,released,0,1,Tk,"Locate directory of original perl script"
Safe-b1,1995-08-24T12:36:38,MICB,cpan,released,0,1,Safe,"Safe extension module for Perl"
perlvision,1995-08-27T05:29:01,AGUL,backpan,released,0,1,perlvision,
Filter-1.06,1995-08-28T07:50:10,PMQS,backpan,released,1.06,1,Filter,"decrypt source filter"
HTML-0.6,1995-08-29T08:51:46,GAND,latest,released,0.6,1,HTML,
perl5db-kit-0.8,1995-08-30T19:12:09,ILYAZ,backpan,released,0.8,1,perl5db-kit,
Roman-1.0,1995-09-01T07:57:16,OZAWA,cpan,released,1.0,1,Roman,"Perl module for conversion between Roman and Arabic numerals."
Stem-0.1,1995-09-01T19:40:57,IANPX,cpan,released,0.1,1,Stem,
Safe-b2,1995-09-01T21:17:14,MICB,cpan,released,0,1,Safe,"Safe extension module for Perl"
perl5db-kit-0.9,1995-09-09T08:14:24,ILYAZ,backpan,released,0.9,1,perl5db-kit,
ExtUtils-Peek-0.4,1995-09-13T04:32:00,ILYAZ,backpan,released,0.4,1,ExtUtils-Peek,"Shoot yourself in the foot. If you have gone that far, you do not need any documentation."
pg95perl5-1.1.1,1995-09-13T08:23:00,YVESP,backpan,released,v1.1.1,1,pg95perl5,
libwww-perl-5b5,1995-09-16T13:51:35,GAAS,backpan,released,5,1,libwww-perl,"Simple mirror utility for WWW"
xsubpp-1.922,1995-09-24T12:08:15,PMQS,backpan,released,1.922,1,xsubpp,"compiler to convert Perl XS code into C code"
etext0.4.7,1995-09-26T21:26:00,ILYAZ,backpan,released,v0.4.7,1,etext,"additional text widget subcommand for Tk distribution."
SNMP-1.5b,1995-09-26T23:00:00,GSM,backpan,released,1.5,1,SNMP,
EventDrivenServer-2.2,1995-09-28T08:20:38,JACKS,backpan,released,2.2,1,EventDrivenServer,"the all singing, all dancing server. Handles i/o driven clients, timer driven clients, and interrupt driven clients, all at the same time. Allows user defined events also. If there are any more types of clients, please tell me."
SelfStubber,1995-09-28T09:31:51,JACKS,backpan,released,0,1,SelfStubber,"generate stubs for a SelfLoading module"
SetDualVar-1.0,1995-09-28T17:48:59,KJALB,latest,released,1.0,1,SetDualVar,
Ptty-0.01,1995-09-28T18:00:13,NI-S,latest,released,0.01,1,Ptty,
OpenGL-0.2,1995-09-29T18:06:59,STANM,cpan,released,0.2,1,OpenGL,
TermReadKey-2.03,1995-09-29T18:08:39,KJALB,backpan,released,2.03,1,TermReadKey,"provide auto-configuration utilities"
HTML-QuickCheck-1.0b1,1995-10-01T11:20:25,YLU,cpan,released,1.0,1,HTML-QuickCheck,"a simple and fast HTML syntax checking package for perl 4 and perl 5"
MsqlPerl-1.03,1995-10-01T13:37:58,ANDK,backpan,released,1.03,,MsqlPerl,
MathPari_a3,1995-10-02T07:07:00,ILYAZ,backpan,released,3,1,MathPari_a,"Perl interface to PARI."
Storable-0.1,1995-10-02T10:50:02,RAM,backpan,released,0.1,,Storable,"persistency for perl data structures"
Term-Query-1.15,1995-10-02T18:13:13,AKSTE,backpan,released,1.15,1,Term-Query,
sybperl-2b3,1995-10-03T00:35:00,MEWP,backpan,released,2,1,sybperl,"Sybase extensions to Perl"
Parity-1.1,1995-10-03T22:24:32,WINKO,backpan,released,1.1,,Parity,
perl5db-kit-0.91,1995-10-07T21:30:00,ILYAZ,backpan,released,0.91,,perl5db-kit,
Religion-1.03,1995-10-09T02:52:25,KJALB,backpan,released,1.03,1,Religion,"Generate tracebacks and create and install die() and warn() handlers."
perl5db-kit-0.92,1995-10-09T06:36:00,ILYAZ,backpan,released,0.92,,perl5db-kit,
Quota-0.1a,1995-10-11T07:26:39,TOMZO,backpan,released,0.1,1,Quota,
TermReadKey-2.04,1995-10-11T12:11:19,KJALB,backpan,released,2.04,,TermReadKey,"provide auto-configuration utilities"
kit-2.0@34,1995-10-12T16:16:50,RAM,backpan,released,2.0,1,kit,
