release,date,author,status,maturity,version,first,distribution,abstract
Alias-2.0,1996-01-01T09:01:58,GSAR,backpan,released,2.0,,Alias,"declare symbolic aliases for perl data"
GetoptLong-2.0beta1,1996-01-01T09:13:41,JV,backpan,released,2.0,1,GetoptLong,"extended getopt processing"
Include-1.01a,1996-01-02T16:54:50,GBARR,backpan,released,1.01,1,Include,
Set-IntSpan-1.00,1996-01-02T18:52:13,SWMCD,backpan,released,1.00,1,Set-IntSpan,"Manages sets of integers"
LTU-2.5,1996-01-03T18:25:37,TOMFA,backpan,released,2.5,1,LTU,"An implementation of Linear Threshold Units"
Include-1.02a,1996-01-04T13:15:23,GBARR,backpan,released,1.02,,Include,"allow use #defines from C header files"
pg95perl5-1.2.0,1996-01-04T17:36:52,MERGL,cpan,released,v1.2.0,1,pg95perl5,
Penguin-1.0,1996-01-04T23:13:18,FSG,backpan,released,1.0,1,Penguin,"high level interface for mobile network code agents"
PGP-1.0,1996-01-04T23:13:33,FSG,backpan,released,1.0,1,PGP,"interfaces for signing and authenticating documents using PGP 2.6.2"
Log-Topics-0.02,1996-01-05T14:14:56,JARW,latest,released,0.02,1,Log-Topics,"control flow of logging messages"
sybperl-2.01,1996-01-05T15:40:35,MEWP,backpan,released,2.01,,sybperl,"Sybase extensions to Perl"
MakeMaker-5.16,1996-01-05T21:06:50,ANDK,backpan,released,5.16,,MakeMaker,"determine libraries to use and how to use them"
Math-VecStat-0.02,1996-01-06T11:12:34,JARW,backpan,released,0.02,1,Math-VecStat,"Some basic numeric stats on vectors"
Make-0.01,1996-01-08T10:29:39,NI-S,backpan,released,0.01,1,Make,"a perl 'make' replacement"
Set-IntegerFast-1.1,1996-01-08T15:51:38,STBEY,backpan,released,1.1,,Set-IntegerFast,
PGP-0.1alpha,1996-01-08T17:31:16,GEHIC,backpan,released,0.1,1,PGP,"perl module to work with PGP messages"
DBD-mSQL-0.60pl9,1996-01-11T12:56:00,ADESC,backpan,released,0.60,1,DBD-mSQL,
Screen-1.00,1996-01-13T08:48:23,MRKAE,cpan,released,1.00,1,Screen,
perlref-5.001.2,1996-01-13T18:44:11,JV,backpan,released,v5.001.2,,perlref,
FindBin-1.04,1996-01-17T17:37:07,GBARR,backpan,released,1.04,,FindBin,"Locate directory of original perl script"
MLDBM-1.10,1996-01-19T07:15:18,GSAR,backpan,released,1.10,1,MLDBM,"store multi-level hash structure in single level tied hash"
MakeMaker-5.17,1996-01-22T00:15:54,ANDK,backpan,released,5.17,1,MakeMaker,"utilities to write and check a MANIFEST file"
Devel-Symdump-1.21,1996-01-22T01:01:25,ANDK,backpan,released,1.21,1,Devel-Symdump,"dump symbol names or the symbol table"
Xbase-1.07,1996-01-24T21:54:06,PRATP,latest,released,1.07,1,Xbase,"Perl Module to Read Xbase DBF Files and Foxpro IDX indexes"
Text-Template-0.1b,1996-01-25T19:43:51,MJD,cpan,released,0.1,1,Text-Template,"Expand template text with embedded Perl"
Getopt-Mixed-1.006,1996-01-27T20:44:09,CJM,backpan,released,1.006,1,Getopt-Mixed,"getopt processing with both long and short options"
