MathMLGSL_PERLRNG_WITH_OC,MathMLGSL_PERLRNG_WO_OC,PDLGSL_PDLGSLUNIF_WITH_OC,PDLGSL_PDLGSLUNIF_WO_OC,PDLGSL_PDLUNIF_WITH_OC,PDLGSL_PDLUNIF_WO_OC,PDLGSL_PERLRNGPDL_WITH_OC,PDLGSL_PERLRNGPDL_WO_OC
0.651889,0.656741,0.050321,0.050783,0.045877,0.046178,0.155551,0.154330
0.656185,0.649873,0.051362,0.053600,0.046104,0.047420,0.154300,0.157057
0.653798,0.660113,0.050991,0.051394,0.047675,0.046264,0.156380,0.156912
0.647177,0.647656,0.052126,0.051791,0.046733,0.046368,0.156307,0.159992
0.656092,0.659062,0.050765,0.050587,0.048390,0.048012,0.154369,0.151431
0.653113,0.651750,0.050247,0.050165,0.047837,0.046531,0.150398,0.157393
0.653453,0.663456,0.050368,0.050820,0.046704,0.045761,0.154684,0.155369
0.663845,0.663451,0.052113,0.050596,0.047842,0.046685,0.154853,0.154051
0.649689,0.660233,0.051083,0.051283,0.046109,0.047088,0.155638,0.155214
0.653062,0.652840,0.050818,0.050209,0.047524,0.046471,0.153225,0.153972
0.650032,0.652080,0.051822,0.054420,0.052747,0.047141,0.157481,0.156977
0.680918,0.655700,0.051840,0.050550,0.046809,0.049066,0.155314,0.151383
0.655577,0.654495,0.050781,0.050467,0.046225,0.047784,0.154140,0.154479
0.649571,0.656010,0.050907,0.050952,0.045756,0.046274,0.154387,0.154745
0.668708,0.680185,0.050330,0.052088,0.047783,0.046888,0.157396,0.158764
0.651743,0.658048,0.056524,0.050823,0.047020,0.046620,0.150463,0.155797
0.662996,0.661756,0.050301,0.050608,0.046705,0.046401,0.154526,0.152791
0.655389,0.649852,0.052371,0.051232,0.047569,0.048063,0.152369,0.154398
0.661971,0.649899,0.050361,0.049870,0.046358,0.045818,0.152610,0.151182
0.648151,0.638684,0.050355,0.050101,0.046151,0.046085,0.154016,0.148531
0.647402,0.641067,0.050108,0.049685,0.045655,0.045650,0.149242,0.148312
0.639564,0.639667,0.050525,0.051313,0.046918,0.045472,0.148740,0.153822
0.644563,0.645556,0.050424,0.050540,0.045322,0.045583,0.149003,0.154361
0.639012,0.643901,0.049666,0.050284,0.045978,0.045320,0.148578,0.153646
0.650055,0.643308,0.050359,0.049704,0.046927,0.046245,0.153363,0.153901
0.641002,0.640309,0.050004,0.050351,0.046442,0.045414,0.149251,0.152366
0.640902,0.648648,0.050188,0.049822,0.046079,0.046349,0.153896,0.149272
0.642813,0.647838,0.049885,0.049804,0.046352,0.045514,0.151922,0.154224
0.642035,0.637625,0.050520,0.049834,0.046145,0.045398,0.152403,0.151308
0.639620,0.640601,0.050828,0.049859,0.045787,0.046273,0.153691,0.152376
0.642408,0.642568,0.050688,0.049876,0.045528,0.045114,0.151163,0.151761
0.637623,0.643391,0.050659,0.049922,0.045683,0.045582,0.152520,0.153226
0.643093,0.642441,0.049903,0.049818,0.046366,0.045625,0.150454,0.148592
0.644710,0.637689,0.049867,0.050267,0.046432,0.047660,0.153907,0.152840
0.649417,0.647901,0.051572,0.050289,0.046212,0.046167,0.152873,0.154012
0.643767,0.651337,0.049712,0.049915,0.046254,0.046276,0.151773,0.152862
0.645810,0.646988,0.049986,0.050064,0.045582,0.045203,0.152662,0.147639
0.638186,0.645842,0.050835,0.050560,0.045412,0.045707,0.149036,0.151876
0.643020,0.640623,0.050151,0.049726,0.045991,0.045294,0.150878,0.152207
0.643053,0.640949,0.049816,0.049685,0.045465,0.045329,0.153388,0.152171
0.640195,0.645500,0.050346,0.049347,0.046020,0.045326,0.150360,0.153340
0.678830,0.669376,0.051772,0.050663,0.045907,0.046089,0.155670,0.152120
0.658775,0.658342,0.050531,0.050534,0.045568,0.049412,0.151718,0.160275
0.662515,0.643249,0.049908,0.060568,0.053503,0.045724,0.149234,0.167427
0.671568,0.644906,0.051240,0.049759,0.046420,0.048030,0.150928,0.156027
0.641235,0.645135,0.050424,0.050886,0.045819,0.046979,0.154026,0.149125
0.643689,0.637952,0.051163,0.049686,0.046540,0.045663,0.149877,0.149150
0.641385,0.640905,0.049975,0.049734,0.045729,0.045906,0.149486,0.153778
0.641215,0.640217,0.050323,0.049970,0.046256,0.045618,0.153880,0.148690
0.641104,0.640518,0.050386,0.049611,0.045702,0.045459,0.154594,0.155595
0.641316,0.640201,0.050210,0.050131,0.046702,0.045007,0.149970,0.153850
0.641845,0.646251,0.049543,0.049979,0.045776,0.046086,0.153071,0.153224
0.644461,0.641561,0.050133,0.049560,0.045413,0.046697,0.149356,0.152547
0.641953,0.634658,0.051049,0.051235,0.045380,0.045778,0.152453,0.149664
0.639128,0.642923,0.049897,0.050662,0.045616,0.045689,0.154035,0.153670
0.641538,0.643236,0.050349,0.051659,0.046116,0.045614,0.154357,0.152389
0.644354,0.644450,0.051137,0.049652,0.045920,0.045076,0.152354,0.150335
0.640903,0.643189,0.050663,0.049831,0.046429,0.045230,0.154241,0.148790
0.644534,0.644424,0.050594,0.050029,0.045786,0.046306,0.150774,0.153695
0.644347,0.641349,0.050243,0.049243,0.046057,0.045207,0.154042,0.153675
0.644025,0.642082,0.051351,0.050033,0.045998,0.045978,0.153727,0.149213
0.644380,0.643593,0.050422,0.050198,0.045623,0.046783,0.154488,0.152322
0.643727,0.641563,0.051097,0.050044,0.045932,0.046005,0.153615,0.152261
0.642322,0.639900,0.051612,0.049525,0.045612,0.045568,0.152709,0.154600
0.641846,0.642471,0.051400,0.049961,0.046377,0.045334,0.153439,0.150860
0.644068,0.637948,0.050297,0.050290,0.046548,0.045767,0.149173,0.153410
0.643008,0.641305,0.050166,0.049645,0.047267,0.046879,0.153367,0.148762
0.643379,0.641761,0.050099,0.049937,0.046028,0.046256,0.154709,0.153929
0.641586,0.639792,0.050144,0.049754,0.045853,0.045753,0.152183,0.153011
0.645819,0.641088,0.050048,0.050720,0.045970,0.046081,0.149354,0.153764
0.640856,0.643583,0.050340,0.049586,0.045835,0.045710,0.153571,0.152202
0.642936,0.638064,0.050839,0.049948,0.046293,0.045687,0.153478,0.152533
0.641775,0.643596,0.050291,0.049706,0.045663,0.045629,0.153698,0.150051
0.641885,0.640507,0.049798,0.049403,0.046135,0.045773,0.152760,0.153122
0.639696,0.639664,0.049955,0.050746,0.045674,0.046337,0.152646,0.153069
0.640221,0.642249,0.050089,0.050499,0.045672,0.045220,0.150241,0.152984
0.641216,0.639972,0.049704,0.049636,0.045796,0.046300,0.153762,0.152649
0.644801,0.646012,0.050283,0.049119,0.045432,0.046109,0.153609,0.152450
0.637731,0.638246,0.050444,0.049411,0.045439,0.045133,0.151357,0.152122
0.637082,0.634829,0.049671,0.049667,0.045585,0.044769,0.152247,0.154539
0.642266,0.639447,0.050892,0.053482,0.047240,0.045183,0.155761,0.148602
0.646148,0.641842,0.050405,0.049650,0.045497,0.045683,0.153121,0.150108
0.643712,0.642494,0.050447,0.051716,0.045246,0.045613,0.154937,0.150502
0.649032,0.639968,0.050947,0.050228,0.045578,0.045085,0.154148,0.152850
0.639583,0.642885,0.050155,0.051094,0.045718,0.046268,0.153312,0.154074
0.646995,0.641330,0.054449,0.050400,0.048738,0.045325,0.152695,0.154613
0.645936,0.641716,0.050700,0.049758,0.045329,0.045879,0.152034,0.153694
0.642884,0.671907,0.050146,0.057629,0.045731,0.052449,0.162099,0.154023
0.638381,0.644132,0.049581,0.050907,0.046577,0.045632,0.149611,0.148832
0.641431,0.652245,0.049926,0.050238,0.046261,0.045692,0.153744,0.152613
0.642543,0.641084,0.050276,0.049497,0.046208,0.046769,0.152619,0.152223
0.638623,0.639142,0.050027,0.050150,0.046713,0.045709,0.152435,0.149004
0.640710,0.641541,0.050282,0.049914,0.046414,0.045944,0.152958,0.149216
0.641068,0.651668,0.049930,0.050831,0.048810,0.045130,0.153744,0.151058
0.646583,0.639951,0.049671,0.049552,0.046349,0.045415,0.149675,0.154319
0.644667,0.640343,0.050096,0.050314,0.045975,0.047032,0.155555,0.154084
0.642828,0.641960,0.051071,0.050316,0.045976,0.045379,0.154186,0.153227
0.652600,0.644373,0.054344,0.055531,0.050155,0.047449,0.156650,0.160749
0.642187,0.640523,0.049854,0.051510,0.046652,0.045008,0.149713,0.153271
0.641056,0.638260,0.050810,0.049757,0.046396,0.045239,0.149290,0.153217
0.640879,0.641250,0.051425,0.049276,0.045550,0.045581,0.152187,0.149369
0.641432,0.640160,0.050046,0.050022,0.045515,0.045822,0.152854,0.155617
0.641873,0.643625,0.050560,0.050725,0.045423,0.046570,0.149582,0.152986
0.643525,0.639782,0.050632,0.050731,0.045707,0.045490,0.153239,0.152605
0.643430,0.642917,0.050547,0.050221,0.045819,0.045912,0.153042,0.149043
0.642413,0.644288,0.051114,0.049943,0.046255,0.046555,0.152624,0.154509
0.641848,0.636549,0.049960,0.050497,0.045791,0.045735,0.150716,0.149669
0.643118,0.641113,0.050723,0.050938,0.045907,0.045316,0.153239,0.152278
0.639024,0.641272,0.050304,0.049434,0.045690,0.045294,0.155279,0.153156
0.643185,0.636541,0.050273,0.049776,0.046949,0.045007,0.153107,0.149849
0.642624,0.640943,0.050991,0.049553,0.046356,0.046425,0.152043,0.154374
0.638367,0.643535,0.049772,0.050305,0.046359,0.045555,0.153591,0.154047
0.642655,0.641626,0.050238,0.049560,0.046482,0.046341,0.152890,0.151326
0.644332,0.639948,0.050324,0.050429,0.045762,0.047184,0.150130,0.150994
0.640915,0.643209,0.050508,0.049961,0.045586,0.046233,0.153977,0.150386
0.646004,0.637239,0.049714,0.049785,0.046584,0.045691,0.154074,0.152722
0.644422,0.643271,0.050296,0.050162,0.045772,0.045672,0.149949,0.152332
0.640588,0.638809,0.050387,0.049971,0.046341,0.045165,0.150674,0.152608
0.642174,0.640727,0.050355,0.050396,0.045849,0.045182,0.154716,0.155786
0.641176,0.638071,0.049861,0.049807,0.045567,0.045868,0.154099,0.153824
0.646138,0.641798,0.053697,0.052822,0.045751,0.047977,0.151333,0.155542
0.644978,0.646151,0.049922,0.050890,0.046115,0.046554,0.149362,0.150649
0.642970,0.641136,0.049841,0.051196,0.047244,0.047238,0.153653,0.151126
0.640526,0.645197,0.049650,0.051259,0.048463,0.046576,0.153701,0.153220
0.639881,0.640379,0.050417,0.050330,0.045811,0.045742,0.151182,0.154613
0.642208,0.642493,0.049858,0.051335,0.046330,0.045684,0.153343,0.152867
0.640274,0.639680,0.050204,0.049874,0.046800,0.045704,0.149563,0.152994
0.640374,0.640049,0.049579,0.050379,0.046044,0.045395,0.152765,0.148946
