gene_callers_id	t_superkingdom	t_phylum	t_class	t_order	t_family	t_genus	t_species
NZ_HG326224.1|read61	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read63	Bacteria						
NZ_HG326224.1|read65	Bacteria	Firmicutes					
NZ_HG326224.1|read66	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
NZ_HG326224.1|read68	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Anaerostipes	Anaerostipes caccae
NZ_HG326224.1|read69	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read70	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read71	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326224.1|read72	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
NZ_HG326224.1|read73	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326224.1|read74	Bacteria	Firmicutes					
NZ_HG326224.1|read75	Bacteria	Firmicutes					
NZ_HG326224.1|read76	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read77	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read78	Bacteria	Firmicutes					
NZ_HG326224.1|read79	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read80	Bacteria	Firmicutes					
NZ_HG326224.1|read83	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read84	Bacteria	Firmicutes					
NZ_HG326224.1|read85	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read87	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read88	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read89	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read90	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read91	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read92	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read93	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read94	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326224.1|read95	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read96	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read97	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read98	Bacteria	Firmicutes					
NZ_HG326224.1|read99	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read100	Bacteria	Firmicutes					
NZ_HG326224.1|read102	Bacteria						
NZ_HG326224.1|read103	Bacteria						
NZ_HG326224.1|read104	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	
NZ_HG326224.1|read106	Bacteria						
NZ_HG326224.1|read109	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read117	Bacteria	Firmicutes					
NZ_HG326224.1|read118	Bacteria	Firmicutes					
NZ_HG326224.1|read119	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326224.1|read120	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read121	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read123	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read124	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read125	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	
NZ_HG326224.1|read126	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read127	Bacteria						
NZ_HG326224.1|read129	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Thermotoga	
NZ_HG326224.1|read132	Bacteria	Firmicutes					
NZ_HG326224.1|read133	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read135	Bacteria	Firmicutes	Clostridia	Clostridiales	Hungateiclostridiaceae	Ruminiclostridium	
NZ_HG326224.1|read136	Bacteria	Firmicutes					
NZ_HG326224.1|read139	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
NZ_HG326224.1|read140	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read143	Bacteria	Firmicutes					
NZ_HG326224.1|read147	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelothrix	Erysipelothrix rhusiopathiae
NZ_HG326224.1|read151	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read152	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read154	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read155	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
NZ_HG326224.1|read156	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read157	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read158	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read159	Bacteria	Firmicutes					
NZ_HG326224.1|read160	Bacteria	Firmicutes					
NZ_HG326224.1|read161	Bacteria	Firmicutes					
