gene_callers_id	t_superkingdom	t_phylum	t_class	t_order	t_family	t_genus	t_species
NZ_HG326224.1|read1124	Bacteria	Firmicutes					
NZ_HG326224.1|read1126	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	
NZ_HG326224.1|read1127	Bacteria						
NZ_HG326224.1|read1134	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326224.1|read1136	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1141	Bacteria	Firmicutes					
NZ_HG326224.1|read1143	Bacteria	Firmicutes					
NZ_HG326224.1|read1150	Bacteria	Firmicutes					
NZ_HG326224.1|read1152	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Leisingera	
NZ_HG326224.1|read1153	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1156	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae		
NZ_HG326224.1|read1157	Bacteria	Firmicutes					
NZ_HG326224.1|read1158	Bacteria	Firmicutes					
NZ_HG326224.1|read1161	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1162	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1163	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Clostridioides	Clostridioides difficile
NZ_HG326224.1|read1164	Bacteria	Firmicutes					
NZ_HG326224.1|read1167	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read1172	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1173	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Candidatus Arthromitus	
NZ_HG326224.1|read1174	Bacteria	Firmicutes					
NZ_HG326224.1|read1175	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis
NZ_HG326224.1|read1179	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1180	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis		
NZ_HG326224.1|read1181	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read1183	Bacteria	Firmicutes	Clostridia	Clostridiales	Oscillospiraceae	Oscillibacter	
NZ_HG326224.1|read1185	Bacteria	Firmicutes					
NZ_HG326224.1|read1189	Bacteria	Firmicutes					
NZ_HG326224.1|read1190	Bacteria	Firmicutes					
NZ_HG326224.1|read1191	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1192	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1193	Bacteria	Firmicutes					
NZ_HG326224.1|read1194	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1206	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1207	Bacteria	Firmicutes					
NZ_HG326224.1|read1208	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1209	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read1210	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1211	Bacteria	Firmicutes					
NZ_HG326224.1|read1212	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read1213	Bacteria	Firmicutes					
NZ_HG326224.1|read1214	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326224.1|read1215	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1217	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	
NZ_HG326224.1|read1220	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
NZ_HG326224.1|read1224	Bacteria	Firmicutes					
NZ_HG326224.1|read1225	Bacteria	Firmicutes	Bacilli	Bacillales		Gemella	
NZ_HG326224.1|read1226	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326224.1|read1227	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1230	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
NZ_HG326224.1|read1232	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
NZ_HG326224.1|read1233	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1242	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1243	Bacteria	Firmicutes					
NZ_HG326224.1|read1244	Bacteria						
NZ_HG326224.1|read1245	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1246	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae		
NZ_HG326224.1|read1247	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis
NZ_HG326224.1|read1249	Bacteria						
NZ_HG326224.1|read1251	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read1255	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read1256	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read1257	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326224.1|read1258	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1260	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read1261	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1262	Bacteria	Firmicutes					
NZ_HG326224.1|read1264	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis
NZ_HG326224.1|read1265	Bacteria	Firmicutes					
NZ_HG326224.1|read1267	Bacteria	Firmicutes					
NZ_HG326224.1|read1268	Bacteria	Firmicutes					
NZ_HG326224.1|read1269	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XIII. Incertae Sedis		
NZ_HG326224.1|read1270	Bacteria	Firmicutes					
NZ_HG326224.1|read1271	Bacteria						
NZ_HG326224.1|read1272	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfitobacterium	Desulfitobacterium hafniense
NZ_HG326224.1|read1273	Bacteria	Firmicutes					
NZ_HG326224.1|read1274	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1275	Bacteria	Firmicutes					
NZ_HG326224.1|read1276	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans
NZ_HG326224.1|read1277	Bacteria	Firmicutes	Bacilli	Bacillales			
NZ_HG326224.1|read1278	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1279	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read1280	Bacteria	Firmicutes					
NZ_HG326224.1|read1281	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read1285	Bacteria	Firmicutes					
NZ_HG326224.1|read1286	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read1289	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1296	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read1298	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1299	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1300	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1301	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1302	Bacteria	Firmicutes					
NZ_HG326224.1|read1303	Bacteria	Firmicutes	Clostridia	Clostridiales	Eubacteriaceae		
NZ_HG326224.1|read1304	Bacteria	Firmicutes					
NZ_HG326224.1|read1314	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1315	Bacteria	Actinobacteria	Coriobacteriia	Eggerthellales	Eggerthellaceae		
NZ_HG326224.1|read1316	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1317	Bacteria	Firmicutes					
NZ_HG326224.1|read1318	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
NZ_HG326224.1|read1320	Bacteria	Firmicutes					
NZ_HG326224.1|read1321	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read1322	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Francisellaceae	Francisella	Francisella tularensis
NZ_HG326224.1|read1323	Bacteria						
NZ_HG326224.1|read1325	Bacteria						
NZ_HG326224.1|read1327	Bacteria	Firmicutes					
NZ_HG326224.1|read1328	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read1329	Bacteria						
NZ_HG326224.1|read1330	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326224.1|read1331	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae		
NZ_HG326224.1|read1332	Bacteria						
NZ_HG326224.1|read1333	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1334	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1335	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read1337	Bacteria	Firmicutes					
NZ_HG326224.1|read1338	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1340	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus prevotii
NZ_HG326224.1|read1341	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read1343	Bacteria	Firmicutes					
NZ_HG326224.1|read1355	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1356	Bacteria	Firmicutes					
NZ_HG326224.1|read1358	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1359	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1360	Bacteria	Firmicutes					
NZ_HG326224.1|read1372	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326224.1|read1375	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
NZ_HG326224.1|read1377	Bacteria	Firmicutes					
NZ_HG326224.1|read1381	Bacteria	Firmicutes	Clostridia				
NZ_HG326224.1|read1382	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1383	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326224.1|read1384	Bacteria						
NZ_HG326224.1|read1386	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1387	Bacteria	Firmicutes					
NZ_HG326224.1|read1389	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326224.1|read1392	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus aryabhattai
NZ_HG326224.1|read1393	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1394	Bacteria	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae		
NZ_HG326224.1|read1401	Bacteria	Firmicutes					
NZ_HG326224.1|read1402	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326224.1|read1403	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326224.1|read1404	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326224.1|read1417	Bacteria	Firmicutes					
NZ_HG326224.1|read1420	Bacteria	Firmicutes	Tissierellia				
NZ_HG326224.1|read1427	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus cereus
NZ_HG326224.1|read1440	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
NZ_HG326225.1|read1445	Bacteria	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae	Gardnerella	Gardnerella vaginalis
NZ_HG326225.1|read1446	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1448	Bacteria	Firmicutes					
NZ_HG326225.1|read1449	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1450	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1451	Bacteria	Firmicutes					
NZ_HG326225.1|read1452	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1453	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Coprococcus	Coprococcus sp. HPP0074
NZ_HG326225.1|read1454	Bacteria	Firmicutes					
NZ_HG326225.1|read1455	Bacteria	Firmicutes					
NZ_HG326225.1|read1456	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
NZ_HG326225.1|read1457	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1458	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1460	Bacteria	Firmicutes					
NZ_HG326225.1|read1461	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1467	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema denticola
NZ_HG326225.1|read1468	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326225.1|read1469	Bacteria						
NZ_HG326225.1|read1471	Bacteria	Firmicutes	Clostridia				
NZ_HG326225.1|read1472	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326225.1|read1473	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1474	Bacteria	Firmicutes					
NZ_HG326225.1|read1475	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	
NZ_HG326225.1|read1476	Bacteria	Firmicutes					
NZ_HG326225.1|read1477	Bacteria	Firmicutes	Clostridia				
NZ_HG326225.1|read1478	Bacteria						
NZ_HG326225.1|read1479	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	
NZ_HG326225.1|read1480	Bacteria						
NZ_HG326225.1|read1485	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1486	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1487	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326225.1|read1488	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326225.1|read1489	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus lactolyticus
NZ_HG326225.1|read1490	Bacteria	Firmicutes					
NZ_HG326225.1|read1492	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
NZ_HG326225.1|read1493	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1494	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1497	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1498	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326225.1|read1499	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium botulinum
NZ_HG326225.1|read1500	Bacteria						
NZ_HG326225.1|read1501	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Faecalitalea	Faecalitalea cylindroides
NZ_HG326225.1|read1502	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326225.1|read1505	Bacteria						
NZ_HG326225.1|read1508	Bacteria	Firmicutes					
NZ_HG326225.1|read1531	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptostreptococcaceae	Paraclostridium	Paraclostridium bifermentans
NZ_HG326225.1|read1534	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1535	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1536	Bacteria	Firmicutes					
NZ_HG326225.1|read1537	Bacteria	Firmicutes	Bacilli	Bacillales			
NZ_HG326225.1|read1539	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1542	Bacteria						
NZ_HG326225.1|read1543	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1544	Bacteria	Firmicutes					
NZ_HG326225.1|read1546	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1547	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus casseliflavus
NZ_HG326225.1|read1548	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
NZ_HG326225.1|read1549	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas	
NZ_HG326225.1|read1550	Bacteria	Firmicutes	Bacilli	Bacillales			
NZ_HG326225.1|read1551	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
NZ_HG326225.1|read1553	Bacteria						
NZ_HG326225.1|read1554	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	
NZ_HG326225.1|read1558	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1559	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1560	Bacteria	Actinobacteria	Actinobacteria	Corynebacteriales	Corynebacteriaceae	Corynebacterium	
NZ_HG326225.1|read1561	Bacteria						
NZ_HG326225.1|read1562	Bacteria						
NZ_HG326225.1|read1564	Archaea	Euryarchaeota					
NZ_HG326225.1|read1565	Bacteria	Firmicutes	Tissierellia	Tissierellales			
NZ_HG326225.1|read1566	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanococcoides	Methanococcoides methylutens
NZ_HG326225.1|read1567	Bacteria	Firmicutes					
NZ_HG326225.1|read1572	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1573	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae		
NZ_HG326225.1|read1577	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1585	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermoanaerobacter	
NZ_HG326225.1|read1586	Bacteria	Firmicutes	Clostridia				
NZ_HG326225.1|read1587	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326225.1|read1588	Bacteria	Firmicutes	Clostridia				
NZ_HG326225.1|read1590	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1595	Bacteria						
NZ_HG326225.1|read1596	Bacteria	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Caldanaerobacter	Caldanaerobacter subterraneus
NZ_HG326225.1|read1597	Bacteria	Firmicutes					
NZ_HG326225.1|read1601	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae		
NZ_HG326225.1|read1605	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1606	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Parvimonas	Parvimonas micra
NZ_HG326225.1|read1609	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1614	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1615	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1616	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1617	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1618	Bacteria	Firmicutes					
NZ_HG326225.1|read1620	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae	Dorea	Dorea formicigenerans
NZ_HG326225.1|read1622	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1623	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1634	Bacteria						
NZ_HG326225.1|read1641	Bacteria						
NZ_HG326225.1|read1644	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1648	Bacteria						
NZ_HG326225.1|read1659	Bacteria	Firmicutes					
NZ_HG326225.1|read1660	Bacteria						
NZ_HG326225.1|read1661	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	Clostridium beijerinckii
NZ_HG326225.1|read1663	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis
NZ_HG326225.1|read1664	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1665	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1666	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Finegoldia	Finegoldia magna
NZ_HG326225.1|read1672	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1675	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1681	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilus	
NZ_HG326225.1|read1683	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
NZ_HG326225.1|read1684	Bacteria	Firmicutes					
NZ_HG326225.1|read1686	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
NZ_HG326225.1|read1688	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
NZ_HG326225.1|read1689	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	Anaerococcus hydrogenalis
NZ_HG326225.1|read1697	Bacteria	Firmicutes	Tissierellia				Tissierellia bacterium S7-1-4
NZ_HG326225.1|read1698	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1701	Bacteria	Firmicutes					
NZ_HG326225.1|read1708	Bacteria						
NZ_HG326225.1|read1709	Bacteria	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae		
NZ_HG326225.1|read1718	Bacteria						
NZ_HG326225.1|read1719	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum
NZ_HG326225.1|read1720	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	
NZ_HG326225.1|read1721	Bacteria	Bacteroidetes					
NZ_HG326225.1|read1723	Bacteria	Firmicutes	Clostridia	Clostridiales			
NZ_HG326225.1|read1724	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1725	Bacteria	Firmicutes					
NZ_HG326225.1|read1726	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1727	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae
NZ_HG326225.1|read1729	Bacteria	Firmicutes	Bacilli	Lactobacillales			
NZ_HG326225.1|read1730	Bacteria	Firmicutes					
NZ_HG326225.1|read1732	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1735	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1737	Bacteria	Firmicutes	Bacilli	Lactobacillales			
NZ_HG326225.1|read1738	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1739	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1740	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1741	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1742	Bacteria	Firmicutes					
NZ_HG326225.1|read1743	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1744	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1745	Bacteria	Firmicutes					
NZ_HG326225.1|read1747	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1748	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1749	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1750	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1751	Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	Mycoplasmataceae		
NZ_HG326225.1|read1752	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1753	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1754	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1757	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1758	Bacteria	Firmicutes	Tissierellia				
NZ_HG326225.1|read1759	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1760	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
NZ_HG326225.1|read1761	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Anaerococcus	
