---------------------------- ------ ------ ------ ------ ------ ------ ------
File                           stmt   bran   cond    sub    pod   time  total
---------------------------- ------ ------ ------ ------ ------ ------ ------
...ngine/Function/DEGREES.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...ngine/Function/ERRCELL.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/EVEN.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/EXACT.pm  100.0   75.0    n/a  100.0  100.0    0.0   90.2
...et/Engine/Function/EXP.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/FACT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/FALSE.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/FIND.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...eet/Engine/Function/FV.pm  100.0   50.0   50.0  100.0  100.0    0.0   89.3
...ngine/Function/HLOOKUP.pm  100.0   80.0    n/a  100.0  100.0    0.0   96.3
...t/Engine/Function/HOUR.pm  100.0    n/a    n/a  100.0    n/a    0.0  100.0
...eet/Engine/Function/IF.pm  100.0  100.0   66.7  100.0  100.0    0.0   96.7
...et/Engine/Function/INT.pm  100.0  100.0  100.0  100.0  100.0    0.0  100.0
...et/Engine/Function/IRR.pm  100.0   66.7   50.0  100.0  100.0    0.0   89.4
...ngine/Function/ISBLANK.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/ISERR.pm  100.0    n/a  100.0  100.0  100.0    0.0  100.0
...ngine/Function/ISERROR.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...ine/Function/ISLOGICAL.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/ISNA.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...ine/Function/ISNONTEXT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...gine/Function/ISNUMBER.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...Engine/Function/ISTEXT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/LEFT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/LEN.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...eet/Engine/Function/LN.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/LOG.pm  100.0    n/a  100.0  100.0  100.0    0.0  100.0
.../Engine/Function/LOG10.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/LOWER.pm   78.6    n/a    n/a   80.0  100.0    0.0   80.0
.../Engine/Function/MATCH.pm   95.6   85.0   64.7   94.4  100.0    0.1   89.7
...et/Engine/Function/MAX.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/MID.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/MIN.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...Engine/Function/MINUTE.pm  100.0    n/a    n/a  100.0    n/a    0.0  100.0
...et/Engine/Function/MOD.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/MONTH.pm  100.0    n/a    n/a  100.0    n/a    0.0  100.0
...heet/Engine/Function/N.pm  100.0   50.0    n/a  100.0  100.0    0.0   95.5
...eet/Engine/Function/NA.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/NOT.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/NOW.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/NPER.pm  100.0   70.0   62.5  100.0  100.0    0.0   87.5
...et/Engine/Function/NPV.pm  100.0   50.0   33.3  100.0  100.0    0.0   84.4
...et/Engine/Function/ODD.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...eet/Engine/Function/OR.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...eet/Engine/Function/PI.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/PMT.pm  100.0  100.0  100.0  100.0  100.0    0.0  100.0
.../Engine/Function/POWER.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...ngine/Function/PRODUCT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...Engine/Function/PROPER.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...eet/Engine/Function/PV.pm  100.0   50.0   50.0  100.0  100.0    0.0   85.7
...ngine/Function/RADIANS.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/RATE.pm  100.0  100.0  100.0  100.0  100.0    0.0  100.0
...ngine/Function/REPLACE.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/REPT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/RIGHT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/ROUND.pm  100.0  100.0  100.0  100.0  100.0    0.0  100.0
...Engine/Function/SECOND.pm  100.0    n/a    n/a  100.0    n/a    0.0  100.0
...et/Engine/Function/SIN.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/SLN.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/SQRT.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/STDEV.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...Engine/Function/STDEVP.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...ne/Function/SUBSTITUTE.pm  100.0   80.0    n/a  100.0  100.0    0.0   94.9
...et/Engine/Function/SUM.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/SYD.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...heet/Engine/Function/T.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...et/Engine/Function/TAN.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/TIME.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/TODAY.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/TRIM.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/TRUE.pm  100.0    n/a    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/TRUNC.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
.../Engine/Function/UPPER.pm   78.6    n/a    n/a   80.0  100.0    0.0   80.0
.../Engine/Function/VALUE.pm   90.9   66.7   33.3  100.0  100.0    0.0   84.6
...et/Engine/Function/VAR.pm  100.0  100.0    n/a  100.0  100.0    0.0  100.0
...t/Engine/Function/VARP.pm  100.0   50.0    n/a  100.0  100.0    0.0   94.7
...ngine/Function/VLOOKUP.pm  100.0   50.0    n/a  100.0    n/a    0.0   95.0
...ngine/Function/WEEKDAY.pm  100.0  100.0  100.0  100.0  100.0    0.0  100.0
...t/Engine/Function/YEAR.pm  100.0    n/a    n/a  100.0    n/a    0.0  100.0
...sheet/Engine/Functions.pm   84.1   57.7   36.7   98.1  100.0    1.6   77.2
...readsheet/Engine/Sheet.pm   45.4   39.8   38.9   66.0  100.0   89.4   43.7
...ine/Storage/SocialCalc.pm   97.7   77.8    n/a  100.0  100.0    0.9   92.8
...readsheet/Engine/Value.pm   91.3    n/a    n/a   90.0  100.0    0.4   92.5
Total                          69.2   46.7   45.4   96.5  100.0  100.0   65.4
---------------------------- ------ ------ ------ ------ ------ ------ ------
