#, m/z, z, I, FWHM, S/N, Res.
139, 595.1018, , 2697, 0.0200, 23.0, 29744
140, 595.5919, , 3082, 0.0204, 26.3, 29239
141, 596.0952, , 4599, 0.0232, 39.2, 25687
142, 597.1003, , 2352, 0.0196, 20.0, 30444
143, 598.1054, , 3089, 0.0204, 26.3, 29378
144, 600.1007, , 3300, 0.0297, 27.9, 20219
145, 603.5775, , 2659, 0.0187, 22.3, 32282
146, 604.0848, , 2687, 0.0338, 22.5, 17865
147, 613.0785, , 2662, 0.0201, 21.9, 30545
148, 672.6537, , 5821, 0.0206, 44.8, 32693
149, 673.1570, , 3433, 0.0212, 26.4, 31678
150, 679.6485, , 2559, 0.0210, 19.6, 32340
151, 687.1299, , 7714, 0.0213, 58.9, 32317
152, 687.6316, , 6681, 0.0214, 51.0, 32144
153, 688.1347, , 2729, 0.0258, 20.8, 26624
154, 701.6082, , 2805, 0.0198, 21.4, 35503
155, 702.1094, , 2652, 0.0193, 20.2, 36388
156, 755.1864, , 11715, 0.0235, 89.5, 32191
157, 756.1895, , 4186, 0.0264, 32.0, 28633
158, 962.2248, , 2292, 0.0310, 20.5, 31030
159, 973.1706, , 3171, 0.0292, 28.5, 33319
160, 974.1741, , 2514, 0.0351, 22.6, 27772
