#	m/z	z	I	FWHM	S/N	Res.
1	55.0541		22812	0.0039	772.3	14071
2	61.0071		20311	0.004	645	15280
3	70.0124		33749	0.0043	957.1	16329
4	72.0808	1+	1544688	0.0048	42564.1	14922
5	72.0914		60364	0.0037	1663.2	19491
6	73.0841	1+	69762	0.0048	1905.5	15335
7	79.0177		26221	0.0046	684.6	17076
8	81.5204		35106	0.0045	899.7	17951
9	84.9597		27218	0.0048	679.1	17683
10	85.5097		4470	0.0046	111.4	18474
11	88.0231		9834	0.0048	242.8	18276
12	89.0597		5497	0.0049	135.4	18131
13	89.5065		4503	0.0047	110.7	18901
14	90.5256		38041	0.0051	931.5	17680
15	94.515		5122	0.005	121.5	18832
16	98.5121		5224	0.0054	119.6	18306
17	99.5313		11959	0.0052	271.4	19018
18	102.1278		24812	0.0055	550.2	18433
19	106.0232		5607	0.0055	120.3	19309
20	115.0281		5258	0.006	105.6	19248
21	118.0861	1+	3728254	0.0069	72832.8	17109
22	118.0995		146276	0.0051	2857.5	23007
23	119.0895	1+	215261	0.0064	4197.9	18479
24	120.0909	1+	17703	0.0067	343.3	17813
25	122.0963		10932	0.006	210.9	20510
26	125.9861		19774	0.0063	379.1	20106
27	130.159		5673	0.0063	109.3	20733
28	132.1018		4007	0.0062	77.6	21303
29	134.0811		6460	0.0063	125.5	21260
30	139.0503		4582	0.0066	90	21125
31	139.9821		4277	0.0066	84.4	21155
32	140.0681		4486	0.0066	88.5	21174
33	151.0963		7407	0.0069	150.9	21770
34	158.9612		6408	0.0067	134	23574
35	167.0126		3838	0.0068	82.4	24428
36	173.0783		5044	0.0072	112.1	24121
37	186.9561		4358	0.0075	106.8	24765
38	194.1173		4180	0.0075	108.9	25850
39	195.1224		21497	0.0079	565.7	24757
40	217.1043		6908	0.0082	206.7	26442
41	235.1649		5801	0.0089	186.2	26439
42	268.1752		19573	0.0096	686.1	28044
43	312.2015		31066	0.0115	1181.9	27261
44	313.2048		4606	0.0112	175.6	27975
45	390.1911		15050	0.013	655.7	29935
