type	losses_or_gains	delta_mass	annotation_in_pos_mode	annotation_in_neg_mode
fragment	-(C5H8O4)	-132.0422587	[(M+H)-C5H8O4]+	[(M-H)-C5H8O4]-
fragment	-(C6H10O4)	-146.0579088	[(M+H)-C6H10O4]+	[(M-H)-C6H10O4]-
fragment	-(C6H10O5)-(H2O)	-180.0633881	[(M+H)-C6H10O5-H2O]+	[(M-H)-C6H10O5-H2O]-
fragment	-(C6H10O5)	-162.0528234	[(M+H)-C6H10O5]+	[(M-H)-C6H10O5]-
fragment	-(C6H10O7)	-194.0426527	[(M+H)-C6H10O7]+	[(M-H)-C6H10O7]-
fragment	-(C6H8O6)	-176.032088	[(M+H)-C6H8O6]+	[(M-H)-C6H8O6]-
fragment	-(CH2O)	-30.01056468	[(M+H)-CH2O]+	[(M-H)-CH2O]-
fragment	-(CH2S)-(HCOOH)	-91.99320037	[(M+H)-(CH2S)-(HCOOH)]+	[(M-H)-(CH2S)-(HCOOH)]-
fragment	-(CH2S)-(NH3)	-63.01427016	[(M+H)-(CH2S)-(NH3)]+	[(M-H)-(CH2S)-(NH3)]-
fragment	-(CH2S)	-45.98772106	[(M+H)-CH2S]+	[(M-H)-CH2S]-
fragment	-(CH3.)	-15.0229265		
fragment	-(CH3COO.)	-59.01275574		
fragment	-(CH3COOH)	-60.02112937	[(M+H)-CH3COOH]+	[(M-H)-CH3COOH]-
fragment	-(CH3N)	-29.0265491	[(M+H)-CH3N]+	[(M-H)-CH3N]-
fragment	-(CH3O.)	-31.01784112		
fragment	-(CH3OH)	-32.02621475	[(M+H)-CH3OH]+	[(M-H)-CH3OH]-
fragment	-(CH4)	-16.03130013	[(M+H)-CH4]+	[(M-H)-CH4]-
fragment	-(CH4N.)	-30.03382553		
fragment	-(CH4S)-(HCOOH)	-94.00885043	[(M+H)-(CH4S)-(HCOOH)]+	[(M-H)-(CH4S)-(HCOOH)]-
fragment	-(CH4S)-(NH3)	-65.02992022	[(M+H)-(CH4S)-(NH3)]+	[(M-H)-(CH4S)-(NH3)]-
fragment	-(CH4S)	-48.00337113	[(M+H)-CH4S]+	[(M-H)-CH4S]-
fragment	-(CH5N)	-31.04219916	[(M+H)-CH5N]+	[(M-H)-CH5N]-
fragment	-(Cl.)	-34.96830408		
fragment	-(CO)	-27.99491462	[(M+H)-CO]+	[(M-H)-CO]-
fragment	-(CO2)-(CO)	-71.98474386	[(M+H)-(CO2)-(CO)]+	[(M-H)-(CO2)-(CO)]-
fragment	-(CO2)	-43.98982924	[(M+H)-CO2]+	[(M-H)-CO2]-
fragment	-(H2)-(NH3)	-19.04219916	[(M+H)-(H2)-(NH3)]+	[(M-H)-(H2)-(NH3)]-
fragment	-(H2)	-2.015650064	[(M+H)-H2]+	[(M-H)-H2]-
fragment	-(H2O)-(CO2)	-62.00039392	[(M+H)-(H2O)-(CO2)]+	[(M-H)-(H2O)-(CO2)]-
fragment	 -(H2O)-(HCOOH)	-64.01604399	[(M+H)-(HCOOH)]+	[(M-H)-(H2O)-(HCOOH)]-
fragment	-(H2O)-(NH3)	-35.03711378	[(M+H)-(H2O)-(NH3)]+	[(M-H)-(H2O)-(NH3)]-
fragment	-(H2O)	-18.01056468	[(M+H)-(H2O)]+	[(M-H)-(H2O)]-
fragment	-(H2O)-2(CO2)	-105.9902232	[(M+H)-(H2O)-2(C2O)]+	[(M-H)-(H2O)-2(C2O)]-
fragment	-(H2S)-(H2O)	-51.99828575	[(M+H)-(H2S)-(H2O)]+	[(M-H)-(H2S)-(H2O)]-
fragment	-(H2S)	-33.98772106	[(M+H)-H2S]+	[(M-H)-H2S]-
fragment	-(H2SO4)	-97.96737954	[(M+H)-H2SO4]+	
fragment	-(H3PO4)	-97.97689521	[(M+H)-H3PO4]+	
fragment	-(HCl)	-35.97667771	[(M+H)-HCl]+	[(M-H)-HCl]-
fragment	-(HCN)	-27.01089903	[(M+H)-HCN]+	[(M-H)-HCN]-
fragment	-(HCOOH)-(HCN)	-73.01637834	[(M+H)-(HCOOH)-(HCN)]+	[(M-H)-(HCOOH)-(HCN)]-
fragment	-(HCOOH)	-46.0054793	[(M+H)-HCOOH]+	[(M-H)-HCOOH]-
fragment	-(HS.)	-32.97934743		
fragment	-(NC3H9)-(CH3COOH)	-119.0946287	[(M+H)-(NC3H9)-(CH3COOH)]+	[(M-H)-(NC3H9)-(CH3COOH)]-
fragment	-(NC3H9)-(H2O)	-77.08406397	[(M+H)-(NC3H9)-(H2O)]+	[(M-H)-(NC3H9)-(H2O)]-
fragment	-(NC3H9)-(HCOOH)	-105.0789786	[(M+H)-(NC3H9)-(HCOOH)]+	[(M-H)-(NC3H9)-(HCOOH)]-
