use Unicode::Collate::CJK::JISX0208
overrideCJK Unicode::Collate::CJK::JISX0208::weightJISX0208
#katakana
FF65;<30FB>
FF66;<30F2>
FF67;<30A1>
FF68;<30A3>
FF69;<30A5>
FF6A;<30A7>
FF6B;<30A9>
FF6C;<30E3>
FF6D;<30E5>
FF6E;<30E7>
FF6F;<30C3>
FF70;<30FC>
FF71;<30A2>
FF72;<30A4>
FF73;<30A6>
FF74;<30A8>
FF75;<30AA>
FF76;<30AB>
FF77;<30AD>
FF78;<30AF>
FF79;<30B1>
FF7A;<30B3>
FF7B;<30B5>
FF7C;<30B7>
FF7D;<30B9>
FF7E;<30BB>
FF7F;<30BD>
FF80;<30BF>
FF81;<30C1>
FF82;<30C4>
FF83;<30C6>
FF84;<30C8>
FF85;<30CA>
FF86;<30CB>
FF87;<30CC>
FF88;<30CD>
FF89;<30CE>
FF8A;<30CF>
FF8B;<30D2>
FF8C;<30D5>
FF8D;<30D8>
FF8E;<30DB>
FF8F;<30DE>
FF90;<30DF>
FF91;<30E0>
FF92;<30E1>
FF93;<30E2>
FF94;<30E4>
FF95;<30E6>
FF96;<30E8>
FF97;<30E9>
FF98;<30EA>
FF99;<30EB>
FF9A;<30EC>
FF9B;<30ED>
FF9C;<30EF>
FF9D;<30F3>
FF9E;<3099>
FF9F;<309A>
FFE0;<00A2>
FFE1;<00A3>
FFE2;<00AC>
FFE3;<0020> # macron = space
FFE4;<00A6>
FFE5;<00A5>
FFE6;<20A9>
FFE8;<2502>
FFE9;<2190>
FFEA;<2191>
FFEB;<2192>
FFEC;<2193>
FFED;<25A0>
FFEE;<25CB>
#prolonged
30A1 30FC;<30A1><30A1>---8
FF67 30FC;<30A1 30FC>
FF67 FF70;<30A1 30FC>
3041 30FC;<3041><30A1>---8
30A2 30FC;<30A2><30A1>---8
FF71 30FC;<30A2 30FC>
FF71 FF70;<30A2 30FC>
3042 30FC;<3042><30A1>---8
30AB 30FC;<30AB><30A1>---8
FF76 30FC;<30AB 30FC>
FF76 FF70;<30AB 30FC>
304B 30FC;<304B><30A1>---8
30AC 30FC;<30AC><30A1>---8
30AB 3099 30FC;<30AC 30FC>
FF76 FF9E 30FC;<30AC 30FC>
FF76 FF9E FF70;<30AC 30FC>
304C 30FC;<304C><30A1>---8
304B 3099 30FC;<304C 30FC>
30B5 30FC;<30B5><30A1>---8
FF7B 30FC;<30B5 30FC>
FF7B FF70;<30B5 30FC>
3055 30FC;<3055><30A1>---8
30B6 30FC;<30B6><30A1>---8
30B5 3099 30FC;<30B6 30FC>
FF7B FF9E 30FC;<30B6 30FC>
FF7B FF9E FF70;<30B6 30FC>
3056 30FC;<3056><30A1>---8
3055 3099 30FC;<3056 30FC>
30BF 30FC;<30BF><30A1>---8
FF80 30FC;<30BF 30FC>
FF80 FF70;<30BF 30FC>
305F 30FC;<305F><30A1>---8
30C0 30FC;<30C0><30A1>---8
30BF 3099 30FC;<30C0 30FC>
FF80 FF9E 30FC;<30C0 30FC>
