" SPDX Full name of License v1.8";"SPDX License Identifier";"SPDX Source URL";"Fedora License Identifier";"LDB License Identifier";"New Open Suse License Identifier";"compatibility class";"comment"
"GNU Lesser General Public License v2.1 or later";"LGPL-2.1+";"http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html";"LGPLv2.1+";"LGPL 2.1 or later";"LGPL-2.1+";3;
"GNU Lesser General Public License v3.0 only";"LGPL-3";"http://www.gnu.org/licenses/lgpl-3.0-standalone.html";"LGPLv3";"LGPL 3.0";"LGPL-3";3;
"GNU Lesser General Public License v3.0 or later";"LGPL-3+";"http://www.gnu.org/licenses/lgpl-3.0-standalone.html";"LGPLv3+ ";"LGPL 3.0 or later";"LGPL-3.0+";3;
"GNU Library General Public License v2 only";"LGPL-2";"http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html";"LGPLv2 ";"LGPL 2.0";"LGPL-2.0";3;
"GNU Library General Public License v2 or later";"LGPL-2+";"http://www.gnu.org/licenses/old-licenses/lgpl-2.0-standalone.html";"LGPLv2+";"LGPL 2.0 or later";"LGPL-2.0+";3;
"?";"?";"?";"?";"?";"LPGL(unknown version)";3;
"gSOAP Public License v1.b";"gSOAP-1.3b";"http://www.cs.fsu.edu/~engelen/license.html";"gSOAP";"gsoap";"GSOAP-1.3b";3;
"Historic Permission Notice and Disclaimer";"HPND";"http://www.opensource.org/licenses/historical.php";"?";"?";"HPND";1;
"IBM Public License v1.0";"IPL-1";"http://www.opensource.org/licenses/ibmpl.php";"IBM";"IBM PL 1.0";"IPL-1";4;
"IPA Font License";"IPA";"http://www.opensource.org/licenses/ipafont.html";"?";"?";"IPA";"?";
"ISC License (Bind, DHCP Server)";"ISC";"http://www.isc.org/software/license  http://www.opensource.org/licenses/isc-license.txt";"?";"?";"ISC";1;
"LaTeX Project Public License v1.0";"LPPL-1";"http://www.latex-project.org/lppl/lppl-1-0.txt";"LPPL";"LPPL 1.0";"LPPL-1";2;
"LaTeX Project Public License v1.1";"LPPL-1.1";"http://www.latex-project.org/lppl/lppl-1-1.txt";"LPPL";"LPPL 1.1";"LPPL-1.1";2;
"LaTeX Project Public License v1.2";"LPPL-1.2";"http://www.latex-project.org/lppl/lppl-1-2.txt";"LPPL";"LPPL 1.2";"LPPL-1.2";2;
"LaTeX Project Public License v1.3c";"LPPL-1.3c";"http://www.latex-project.org/lppl/lppl-1-3c.txt";"LPPL";"?";"LPPL-1.3c";2;
"libpng License";"Libpng";"http://www.libpng.org/pub/png/src/libpng-LICENSE.txt";"?";"libpng";"libpng";1;
"Lucent Public License v1.02 (Plan9)";"LPL-1.02";"http://plan9.bell-labs.com/plan9/license.html";"LPL";"lucent";"LPL-1.02";2;
"Microsoft Public License";"MS-PL";"http://www.microsoft.com/opensource/licenses.mspx";"MS-PL";"Microsoft Public License";"MS-PL";3;
"Microsoft Reciprocal License";"MS-RL";"http://www.microsoft.com/opensource/licenses.mspx";"MS-RL";"Microsoft Reciprocal  License";"MS-RL";3;
"MirOS Licence";"MirOS";"http://www.opensource.org/licenses/miros.html";"?";"MirOS";"MirOS";1;
"MIT license (also X11)";"MIT";"http://www.opensource.org/licenses/mit-license.html";"MIT";"X11 MIT";"MIT";1;
"Motosoto License";"Motosoto";"http://www.opensource.org/licenses/motosoto.php";"Motosoto";"?";"Motosoto";3;
"Mozilla Public License 1.0";"MPL-1";"http://www.mozilla.org/MPL/MPL-1.0.html http://www.opensource.org/licenses/mozilla1.0.php";"MPL 1.0";"MPL 1.0";"MPL-1";3;
"Mozilla Public License 1.1 ";"MPL-1.1";"http://www.mozilla.org/MPL/MPL-1.1.html";"MPL 1.1";"MPL 1.1";"MPL-1.1";3;
"Multics License";"Multics";"http://www.opensource.org/licenses/multics.txt";"?";"?";"Multics";1;
"NASA Open Source Agreement 1.3";"NASA-1.3";"http://ti.arc.nasa.gov/opensource/nosa/";"?";"?";"NASA-1.3";2;
"Naumen Public License";"Nauman";"http://www.opensource.org/licenses/naumen.php";"Naumen";"?";"Naumann";1;
"Nethack General Public License";"NGPL";"http://www.nethack.org/common/license.html";"Nethack";"?";"Nethack";4;
"Nokia Open Source License";"Nokia";"http://www.opensource.org/licenses/nokia.php";"Nokia";"?";"Nokia";3;
"Non-Profit Open Software License 3.0";"NPOSL-3";"http://www.opensource.org/licenses/NOSL3.0.html";"?";"?";"NPOSL-3";4;
"NTP License";"LS";"http://www.opensource.org/licenses/ntp-license.php";"?";"?";"NTP";"?";
"OCLC Research Public License 2.0";"OCLC-2";"http://www.oclc.org/research/activities/software/license/v2final.htm";"?";"?";"OCLC";4;
"Open Group Test Suite License";"OGTSL";"http://www.opengroup.org/testing/downloads/The_Open_Group_TSL.txt";"?";"?";"OGTSL";2;
"Open Software License 1.0";"OSL-1";"http://www.opensource.org/licenses/osl-1.0.txt";"OSL 1.0";"OSL 1.0";"OSL-1";4;
"Open Software License 2.0";"OSL-2";"http://www.nexb.com/license/LICENSE-OSL-2.0.html";"OSL 2.0";"OSL 2.0";"OSL-2";4;
"Open Software License 3.0";"OSL-3";"http://www.rosenlaw.com/OSL3.0.htm";"OSL 3.0";"OSL 3.0";"OSL-3";4;
"OpenLDAP Public License v2.8";"OLDAP-2.8";"http://www.openldap.org/software/release/license.html";"OpenLDAP ";"OpenLDAP 2.8";"OpenLDAP 2.8";1;
"OpenSSL License";"OpenSSL";"http://www.openssl.org/source/license.html";"OpenSSL";"OpenSSL";"OpenSSL";2;
"PHP License v3.0";"PHP-3";"http://www.php.net/license/3_01.txt";"PHP";"PHP 3.0";"PHP-3";2;
"PostgreSQL License";"PostgreSQL";"http://www.postgresql.org/about/licence http://www.opensource.org/licenses/postgresql";"PostgreSQL";"Postgresql";"PostgresSQL";1;
"?";"?";"?";"Python";"?";"Python CNRI 1.6";2;
"Python Software Foundation License v2";"Python";"http://www.opensource.org/licenses/PythonSoftFoundation.php";"Python ";"?";"Python PSF 2.1.1";1;
"?";"?";"?";;;"Python CWI";1;
"?";"?";"?";;;"Python CNRI";1;
"?";"?";"?";;;"Python CNRI 1.6.1";2;
"?";"?";"?";;;"Python BeOpen 2.0";2;
"?";"?";"?";;;"Python PSF 2.1 ";2;
"Q Public License 1.0";"QPL-1";"http://doc.qt.nokia.com/3.3/license.html";"QPL";"QPL 1.0";"QPL-1";2;
"RealNetworks Public Source License v1.0";"RPSL-1";"https://helixcommunity.org/content/rpsl http://www.opensource.org/licenses/real.php";"RPSL";"?";"RPSL-1";4;
"Reciprocal Public License 1.5 ";"RPL-1.5";"http://www.opensource.org/licenses/rpl1.5.txt";"?";"?";"RPL-1.5";4;
"Red Hat eCos Public License v1.1";"RHeCos-1.1";"http://ecos.sourceware.org/old-license.html";"?";"?";"RHECOS-1.1";3;
"Ricoh Source Code Public License";"RSCPL";"http://www.opensource.org/licenses/ricohpl.php";"?";"?";"RSCPL";3;
"Ruby License";"Ruby";"http://www.ruby-lang.org/en/LICENSE.txt";"Ruby";"ruby";"Ruby";1;
"SIL Open Font License 1.1";"OFL-1.1";"http://scripts.sil.org/cms/scripts/page.php?item_id=OFL_web";"OFL ";"OFL 1.1";"OFL-1.1";4;
"Simple Public License 2.0";"Simple-2";"http://www.opensource.org/licenses/simpl-2.0.html";"?";"?";"SimPL 1.0";4;
