
CC_NAME                                                                       CT_NAME                                                                       CC_RUNMODE                       CC_ALIAS                          CC_DISP_ENABLE_ST                                              CC_DESC_TEXT                                                                                                                                                                                                                                                 CG_NAME                                                                       CG_ALIAS                         CC_INCARN_NO             
----------------------------------------------------------------------------  ----------------------------------------------------------------------------  -------------------------------  --------------------------------  -------------------------------------------------------------  --------------------------------------------------------------------------------------------------------------------  ----------------------------------------------------------------------------  -------------------------------  -----------------------  
Application Deployment Manager Batch Processor                                Business Service Manager                                                      Batch                            ADMBatchProc                      Active                                                         Exports data items in batch                                                                                                                                                                                                                                  Application Deployment Manager                                                ADM                              0                        
Application Deployment Manager Object Manager (ENU)                           Application Object Manager                                                    Interactive                      ADMObjMgr_enu                     Active                                                         Siebel Object Manager for deployment of application customizations                                                                                                                                                                                           Application Deployment Manager                                                ADM                              0                        
Application Deployment Manager Object Manager (PTB)                           Application Object Manager                                                    Interactive                      ADMObjMgr_ptb                     Active                                                         Siebel Object Manager for deployment of application customizations                                                                                                                                                                                           Application Deployment Manager                                                ADM                              0                        
Application Deployment Manager Processor                                      Business Service Manager                                                      Batch                            ADMProc                           Active                                                         Processes Data Deployment                                                                                                                                                                                                                                    Application Deployment Manager                                                ADM                              0                        
Appointment Booking Engine                                                    Business Service Manager                                                      Batch                            ApptBook                          Active                                                         Book appointments                                                                                                                                                                                                                                            Field Service                                                                 FieldSvc                         0                        
Assignment Manager                                                            Assignment Manager                                                            Batch                            AsgnSrvr                          Active                                                         Assigns positions and employees to objects                                                                                                                                                                                                                   Assignment Management                                                         AsgnMgmt                         0                        
Batch Assignment                                                              Batch Assignment                                                              Batch                            AsgnBatch                         Active                                                         Batch assigns positions and employees to objects                                                                                                                                                                                                             Assignment Management                                                         AsgnMgmt                         0                        
BatchSync                                                                     Business Service Manager                                                      Batch                            BatchSync                         Active                                                         Handheld Batch Synchronization                                                                                                                                                                                                                               Handheld Synchronization                                                      HandheldSync                     0                        
Business Integration Batch Manager                                            Business Service Manager                                                      Batch                            BusIntBatchMgr                    Active                                                         Manages Business Integration dataflows in batch mode                                                                                                                                                                                                         Enterprise Application Integration                                            EAI                              0                        
Business Integration Manager                                                  Business Service Manager                                                      Batch                            BusIntMgr                         Active                                                         Executes Business Integration dataflows                                                                                                                                                                                                                      Enterprise Application Integration                                            EAI                              0                        
Call Center Object Manager (ENU)                                              Application Object Manager                                                    Interactive                      SCCObjMgr_enu                     Active                                                         Siebel Call Center Object Manager                                                                                                                                                                                                                            Siebel Call Center                                                            CallCenter                       0                        
Call Center Object Manager (PTB)                                              Application Object Manager                                                    Interactive                      SCCObjMgr_ptb                     Active                                                         Siebel Call Center Object Manager                                                                                                                                                                                                                            Siebel Call Center                                                            CallCenter                       0                        
