country_code,area_code,country,area
CN,11,中国,北京
CN,12,中国,天津
CN,13,中国,河北
CN,14,中国,山西
CN,15,中国,内蒙古
CN,21,中国,辽宁
CN,22,中国,吉林
CN,23,中国,黑龙江
CN,31,中国,上海
CN,32,中国,江苏
CN,33,中国,浙江
CN,34,中国,安徽
CN,35,中国,福建
CN,36,中国,江西
CN,37,中国,山东
CN,41,中国,河南
CN,42,中国,湖北
CN,43,中国,湖南
CN,44,中国,广东
CN,45,中国,广西
CN,46,中国,海南
CN,50,中国,重庆
CN,51,中国,四川
CN,52,中国,贵州
CN,53,中国,云南
CN,54,中国,西藏
CN,61,中国,陕西
CN,62,中国,甘肃
CN,63,中国,青海
CN,64,中国,宁夏
CN,65,中国,新疆
