0000	char0
01C9	uni01C9
01CA	uni01CA
01CB	uni01CB
01CC	uni01CC
01CD	uni01CD
01CE	uni01CE
01CF	uni01CF
01D0	uni01D0
01D1	uni01D1
01D2	uni01D2
01D3	uni01D3
01D4	uni01D4
01D5	uni01D5
01D6	uni01D6
01D7	uni01D7
01D8	uni01D8
01D9	uni01D9
01DA	uni01DA
01DB	uni01DB
01DC	uni01DC
01DD	uni01DD
01DE	uni01DE
01DF	uni01DF
01E0	uni01E0
01E1	uni01E1
01E2	uni01E2
01E3	uni01E3
01E4	uni01E4
01E5	uni01E5
01E6	Gcaron
01E7	gcaron
01E8	uni01E8
01E9	uni01E9
01EA	uni01EA
01EB	uni01EB
01EC	uni01EC
01ED	uni01ED
01EE	uni01EE
01EF	uni01EF
01F0	uni01F0
01F1	uni01F1
01F2	uni01F2
01F3	uni01F3
01F4	uni01F4
01F5	uni01F5
01F6	uni01F6
01F7	uni01F7
01F8	uni01F8
01F9	uni01F9
01FA	Aringacute
01FB	aringacute
01FC	AEacute
01FD	aeacute
01FE	Oslashacute
01FF	oslashacute
0200	uni0200
0201	uni0201
0202	uni0202
0203	uni0203
0204	uni0204
0205	uni0205
0206	uni0206
0207	uni0207
0208	uni0208
0209	uni0209
020A	uni020A
020B	uni020B
020C	uni020C
020D	uni020D
020E	uni020E
020F	uni020F
0210	uni0210
0211	uni0211
0212	uni0212
0213	uni0213
0214	uni0214
0215	uni0215
0216	uni0216
0217	uni0217
0218	Scommaaccent
0219	scommaaccent
021A	Tcommaaccent
021B	tcommaaccent
021C	uni021C
021D	uni021D
021E	uni021E
021F	uni021F
0250	uni0250
0251	uni0251
0252	uni0252
0253	uni0253
0254	uni0254
0255	uni0255
0256	uni0256
0257	uni0257
0258	uni0258
0259	uni0259
025A	uni025A
025B	uni025B
025C	uni025C
025D	uni025D
025E	uni025E
025F	uni025F
0260	uni0260
0261	uni0261
0262	uni0262
0263	uni0263
0264	uni0264
0265	uni0265
0266	uni0266
0267	uni0267
0268	uni0268
0269	uni0269
026A	uni026A
026B	uni026B
026C	uni026C
026D	uni026D
026E	uni026E
026F	uni026F
0270	uni0270
0271	uni0271
0272	uni0272
0273	uni0273
0274	uni0274
0275	uni0275
0276	uni0276
0277	uni0277
0278	uni0278
0279	uni0279
027A	uni027A
027B	uni027B
027C	uni027C
027D	uni027D
027E	uni027E
027F	uni027F
0280	uni0280
0281	uni0281
0282	uni0282
0283	uni0283
0284	uni0284
0285	uni0285
0286	uni0286
0287	uni0287
0288	uni0288
0289	uni0289
028A	uni028A
028B	uni028B
028C	uni028C
028D	uni028D
028E	uni028E
028F	uni028F
0290	uni0290
0291	uni0291
0292	uni0292
0293	uni0293
0294	uni0294
0295	uni0295
0296	uni0296
0297	uni0297
0298	uni0298
0299	uni0299
029A	uni029A
029B	uni029B
029C	uni029C
029D	uni029D
029E	uni029E
029F	uni029F
02A0	uni02A0
02A1	uni02A1
02A2	uni02A2
02A3	uni02A3
02A4	uni02A4
02A5	uni02A5
02A6	uni02A6
02A7	uni02A7
02A8	uni02A8
02B6	uni02B6
02B8	uni02B8
02B9	uni02B9
02BC	afii57929
02BD	afii64937
02C6	circumflex
02C7	caron
02C8	uni02C8
02C9	macron
02CC	uni02CC
02D0	uni02D0
02D6	uni02D6
02D8	breve
02D9	dotaccent
02DA	ring
02DB	ogonek
02DC	tilde
02DD	hungarumlaut
0300	gravecomb
0301	acutecomb
0302	uni0302
0303	tildecomb
0304	uni0304
0305	uni0305
0306	uni0306
0307	uni0307
0308	uni0308
0309	hookabovecomb
030A	uni030A
030B	uni030B
030C	uni030C
030D	uni030D
030E	uni030E
030F	uni030F
0310	uni0310
0311	uni0311
0323	dotbelowcomb
0324	uni0324
0338	uni0338
0340	uni0340
0341	uni0341
0374	uni0374
0375	uni0375
037A	uni037A
037E	uni037E
0384	tonos
0385	dieresistonos
0386	Alphatonos
0387	anoteleia
0388	Epsilontonos
0389	Etatonos
038A	Iotatonos
038C	Omicrontonos
038E	Upsilontonos
038F	Omegatonos
0390	iotadieresistonos
0391	Alpha
0392	Beta
0393	Gamma
0394	Delta
0395	Epsilon
0396	Zeta
0397	Eta
0398	Theta
0399	Iota
039A	Kappa
039B	Lambda
039C	Mu
039D	Nu
039E	Xi
039F	Omicron
03A0	Pi
03A1	Rho
03A3	Sigma
03A4	Tau
03A5	Upsilon
03A6	Phi
03A7	Chi
03A8	Psi
03A9	Omega
03AA	Iotadieresis
03AB	Upsilondieresis
03AC	alphatonos
03AD	epsilontonos
03AE	etatonos
03AF	iotatonos
03B0	upsilondieresistonos
03B1	alpha
03B2	beta
03B3	gamma
03B4	delta
03B5	epsilon
03B6	zeta
03B7	eta
03B8	theta
03B9	iota
03BA	kappa
03BB	lambda
03BC	mu
03BD	nu
03BE	xi
03BF	omicron
03C0	pi
03C1	rho
03C2	sigma1
03C3	sigma
03C4	tau
03C5	upsilon
03C6	phi
03C7	chi
03C8	psi
03C9	omega
03CA	iotadieresis
03CB	upsilondieresis
03CC	omicrontonos
03CD	upsilontonos
03CE	omegatonos
03D0	uni03D0
03D1	theta1
03D2	Upsilon1
03D3	uni03D3
03D4	uni03D4
03D5	phi1
03D6	omega1
03D7	uni03D7
03DA	uni03DA
03DB	uni03DB
03DC	uni03DC
03DD	uni03DD
03DE	uni03DE
03DF	uni03DF
03E0	uni03E0
03E1	uni03E1
03F0	uni03F0
03F1	uni03F1
03F2	uni03F2
03F3	uni03F3
03F4	uni03F4
03F5	uni03F5
0401	afii10023
0402	afii10051
0403	afii10052
0404	afii10053
0405	afii10054
0406	afii10055
0407	afii10056
0408	afii10057
0409	afii10058
040A	afii10059
040B	afii10060
040C	afii10061
040E	afii10062
040F	afii10145
0410	afii10017
0411	afii10018
0412	afii10019
0413	afii10020
0414	afii10021
0415	afii10022
0416	afii10024
0417	afii10025
0418	afii10026
0419	afii10027
041A	afii10028
041B	afii10029
041C	afii10030
041D	afii10031
041E	afii10032
041F	afii10033
0420	afii10034
0421	afii10035
0422	afii10036
0423	afii10037
0424	afii10038
0425	afii10039
0426	afii10040
0427	afii10041
0428	afii10042
0429	afii10043
042A	afii10044
042B	afii10045
042C	afii10046
042D	afii10047
042E	afii10048
042F	afii10049
0430	afii10065
0431	afii10066
0432	afii10067
0433	afii10068
0434	afii10069
0435	afii10070
0436	afii10072
0437	afii10073
0438	afii10074
0439	afii10075
043A	afii10076
043B	afii10077
043C	afii10078
043D	afii10079
043E	afii10080
043F	afii10081
0440	afii10082
0441	afii10083
0442	afii10084
0443	afii10085
0444	afii10086
0445	afii10087
0446	afii10088
0447	afii10089
0448	afii10090
0449	afii10091
044A	afii10092
044B	afii10093
044C	afii10094
044D	afii10095
044E	afii10096
044F	afii10097
0451	afii10071
0452	afii10099
0453	afii10100
0454	afii10101
0455	afii10102
0456	afii10103
0457	afii10104
0458	afii10105
0459	afii10106
045A	afii10107
045B	afii10108
045C	afii10109
045E	afii10110
045F	afii10193
0490	afii10050
0491	afii10098
0492	uni0492
0493	uni0493
0496	uni0496
0497	uni0497
049A	uni049A
