0000	char0
266D	uni266D
266E	uni266E
2800	uni2800
2801	uni2801
2802	uni2802
2803	uni2803
2804	uni2804
2805	uni2805
2806	uni2806
2807	uni2807
2808	uni2808
2809	uni2809
280A	uni280A
280B	uni280B
280C	uni280C
280D	uni280D
280E	uni280E
280F	uni280F
2810	uni2810
2811	uni2811
2812	uni2812
2813	uni2813
2814	uni2814
2815	uni2815
2816	uni2816
2817	uni2817
2818	uni2818
2819	uni2819
281A	uni281A
281B	uni281B
281C	uni281C
281D	uni281D
281E	uni281E
281F	uni281F
2820	uni2820
2821	uni2821
2822	uni2822
2823	uni2823
2824	uni2824
2825	uni2825
2826	uni2826
2827	uni2827
2828	uni2828
2829	uni2829
282A	uni282A
282B	uni282B
282C	uni282C
282D	uni282D
282E	uni282E
282F	uni282F
2830	uni2830
2831	uni2831
2832	uni2832
2833	uni2833
2834	uni2834
2835	uni2835
2836	uni2836
2837	uni2837
2838	uni2838
2839	uni2839
283A	uni283A
283B	uni283B
283C	uni283C
283D	uni283D
283E	uni283E
283F	uni283F
2840	uni2840
2841	uni2841
2842	uni2842
2843	uni2843
2844	uni2844
2845	uni2845
2846	uni2846
2847	uni2847
2848	uni2848
2849	uni2849
284A	uni284A
284B	uni284B
284C	uni284C
284D	uni284D
284E	uni284E
284F	uni284F
2850	uni2850
2851	uni2851
2852	uni2852
2853	uni2853
2854	uni2854
2855	uni2855
2856	uni2856
2857	uni2857
2858	uni2858
2859	uni2859
285A	uni285A
285B	uni285B
285C	uni285C
285D	uni285D
285E	uni285E
285F	uni285F
2860	uni2860
2861	uni2861
2862	uni2862
2863	uni2863
2864	uni2864
2865	uni2865
2866	uni2866
2867	uni2867
2868	uni2868
2869	uni2869
286A	uni286A
286B	uni286B
286C	uni286C
286D	uni286D
286E	uni286E
286F	uni286F
2870	uni2870
2871	uni2871
2872	uni2872
2873	uni2873
2874	uni2874
2875	uni2875
2876	uni2876
2877	uni2877
2878	uni2878
2879	uni2879
287A	uni287A
287B	uni287B
287C	uni287C
287D	uni287D
287E	uni287E
287F	uni287F
2880	uni2880
2881	uni2881
2882	uni2882
2883	uni2883
2884	uni2884
2885	uni2885
2886	uni2886
2887	uni2887
2888	uni2888
2889	uni2889
288A	uni288A
288B	uni288B
288C	uni288C
288D	uni288D
288E	uni288E
288F	uni288F
2890	uni2890
2891	uni2891
2892	uni2892
2893	uni2893
2894	uni2894
2895	uni2895
2896	uni2896
2897	uni2897
2898	uni2898
2899	uni2899
289A	uni289A
289B	uni289B
289C	uni289C
289D	uni289D
289E	uni289E
289F	uni289F
28A0	uni28A0
28A1	uni28A1
28A2	uni28A2
28A3	uni28A3
28A4	uni28A4
28A5	uni28A5
28A6	uni28A6
28A7	uni28A7
28A8	uni28A8
28A9	uni28A9
28AA	uni28AA
28AB	uni28AB
28AC	uni28AC
28AD	uni28AD
28AE	uni28AE
28AF	uni28AF
28B0	uni28B0
28B1	uni28B1
28B2	uni28B2
28B3	uni28B3
28B4	uni28B4
28B5	uni28B5
28B6	uni28B6
28B7	uni28B7
28B8	uni28B8
28B9	uni28B9
28BA	uni28BA
28BB	uni28BB
28BC	uni28BC
28BD	uni28BD
28BE	uni28BE
28BF	uni28BF
28C0	uni28C0
28C1	uni28C1
28C2	uni28C2
28C3	uni28C3
28C4	uni28C4
28C5	uni28C5
28C6	uni28C6
28C7	uni28C7
28C8	uni28C8
28C9	uni28C9
28CA	uni28CA
28CB	uni28CB
28CC	uni28CC
28CD	uni28CD
28CE	uni28CE
28CF	uni28CF
28D0	uni28D0
28D1	uni28D1
28D2	uni28D2
28D3	uni28D3
28D4	uni28D4
28D5	uni28D5
28D6	uni28D6
28D7	uni28D7
28D8	uni28D8
28D9	uni28D9
28DA	uni28DA
28DB	uni28DB
28DC	uni28DC
28DD	uni28DD
28DE	uni28DE
28DF	uni28DF
28E0	uni28E0
28E1	uni28E1
28E2	uni28E2
28E3	uni28E3
28E4	uni28E4
28E5	uni28E5
28E6	uni28E6
28E7	uni28E7
28E8	uni28E8
28E9	uni28E9
28EA	uni28EA
28EB	uni28EB
28EC	uni28EC
28ED	uni28ED
28EE	uni28EE
28EF	uni28EF
28F0	uni28F0
28F1	uni28F1
28F2	uni28F2
28F3	uni28F3
28F4	uni28F4
28F5	uni28F5
28F6	uni28F6
28F7	uni28F7
28F8	uni28F8
28F9	uni28F9
28FA	uni28FA
28FB	uni28FB
28FC	uni28FC
28FD	uni28FD
28FE	uni28FE
28FF	uni28FF
FB01	fi
FB02	fl
FFFD	uniFFFD
