# Deduceri pentru 2 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
1	1950	830
1951	2000	815
2001	2050	800
2051	2100	785
2101	2150	770
2151	2200	755
2201	2250	740
2251	2300	725
2301	2350	710
2351	2400	695
2401	2450	680
2451	2500	665
2501	2550	650
2551	2600	635
2601	2650	620
2651	2700	605
2701	2750	590
2751	2800	575
2801	2850	560
2851	2900	545
2901	2950	530
2951	3000	515
3001	3050	500
3051	3100	485
3101	3150	470
3151	3200	455
3201	3250	440
3251	3300	425
3301	3350	410
3351	3400	395
3401	3450	380
3451	3500	365
3501	3550	350
3551	3600	335
3601	999999	0
