# Deduceri pentru 3 persoane
# Tab separated columns
#
#VBL-min	VBL-max	deducere
1	1950	990
1951	2000	975
2001	2050	960
2051	2100	945
2101	2150	930
2151	2200	915
2201	2250	900
2251	2300	885
2301	2350	870
2351	2400	855
2401	2450	840
2451	2500	825
2501	2550	810
2551	2600	795
2601	2650	780
2651	2700	765
2701	2750	750
2751	2800	735
2801	2850	720
2851	2900	705
2901	2950	690
2951	3000	675
3001	3050	660
3051	3100	645
3101	3150	630
3151	3200	615
3201	3250	600
3251	3300	585
3301	3350	570
3351	3400	555
3401	3450	540
3451	3500	525
3501	3550	510
3551	3600	495
3601	999999	0
