;version,4
PlateResults
,Read 1
,,1,2,3,4,5,6,7,8,9,10,11,12
,A,54.0001,62.0002,44.0001,44.0001,48.0001,52.0001,50.0001,64.0002,64.0002,52.0001,60.0002,72.0002
,B,3470.58,2638.33,2154.22,3388.55,3822.7,3228.5,922.041,1628.13,2866.39,3658.64,1962.19,812.032
,C,1530.11,2872.4,2246.24,2838.39,2510.3,3626.63,1906.17,1636.13,2750.36,2220.24,1772.15,2030.2
,D,1938.18,4470.96,4655.04,4510.98,2804.38,4156.83,1958.18,1468.1,3850.71,2510.3,2382.27,2304.25
,E,2574.32,5967.71,5013.21,5521.46,4360.91,4827.12,3022.44,3426.56,4811.11,2380.27,2004.19,2136.22
,F,1310.08,5007.2,3426.56,2900.4,2516.3,3682.65,1220.07,546.014,3182.49,2888.4,2584.32,2122.22
,G,1792.15,4815.11,3852.71,2446.29,2298.25,1872.17,974.046,858.035,1880.17,1420.1,1748.15,2030.2
,H,1510.11,1754.15,3044.44,3118.47,1836.16,1328.08,672.022,406.008,986.047,814.032,1446.1,1736.14

ProtocolHeader
,Version,,1.0
,Label,,mue.AandB.8Nov.25ul
,Locked,,False
,Creator,,User
,ReaderType,,1
,Category,,0
,FluoroFilter,,4
,DateRead,,11/8/2007 7:03:36 PM
,Filename,,beforeAcII_mue.AandB.8Nov.25ul_11-8-2007_7-03-36 PM
,InstrumentSN,,SN: 930000207060
,FluoOpticalKitID,,
,Result,,0
,Prefix,,beforeAcII
,WellMap,,FFFFFFFFFFFFFFFFFFFFFFFF
,RefWellMap,,000000000000000000000000
,RunCount,,1
,RunPeriod,,60
,PreRunDelay,,0
,Kinetics,,False
,KineticCount,,10
,KineticIntTime,,0.5

Steps
,Injector,,0,1
,Inject,,False,False
,Volume,,25,25
,Delay,,0.5,3
,Read,,True,False
,PostDelay,,0,0
,IntegrationTime,,0.5,0.5
,WavelengthCount,,1,1
,Wavelength1,,450,450
,Wavelength2,,450,450

Results
,Well,Read 1
,A1,54.0001
,A2,62.0002
,A3,44.0001
,A4,44.0001
,A5,48.0001
,A6,52.0001
,A7,50.0001
,A8,64.0002
,A9,64.0002
,A10,52.0001
,A11,60.0002
,A12,72.0002
,B1,3470.58
,B2,2638.33
,B3,2154.22
,B4,3388.55
,B5,3822.7
,B6,3228.5
,B7,922.041
,B8,1628.13
,B9,2866.39
,B10,3658.64
,B11,1962.19
,B12,812.032
,C1,1530.11
,C2,2872.4
,C3,2246.24
,C4,2838.39
,C5,2510.3
,C6,3626.63
,C7,1906.17
,C8,1636.13
,C9,2750.36
,C10,2220.24
,C11,1772.15
,C12,2030.2
,D1,1938.18
,D2,4470.96
,D3,4655.04
,D4,4510.98
,D5,2804.38
,D6,4156.83
,D7,1958.18
,D8,1468.1
,D9,3850.71
,D10,2510.3
,D11,2382.27
,D12,2304.25
,E1,2574.32
,E2,5967.71
,E3,5013.21
,E4,5521.46
,E5,4360.91
,E6,4827.12
,E7,3022.44
,E8,3426.56
,E9,4811.11
,E10,2380.27
,E11,2004.19
,E12,2136.22
,F1,1310.08
,F2,5007.2
,F3,3426.56
,F4,2900.4
,F5,2516.3
,F6,3682.65
,F7,1220.07
,F8,546.014
,F9,3182.49
,F10,2888.4
,F11,2584.32
,F12,2122.22
,G1,1792.15
,G2,4815.11
,G3,3852.71
,G4,2446.29
,G5,2298.25
,G6,1872.17
,G7,974.046
,G8,858.035
,G9,1880.17
,G10,1420.1
,G11,1748.15
,G12,2030.2
,H1,1510.11
,H2,1754.15
,H3,3044.44
,H4,3118.47
,H5,1836.16
,H6,1328.08
,H7,672.022
,H8,406.008
,H9,986.047
,H10,814.032
,H11,1446.1
,H12,1736.14
