FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|CENSUS_CODE|CENSUS_CLASS_CODE|GSA_CODE|OPM_CODE|STATE_NUMERIC|STATE_ALPHA|COUNTY_SEQUENCE|COUNTY_NUMERIC|COUNTY_NAME|PRIMARY_LATITUDE|PRIMARY_LONGITUDE|DATE_CREATED|DATE_EDITED
479|Adamana|Populated Place|00170|U6|||04|AZ|1|001|Apache|34.9766921|-109.8223383|02/08/1980|
492|Adobe|Populated Place|00350|U6|||04|AZ|1|013|Maricopa|33.6892053|-112.1226529|02/08/1980|
511|Agua Fria|Populated Place|00520|U4|||04|AZ|1|013|Maricopa|33.6055945|-112.3146036|02/08/1980|
516|Aguila|Populated Place|00730|U6|0005|040005013|04|AZ|1|013|Maricopa|33.9428069|-113.1740805|02/08/1980|
538|Ajo|Populated Place|00870|U5|0010|040010019|04|AZ|1|019|Pima|32.3717249|-112.8607099|02/08/1980|03/21/2008
542|Ak Chin|Populated Place|01080|U6|0012|040012021|04|AZ|1|021|Pinal|33.0328285|-112.0731983|02/08/1980|
580|Alhambra|Populated Place|01430|U4|||04|AZ|1|013|Maricopa|33.4983756|-112.1343177|02/08/1980|
605|Allenville|Populated Place|01850|U6|||04|AZ|1|013|Maricopa|33.3519866|-112.5865542|02/08/1980|
652|Anegam|Populated Place|02270|U6|||04|AZ|1|019|Pima|32.3728432|-112.0309692|02/08/1980|
728|Apache Flats|Populated Place|02620|U6|||04|AZ|1|003|Cochise|31.5581502|-110.3625803|02/08/1980|
765|Arizola|Populated Place|03460|U6|||04|AZ|1|021|Pinal|32.8511698|-111.7142947|02/08/1980|
770|Arizona City|Populated Place|03530|U5|0025|040025021|04|AZ|1|021|Pinal|32.7558935|-111.6709584|02/08/1980|03/21/2008
788|Arlington|Populated Place|04020|U6|0027|040027013|04|AZ|1|013|Maricopa|33.3255978|-112.7640604|02/08/1980|
887|Audley|Populated Place|04650|U6|||04|AZ|1|025|Yavapai|35.4016666|-113.039081|02/08/1980|
895|Avondale|Populated Place|04720|P1|0030|040030013|04|AZ|1|013|Maricopa|33.4355977|-112.3496021|02/08/1980|03/21/2008
929|Bacavi|Populated Place|05030|U6|||04|AZ|1|017|Navajo|35.9236136|-110.65736|06/27/1984|
949|Bagdad|Populated Place|05140|U5|0033|040033025|04|AZ|1|025|Yavapai|34.5811305|-113.2046414|02/08/1980|03/21/2008
971|Bakerville|Populated Place|05210|U4|||04|AZ|1|003|Cochise|31.4228777|-109.8872962|02/08/1980|
1006|Bapchule|Populated Place|05280|U6|0034|040034021|04|AZ|1|021|Pinal|33.1364413|-111.8731933|02/08/1980|
1154|Beardsley|Populated Place|05420|U6|0035|040035013|04|AZ|1|013|Maricopa|33.6614262|-112.3790519|02/08/1980|
1248|Benson|Populated Place|05770|P1|0040|040040003|04|AZ|1|003|Cochise|31.9678611|-110.2945174|02/08/1980|03/21/2008
1379|Big Springs|Populated Place|06050|U6|||04|AZ|1|005|Coconino|36.6016535|-112.3499036|02/08/1980|
1436|Bisbee|Populated Place|06260|P1|0050|040050003|04|AZ|1|003|Cochise|31.4481547|-109.9284084|02/08/1980|03/21/2008
1437|Bisbee Junction|Populated Place|06330|U6|||04|AZ|1|003|Cochise|31.3514908|-109.8861844|02/08/1980|
1657|Blackwater|Populated Place|06820|U5|||04|AZ|1|021|Pinal|33.0311702|-111.582627|02/08/1980|03/21/2008
1887|Bouse|Populated Place|07310|U5|0055|040055012|04|AZ|1|012|La Paz|33.9325235|-114.0057748|02/08/1980|03/21/2008
1890|Bowie|Populated Place|07380|U6|0056|040056003|04|AZ|1|003|Cochise|32.3264652|-109.4870088|02/08/1980|
1959|Briggs|Populated Place|07750|U6|||04|AZ|1|003|Cochise|31.4184333|-109.8970186|02/08/1980|
2051|Bryce|Populated Place|07915|U6|||04|AZ|1|009|Graham|32.9289524|-109.8278595|02/08/1980|
2081|Buckeye|Populated Place|07940|P1|0060|040060013|04|AZ|1|013|Maricopa|33.3703197|-112.5837766|02/08/1980|03/21/2008
2129|Buena Vista|Populated Place|08150|U6|||04|AZ|1|009|Graham|32.8436758|-109.5620205|02/08/1980|
2186|Bullhead City|Populated Place|08220|P1|0059|040059015|04|AZ|1|015|Mohave|35.1477774|-114.5682983|02/08/1980|03/21/2008
2195|Bumstead|Populated Place|08360|U6|||04|AZ|1|013|Maricopa|33.5733726|-112.3568269|02/08/1980|
2290|Bushman Acres|Populated Place|08640|U6|||04|AZ|1|017|Navajo|35.0241874|-110.6801343|02/08/1980|
2321|Bylas|Populated Place|08710|U6|0063|040063009|04|AZ|1|009|Graham|33.134281|-110.120044|02/08/1980|08/24/2009
2344|Cactus|Populated Place|08850|U4|||04|AZ|1|013|Maricopa|33.5986522|-112.0304263|02/08/1980|
2346|Cactus Flat|Populated Place|08920|U6|||04|AZ|1|009|Graham|32.7584007|-109.7161912|02/08/1980|
2347|Cactus Forest|Populated Place|08990|U6|||04|AZ|1|021|Pinal|32.9600648|-111.3198392|02/08/1980|
2383|Calva|Populated Place|09200|U6|||04|AZ|1|009|Graham|33.1806128|-110.1864783|02/08/1980|
2396|Cameron|Populated Place|09340|U5|0064|040064005|04|AZ|1|005|Coconino|35.8758285|-111.4129207|02/08/1980|03/21/2008
2435|Canyon Day|Populated Place|10040|U5|||04|AZ|1|007|Gila|33.7847735|-110.0264881|02/08/1980|03/21/2008
2481|Carrizo|Populated Place|10320|U6|||04|AZ|1|007|Gila|33.9939364|-110.2887199|02/08/1980|
2496|Cartwright|Populated Place|10390|U6|||04|AZ|1|013|Maricopa|33.480598|-112.1870969|02/08/1980|
2499|Casa Blanca|Populated Place|10460|U6|||04|AZ|1|021|Pinal|33.1203303|-111.8881936|02/08/1980|
2511|Cashion|Populated Place|10810|U4|0072|040072013|04|AZ|1|013|Maricopa|33.4353203|-112.2979334|02/08/1980|
2533|Castle Hot Springs|Populated Place|11020|U6|||04|AZ|1|025|Yavapai|33.9833663|-112.3604449|02/08/1980|
2619|Cedar Creek|Populated Place|11370|U6|||04|AZ|1|007|Gila|33.8956044|-110.1737157|02/08/1980|
2693|Central|Populated Place|11580|U6|0077|040077009|04|AZ|1|009|Graham|32.8675652|-109.7928591|02/08/1980|
2748|Chandler|Populated Place|12000|P1|0080|040080013|04|AZ|1|013|Maricopa|33.3061605|-111.8412502|02/08/1980|03/21/2008
2749|Chandler Heights|Populated Place|12070|U6|||04|AZ|1|013|Maricopa|33.2119977|-111.6862444|02/08/1980|
