dist,perl-5.27.0.author,perl-5.27.0.distname,perl-5.27.0.distversion,perl-5.27.0.grade,perl-5.27.1.author,perl-5.27.1.distname,perl-5.27.1.distversion,perl-5.27.1.grade,perl-5.27.2.author,perl-5.27.2.distname,perl-5.27.2.distversion,perl-5.27.2.grade,perl-5.27.3.author,perl-5.27.3.distname,perl-5.27.3.distversion,perl-5.27.3.grade,perl-5.27.4.author,perl-5.27.4.distname,perl-5.27.4.distversion,perl-5.27.4.grade,perl-5.27.5.author,perl-5.27.5.distname,perl-5.27.5.distversion,perl-5.27.5.grade,perl-5.27.6.author,perl-5.27.6.distname,perl-5.27.6.distversion,perl-5.27.6.grade,perl-5.27.7.author,perl-5.27.7.distname,perl-5.27.7.distversion,perl-5.27.7.grade,perl-5.27.8.author,perl-5.27.8.distname,perl-5.27.8.distversion,perl-5.27.8.grade
Acme-CPANAuthors,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS,ISHIGAKI,Acme-CPANAuthors-0.26,0.26,PASS
AnyEvent-HTTP,MLEHMANN,AnyEvent-HTTP-2.23,2.23,PASS,MLEHMANN,AnyEvent-HTTP-2.23,2.23,PASS,MLEHMANN,AnyEvent-HTTP-2.23,2.23,PASS,MLEHMANN,AnyEvent-HTTP-2.23,2.23,PASS,MLEHMANN,AnyEvent-HTTP-2.23,2.23,FAIL,MLEHMANN,AnyEvent-HTTP-2.23,2.23,FAIL,MLEHMANN,AnyEvent-HTTP-2.23,2.23,FAIL,MLEHMANN,AnyEvent-HTTP-2.23,2.23,FAIL,MLEHMANN,AnyEvent-HTTP-2.23,2.23,FAIL
DBD-Pg,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA,TURNSTEP,DBD-Pg-3.7.0,3.7.0,NA
Catalyst-Plugin-Session,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,PASS,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,PASS,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,PASS,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,PASS,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,PASS,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,PASS,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,PASS,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,UNKNOWN,JJNAPIORK,Catalyst-Plugin-Session-0.40,0.40,UNKNOWN
MooseX-Getopt,ETHER,MooseX-Getopt-0.71,0.71,PASS,ETHER,MooseX-Getopt-0.71,0.71,PASS,ETHER,MooseX-Getopt-0.71,0.71,PASS,ETHER,MooseX-Getopt-0.71,0.71,PASS,ETHER,MooseX-Getopt-0.71,0.71,PASS,ETHER,MooseX-Getopt-0.71,0.71,PASS,ETHER,MooseX-Getopt-0.71,0.71,PASS,ETHER,MooseX-Getopt-0.71,0.71,PASS,x,x,x,x
Bencher-Backend,PERLANCAR,Bencher-Backend-1.040,1.040,PASS,PERLANCAR,Bencher-Backend-1.040,1.040,PASS,PERLANCAR,Bencher-Backend-1.040,1.040,PASS,PERLANCAR,Bencher-Backend-1.040,1.040,PASS,PERLANCAR,Bencher-Backend-1.040,1.040,PASS,PERLANCAR,Bencher-Backend-1.040,1.040,PASS,PERLANCAR,Bencher-Backend-1.040,1.040,PASS,,,,,,,,
